% Model:              FEM_BEM_model_stl_FourProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 20 2025, 09:51
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
10700                                             10700                                             -41.183034363338386                               -7.614544882061924E-5+1.5704693644214007E-4i
10850                                             10850                                             -41.06186828203682                                -6.134703869786762E-6+1.7687869612303952E-4i
11000                                             11000                                             -40.56918276441782                                6.397075158948162E-5+1.7605220137451028E-4i
11150                                             11150                                             -39.91805284644596                                1.28194182400454E-4+1.5597492933316914E-4i
11300                                             11300                                             -39.27862986970987                                1.8138414985213736E-4+1.1969758918528584E-4i
11450                                             11450                                             -38.74888449869773                                2.196245024018717E-4+7.155164418626292E-5i
11600                                             11600                                             -38.377190522520884                               2.4050541133641135E-4+1.670925408747692E-5i
11750                                             11750                                             -38.18747848446942                                2.432547980982247E-4-3.9298347711436143E-5i
11900                                             11900                                             -38.195182892485995                               2.287331616192545E-4-9.105372284157198E-5i
12050                                             12050                                             -38.41653517887388                                1.9930577963972462E-4-1.3369772943072622E-4i
12200                                             12200                                             -38.87485560086519                                1.5861161493135878E-4-1.6331425766413776E-4i
12350                                             12350                                             -39.60709773247268                                1.1124147521784922E-4-1.7723668080482646E-4i
12500                                             12500                                             -40.67333658891666                                6.235057447140369E-5-1.7426299680234347E-4i
12650                                             12650                                             -42.174085218332216                               1.7223502202290408E-5-1.5475782912555136E-4i
12800                                             12800                                             -44.28248360715781                                -1.917684898566918E-5-1.2063879627988161E-4i
12950                                             12950                                             -47.282256401671404                               -4.2649295215357874E-5-7.523217061000675E-5i
13100                                             13100                                             -51.186965339480494                               -5.014219177612578E-5-2.3004164530049387E-5i
13250                                             13250                                             -51.948940999187684                               -4.006002916090434E-5+3.0803743783058835E-5i
13400                                             13400                                             -47.787440585764514                               -1.2448870102543808E-5+8.063869149255165E-5i
13550                                             13550                                             -44.080511714406896                               3.0952841149123334E-5+1.2113511260947174E-4i
13700                                             13700                                             -41.34751732755171                                8.682152236327845E-5+1.4762034522941558E-4i
13850                                             13850                                             -39.284364264674274                               1.504981068617961E-4+1.5657498041188322E-4i
14000                                             14000                                             -37.68670480234068                                2.1637601664120654E-4+1.460117792808635E-4i
14150                                             14150                                             -36.43533545239733                                2.783891812206396E-4+1.1572220330735572E-4i
14300                                             14300                                             -35.45830808676296                                3.305786402174604E-4+6.738353714286216E-5i
14450                                             14450                                             -34.710726003053665                               3.6767282969346615E-4+4.474502925289059E-6i
14600                                             14600                                             -34.16384096483438                                3.856495351196587E-4-6.798273100705465E-5i
14750                                             14750                                             -33.79982370044006                                3.8217609588991897E-4-1.438608852092349E-4i
14900                                             14900                                             -33.608093071135634                               3.5693925356172773E-4-2.1650779779791574E-4i
15050                                             15050                                             -33.58385962650635                                3.117395562504677E-4-2.7941887276805577E-4i
15200                                             15200                                             -33.72716516254536                                2.5036753323132155E-4-3.269310833172723E-4i
15350                                             15350                                             -34.04294455479378                                1.7823851879783525E-4-3.5483377699474516E-4i
15500                                             15500                                             -34.54130845735299                                1.018377072404264E-4-3.608474694958286E-4i
15650                                             15650                                             -35.23907982453003                                2.8024509471424874E-5-3.4486312480408454E-4i
15800                                             15800                                             -36.16213840110116                                -3.670143451878216E-5-3.0894416189775065E-4i
15950                                             15950                                             -37.35017938867167                                -8.687574416399446E-5-2.570611674630463E-4i
16100                                             16100                                             -38.86420774359437                                -1.1861900433562944E-4-1.9464313906625286E-4i
16250                                             16250                                             -40.799730576388775                               -1.2998746098041858E-4-1.2796825740701845E-4i
16400                                             16400                                             -43.30259940446713                                -1.2110468047799028E-4-6.349698523822056E-5i
16550                                             16550                                             -46.52607584078757                                -9.406964910485538E-5-7.223571499181958E-6i
16700                                             16700                                             -49.93115034316405                                -5.267483013227103E-5+3.590655182306168E-5i
16850                                             16850                                             -50.107766999072595                               -1.970440374976512E-6+6.243461910671044E-5i
17000                                             17000                                             -47.14056951947982                                5.227104506799751E-5+7.067246828973417E-5i
17150                                             17150                                             -44.394140508956056                               1.0414300769745477E-4+6.0802663803594115E-5i
17300                                             17300                                             -42.37215647444221                                1.4817359517793616E-4+3.478832953973665E-5i
17450                                             17450                                             -40.921186191016005                               1.798335837225884E-4-3.857432638754155E-6i
17600                                             17600                                             -39.89899033504563                                1.9594338968825786E-4-5.047201999830442E-5i
17750                                             17750                                             -39.21379793567564                                1.9492743285443037E-4-9.970620625732174E-5i
17900                                             17900                                             -38.808138395060254                               1.7692012264269863E-4-1.4605074183504652E-4i
18050                                             18050                                             -38.64590296133003                                1.4370470813934721E-4-1.8434695367064435E-4i
18200                                             18200                                             -38.703829669358846                               9.851334342453333E-5-2.102524103829717E-4i
18350                                             18350                                             -38.965369998435044                               4.5708193753712933E-5-2.2061487277791336E-4i
18500                                             18500                                             -39.41468655528506                                -9.62814955485225E-6-2.1372505061745262E-4i
