% Model:              FEM_BEM_model_stl_TwoProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 9 2025, 23:19
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
10700                                             10700                                             -42.42360318893982                                -3.1940072899860894E-6-1.5127008392112895E-4i
10850                                             10850                                             -58.58093351152483                                -1.149334261330015E-5-2.055446879001277E-5i
11000                                             11000                                             -44.93882304706932                                1.0958255568516151E-4+2.8639429087040646E-5i
11150                                             11150                                             -39.737554372440684                               1.937679242928203E-4-7.032592193845222E-5i
11300                                             11300                                             -39.16632065822406                                1.2590452257477125E-4-1.8059074909249073E-4i
11450                                             11450                                             -42.48904429179417                                -1.6489695675581117E-7-1.5016804237544257E-4i
11600                                             11600                                             -58.653033025793356                               -1.098459818354991E-5-2.0610453450475852E-5i
11750                                             11750                                             -45.00090445045543                                1.0820669029842911E-4+3.062333780878834E-5i
11900                                             11900                                             -39.80033197791515                                1.9374444154146575E-4-6.591685433143812E-5i
12050                                             12050                                             -39.22933128696855                                1.2860356746929869E-4-1.767144618891603E-4i
12200                                             12200                                             -42.55251677473477                                2.8684276349721927E-6-1.4904717404384815E-4i
12350                                             12350                                             -58.72376787353139                                -1.0474093286749753E-5-2.066237090203593E-5i
12500                                             12500                                             -45.06118120551618                                1.0681326081496412E-4+3.260510660596516E-5i
12650                                             12650                                             -39.86171966107761                                1.9368348464854357E-4-6.148828898422387E-5i
12800                                             12800                                             -39.290615342955974                               1.3128939023376862E-4-1.728023764956399E-4i
12950                                             12950                                             -42.6146963334675                                 5.906428393986918E-6-1.478935086194344E-4i
13100                                             13100                                             -58.79309520127428                                -9.960438211997769E-6-2.071065873943123E-5i
13250                                             13250                                             -45.120820769480794                               1.053855692869643E-4+3.458242138676404E-5i
13400                                             13400                                             -39.9222011559352                                 1.935717097714118E-4-5.703510870214146E-5i
13550                                             13550                                             -39.35204689066859                                1.3392485358110218E-4-1.6881998408568855E-4i
13700                                             13700                                             -42.67652068144568                                8.94550403407468E-6-1.466891229282563E-4i
13850                                             13850                                             -58.862082355231                                  -9.44368148214636E-6-2.0751756767078966E-5i
14000                                             14000                                             -45.18009868558082                                1.039199728334883E-4+3.6550351946273985E-5i
14150                                             14150                                             -39.982584817705586                               1.93387475397655E-4-5.255479185783951E-5i
14300                                             14300                                             -39.4129914352295                                 1.365209921270205E-4-1.64775562219166E-4i
14450                                             14450                                             -42.73826845949436                                1.1985981558049197E-5-1.4542748850343568E-4i
14600                                             14600                                             -58.931178002913796                               -8.923307198482888E-6-2.0784328680911734E-5i
14750                                             14750                                             -45.239430677599586                               1.0241029970198268E-4+3.850659948634316E-5i
14900                                             14900                                             -40.043121421481196                               1.931224717278135E-4-4.8046989137962015E-5i
15050                                             15050                                             -39.47418943271944                                1.3906173970162916E-4-1.6065520762931218E-4i
15200                                             15200                                             -42.800310634536785                               1.5023397232916125E-5-1.441009871547827E-4i
15350                                             15350                                             -59.00052161912733                                -8.398919443375341E-6-2.0807879231421467E-5i
15500                                             15500                                             -45.29929777132828                                1.0085037576146316E-4+4.044684836379542E-5i
15650                                             15650                                             -40.10332766327152                                1.9278405063316573E-4-4.351848888073384E-5i
15800                                             15800                                             -39.535297603422975                               1.4154225777462948E-4-1.564711931366647E-4i
15950                                             15950                                             -42.86236249458717                                1.8056078251726948E-5-1.4271296919221577E-4i
16100                                             16100                                             -59.06991618776544                                -7.871516688462421E-6-2.082228187505475E-5i
16250                                             16250                                             -45.35947418509871                                9.924275686734596E-5+4.236925073830555E-5i
16400                                             16400                                             -40.16583450365115                                1.9231174903211468E-4-3.895629458328109E-5i
16550                                             16550                                             -39.5985431025065                                 1.4393427772424472E-4-1.521734770794092E-4i
16700                                             16700                                             -42.92697947372354                                2.1069748714908076E-5-1.4122136907390725E-4i
16850                                             16850                                             -59.14185101797565                                -7.340943541933598E-6-2.0820629487494635E-5i
17000                                             17000                                             -45.4225309767002                                 9.756117101467066E-5+4.425211934278028E-5i
17150                                             17150                                             -40.23030632085379                                1.9170744633711934E-4-3.438484919204843E-5i
17300                                             17300                                             -39.66404905699447                                1.4620988671343316E-4-1.4778266389747774E-4i
17450                                             17450                                             -42.994083829966016                               2.405609630118377E-5-1.3962851373450214E-4i
17600                                             17600                                             -59.21720953510893                                -6.805046162239314E-6-2.080132769666232E-5i
17750                                             17750                                             -45.48948689929975                                9.57920526772349E-5+4.6094876214763936E-5i
17900                                             17900                                             -40.2996686344155                                 1.90907870358914E-4-2.97859943294565E-5i
18050                                             18050                                             -39.73536413403572                                1.4830626422618343E-4-1.4324255881925652E-4i
18200                                             18200                                             -43.067283369105624                               2.7001625912681515E-5-1.3787751073035537E-4i
18350                                             18350                                             -59.298541506313114                               -6.268051372160244E-6-2.075640641074905E-5i
18500                                             18500                                             -45.56411108197877                                9.390739619125066E-5+4.7851162538803393E-5i
18650                                             18650                                             -40.378051817394734                               1.8981577828769414E-4-2.5203843743160093E-5i
18800                                             18800                                             -39.817616452258456                               1.5009865178450266E-4-1.3851346678661614E-4i
18950                                             18950                                             -43.154409326812214                               2.9825891188717257E-5-1.3585896355583493E-4i
19100                                             19100                                             -59.397295078204365                               -5.729812796673173E-6-2.065712529364383E-5i
19250                                             19250                                             -45.661545240032254                               9.176741010968881E-5+4.940277439324792E-5i
19400                                             19400                                             -40.48581037626626                                1.8798661050489773E-4-2.0681900298580302E-5i
19550                                             19550                                             -39.93882803671955                                1.5101394534700052E-4-1.3327486469605354E-4i
19700                                             19700                                             -43.294831102889226                               3.225772987153208E-5-1.3300798990867335E-4i
19850                                             19850                                             -59.57055078459999                                -5.190654388698146E-6-2.0362528074246988E-5i
20000                                             20000                                             -45.87650580265802                                8.85189584199364E-5+5.00174822380961E-5i
20150                                             20150                                             -40.788508205670276                               1.8188909388183738E-4-1.658498125611807E-5i
20300                                             20300                                             -40.443200641515496                               1.4431426918321E-4-1.2366382572037704E-4i
20450                                             20450                                             -44.58921243839054                                2.7819243006432792E-5-1.1458646225259717E-4i
20600                                             20600                                             -55.4600377956719                                 -1.745403666542078E-6-3.3685725570054004E-5i
20750                                             20750                                             -44.79116045727329                                9.731906311472027E-5+6.165412698255768E-5i
20900                                             20900                                             -39.98157467378946                                2.0020003295201372E-4-9.487403891395019E-6i
21050                                             21050                                             -39.56057590282682                                1.657219168485491E-4-1.295967908664375E-4i
21200                                             21200                                             -42.96792581582                                   4.1507641762250636E-5-1.3591619072361727E-4i
21350                                             21350                                             -59.27640075466443                                -4.083264974141798E-6-2.135056540530922E-5i
21500                                             21500                                             -45.519724853771166                               8.90394069002487E-5+5.739712138674857E-5i
21650                                             21650                                             -40.35548354190362                                1.9188948559023533E-4-5.8921197103600775E-6i
21800                                             21800                                             -39.80720125066008                                1.635413718663048E-4-1.2275979530251835E-4i
21950                                             21950                                             -43.15184051616469                                4.346116050740756E-5-1.3217343298110862E-4i
22100                                             22100                                             -59.428159551296254                               -3.550667667440166E-6-2.106385531319699E-5i
22250                                             22250                                             -45.641810653087376                               8.647873943246065E-5+5.8590004805236795E-5i
22400                                             22400                                             -40.46196492603432                                1.896355198962585E-4-1.4134198523807484E-6i
22550                                             22550                                             -39.90226428102471                                1.645720714055776E-4-1.1758578994547353E-4i
22700                                             22700                                             -43.238556304638244                               4.6122278035021225E-5-1.2980262666040243E-4i
22850                                             22850                                             -59.51405586714107                                -3.0152489103318914E-6-2.093479033371537E-5i
23000                                             23000                                             -45.71375676026436                                8.434373052651489E-5+6.0151686176013186E-5i
23150                                             23150                                             -40.53006021464708                                1.881337031249264E-4+3.137397381114404E-6i
23300                                             23300                                             -39.96676841626447                                1.6613087617045608E-4-1.1272879042356632E-4i
23450                                             23450                                             -43.30012488264244                                4.8908401369784915E-5-1.2773737096194449E-4i
23600                                             23600                                             -59.57876040633696                                -2.4849944654237177E-6-2.0846254049411428E-5i
23750                                             23750                                             -45.76681859490688                                8.235220409530397E-5+6.180516537224179E-5i
23900                                             23900                                             -40.581285701070385                               1.8689648373648726E-4+7.661303759842752E-6i
24050                                             24050                                             -40.015706463186625                               1.678695604903635E-4-1.0805281144854462E-4i
24200                                             24200                                             -43.3469651592834                                 5.1709395594956575E-5-1.2583444765035257E-4i
24350                                             24350                                             -59.62956875802698                                -1.9665380078803807E-6-2.0778547081046206E-5i
24500                                             24500                                             -45.80570314893855                                8.047808667333012E-5+6.348655246635193E-5i
24650                                             24650                                             -40.61810416338286                                1.8586959385902269E-4+1.2087625719359174E-5i
24800                                             24800                                             -40.04971519964697                                1.697293986637205E-4-1.0361779857859243E-4i
24950                                             24950                                             -43.37804563293419                                5.447215956216889E-5-1.2413288020363122E-4i
25100                                             25100                                             -59.66334292515569                                -1.4740515016375966E-6-2.073807881486367E-5i
25250                                             25250                                             -45.825746302097144                               7.880720954939191E-5+6.517904633607241E-5i
25400                                             25400                                             -40.63372203746961                                1.852138171763995E-4+1.627633911183146E-5i
25550                                             25550                                             -40.05944858879985                                1.7179729655220077E-4-9.970896470867796E-5i
25700                                             25700                                             -43.38074739060278                                5.712094781945565E-5-1.2289002040144492E-4i
25850                                             25850                                             -59.663605510054026                               -1.0458004008340183E-6-2.0763451272776123E-5i
26000                                             26000                                             -45.80472132771298                                7.768428413934547E-5+6.68938894861082E-5i
26150                                             26150                                             -40.59794631018544                                1.8564515763763723E-4+1.9771124772471893E-5i
26300                                             26300                                             -40.00318908897391                                1.7454729790516987E-4-9.748784016894163E-5i
26450                                             26450                                             -43.295756196174715                               5.938326577553665E-5-1.2329365206276144E-4i
26600                                             26600                                             -59.54272224476016                                -8.759086821408246E-7-2.1062925246839725E-5i
26750                                             26750                                             -45.60627145685932                                7.921446277570077E-5+6.874653545041465E-5i
26900                                             26900                                             -40.281000807525935                               1.9269020240519907E-4+1.9087297644659884E-5i
27050                                             27050                                             -39.4392087377412                                 1.8302825935773148E-4-1.096085729259677E-4i
27200                                             27200                                             -42.00489862433667                                5.484384470938464E-5-1.490033388678036E-4i
27350                                             27350                                             -49.073443397302924                               -6.855548474049566E-5-1.5855743093706742E-5i
27500                                             27500                                             -48.205990006427086                               4.1206977293928304E-5+6.59384975175703E-5i
27650                                             27650                                             -41.91314823283095                                1.5404610179614586E-4+4.492101276487581E-5i
27800                                             27800                                             -41.0066799289876                                 1.6642354634038847E-4-6.346258420308892E-5i
27950                                             27950                                             -44.17558969305537                                6.792346236028646E-5-1.0334261809508138E-4i
28100                                             28100                                             -60.39278058737039                                1.7609108880489721E-6-1.9034454511013266E-5i
28250                                             28250                                             -46.46120781688236                                6.321772519840563E-5+7.098414726780522E-5i
28400                                             28400                                             -41.2356951980172                                 1.686333279176111E-4+4.0712800380870995E-5i
28550                                             28550                                             -40.63899906342013                                1.7266420134481875E-4-6.865982939030513E-5i
28700                                             28700                                             -43.948395507686335                               6.974979079515942E-5-1.0606413379077306E-4i
28850                                             28850                                             -60.24959414179662                                1.930429716578974E-6-1.9337349434156437E-5i
29000                                             29000                                             -46.35585923741081                                6.302003059294181E-5+7.270183507834815E-5i
29150                                             29150                                             -41.16263467199239                                1.693570694822899E-4+4.385743707513434E-5i
29300                                             29300                                             -40.58807932380876                                1.7494320133787378E-4-6.57964846412229E-5i
29450                                             29450                                             -43.913698216682135                               7.21867411154209E-5-1.0503794200755756E-4i
29600                                             29600                                             -60.23384787275184                                2.3504320442180315E-6-1.9326326133439764E-5i
29750                                             29750                                             -46.34018587170412                                6.146241734772406E-5+7.424904584385494E-5i
29900                                             29900                                             -41.15474103550427                                1.684339639506649E-4+4.786407437784579E-5i
30050                                             30050                                             -40.58623497807918                                1.7651500955834232E-4-6.157589955835263E-5i
30200                                             30200                                             -43.917251919650695                               7.471517758445012E-5-1.0319036113792812E-4i
30350                                             30350                                             -60.24736162389094                                2.8303155386044665E-6-1.9231306356726208E-5i
30500                                             30500                                             -46.347711936163904                               5.9503960150586455E-5+7.57214781612614E-5i
30650                                             30650                                             -41.165700110903565                               1.6693628788855275E-4+5.21149943453203E-5i
30800                                             30800                                             -40.59970509652199                                1.7777975609395424E-4-5.687941349408199E-5i
30950                                             30950                                             -43.932965862605435                               7.72574018227945E-5-1.0101129473893966E-4i
31100                                             31100                                             -60.271344788627594                               3.331866710032383E-6-1.9096376952409955E-5i
31250                                             31250                                             -46.36377129458851                                5.7359990091099267E-5+7.713665307662598E-5i
31400                                             31400                                             -41.183662852701374                               1.6513790978528453E-4+5.645292200118224E-5i
31550                                             31550                                             -40.61896212750284                                1.7885123334876463E-4-5.195189868212324E-5i
31700                                             31700                                             -43.95344961367858                                7.977662491409632E-5-9.864877798648752E-5i
31850                                             31850                                             -60.29880416958353                                3.841705913554261E-6-1.8937946531294436E-5i
32000                                             32000                                             -46.383059052960085                               5.510949530868059E-5+7.849986487840077E-5i
32150                                             32150                                             -41.204351575985186                               1.6314033874442746E-4+6.0810728457094676E-5i
32300                                             32300                                             -40.64043562299265                                1.7976745432574104E-4-4.689714251360222E-5i
32450                                             32450                                             -43.97594840259142                                8.22553362287981E-5-9.616018506064528E-5i
32600                                             32600                                             -60.32781157953255                                4.354486685953507E-6-1.876052330962441E-5i
32750                                             32750                                             -46.403501855536476                               5.278689122611979E-5+7.980995491763121E-5i
32900                                             32900                                             -41.22572146918891                                1.6098822792764977E-4+6.516682378265859E-5i
33050                                             33050                                             -40.66242799605334                                1.80548002453762E-4-4.1758295020177805E-5i
33200                                             33200                                             -43.998605102206                                  8.469184149312303E-5-9.357721038483202E-5i
33350                                             33350                                             -60.35692772860309                                4.866320001239988E-6-1.856769525354629E-5i
33500                                             33500                                             -46.42401064640356                                5.0410094079078593E-5+8.106646125372041E-5i
33650                                             33650                                             -41.247315184195294                               1.5869979491822672E-4+6.94887950228873E-5i
33800                                             33800                                             -40.684488821257396                               1.81190431023881E-4-3.6569973640099285E-5i
33950                                             33950                                             -44.02134020877428                                8.70658461345486E-5-9.091627463386764E-5i
34100                                             34100                                             -60.38642301851743                                5.374186092643729E-6-1.835932191218692E-5i
34250                                             34250                                             -46.44466291969476                                4.798692220969736E-5+8.226160422486473E-5i
34400                                             34400                                             -41.26912287414966                                1.5627798868639298E-4+7.376429677763419E-5i
34550                                             34550                                             -40.706912687415596                               1.8168384589589692E-4-3.1342532492706354E-5i
34700                                             34700                                             -44.044688321380534                               8.937152774513013E-5-8.817027972729541E-5i
34850                                             34850                                             -60.416136012030194                               5.877619230210129E-6-1.813573899911436E-5i
35000                                             35000                                             -46.46642072283389                                4.5516218803609565E-5+8.338264294183162E-5i
35150                                             35150                                             -41.29225966780104                                1.53706170680612E-4+7.79725508660567E-5i
35300                                             35300                                             -40.73120755733245                                1.8199348897413037E-4-2.607918482477878E-5i
35450                                             35450                                             -44.07052631129697                                9.157982971508272E-5-8.53282545090206E-5i
35600                                             35600                                             -60.44932439145239                                6.373357553324244E-6-1.7890357009608948E-5i
35750                                             35750                                             -46.49300602880514                                4.2978094751955354E-5+8.439313172059482E-5i
35900                                             35900                                             -41.322052001384165                               1.5088529769241577E-4+8.207224452772E-5i
36050                                             36050                                             -40.7645443904878                                 1.8196977330298125E-4-2.0743276546220102E-5i
36200                                             36200                                             -44.108762471828705                               9.359973684008871E-5-8.227714562969446E-5i
36350                                             36350                                             -60.49934616032105                                6.855017690265974E-6-1.759439637094573E-5i
36500                                             36500                                             -46.545060203005775                               4.0231452113514976E-5+8.511100863961563E-5i
36650                                             36650                                             -41.390133284833226                               1.472009705548727E-4+8.587910812341004E-5i
36800                                             36800                                             -40.86014802008365                                1.8052480836167062E-4-1.495783942884188E-5i
36950                                             36950                                             -44.260752756217265                               9.457455432154704E-5-7.779443585054224E-5i
37100                                             37100                                             -60.81255080126441                                7.248300758266879E-6-1.6709504400802544E-5i
37250                                             37250                                             -48.93452803510875                                1.995991088049598E-5+6.865707776892993E-5i
37400                                             37400                                             -40.74116023664136                                1.5784141756408632E-4+9.386408468281537E-5i
37550                                             37550                                             -40.47756340907639                                1.8886988526595205E-4-1.2761517339754391E-5i
37700                                             37700                                             -43.90141021231408                                9.981080578547186E-5-7.95469908069224E-5i
37850                                             37850                                             -60.33932631730872                                7.868907491437316E-6-1.755041153428394E-5i
38000                                             38000                                             -46.36831872069523                                3.6798398729498416E-5+8.874930608759879E-5i
38150                                             38150                                             -41.208517264730624                               1.459359154368789E-4+9.479642312237857E-5i
38300                                             38300                                             -40.65390087669654                                1.85375819467537E-4-6.680973198780471E-6i
38450                                             38450                                             -43.996190343544754                               1.0093328320803785E-4-7.583359525031863E-5i
38600                                             38600                                             -60.39944398613291                                8.275181392292108E-6-1.7215470264675403E-5i
38750                                             38750                                             -46.39764670016848                                3.442900545713723E-5+8.934808853588994E-5i
38900                                             38900                                             -41.21926291759996                                1.4350746007840698E-4+9.80531723012712E-5i
39050                                             39050                                             -40.64555972349349                                1.8565273994736176E-4-2.83546093704512E-6i
39200                                             39200                                             -43.96304349523136                                1.0257328240387276E-4-7.442509836230737E-5i
39350                                             39350                                             -60.33065571752871                                8.484662369023788E-6-1.7282547939201365E-5i
39500                                             39500                                             -46.22654565437103                                3.59042203453841E-5+9.081710945568755E-5i
39650                                             39650                                             -40.556378456989705                               1.6448996464912824E-4+9.018472594246596E-5i
39800                                             39800                                             -41.47020672365143                                1.6539666416265364E-4+3.401040212180906E-5i
39950                                             39950                                             -44.33507299209669                                1.052153936811906E-4-6.059368644584229E-5i
40100                                             40100                                             -60.65207522830554                                9.721870139145494E-6-1.580247495280851E-5i
40250                                             40250                                             -46.59331941969863                                2.544660582476377E-5+9.009433109519183E-5i
40400                                             40400                                             -41.40013946257665                                1.3137010103619895E-4+1.0825157936622531E-4i
40550                                             40550                                             -40.82437992214349                                1.8138644178006258E-4+1.3537446631795014E-5i
40700                                             40700                                             -44.15458211736298                                1.0663365462243446E-4-6.321955923360711E-5i
40850                                             40850                                             -60.56760628080893                                9.927316292568378E-6-1.5888427394639137E-5i
41000                                             41000                                             -46.53745754757571                                2.416539063992973E-5+9.107148518017194E-5i
41150                                             41150                                             -41.363279307133936                               1.2973737044741362E-4+1.1131802818553638E-4i
41300                                             41300                                             -40.798687480576596                               1.8157506835803083E-4+1.7638080940240997E-5i
41450                                             41450                                             -44.136088464547285                               1.083465445819165E-4-6.0778732331234764E-5i
41600                                             41600                                             -60.560029069963875                               1.0331642197158875E-5-1.5648125214151598E-5i
41750                                             41750                                             -46.524901407050194                               2.1831362601754112E-5+9.179911717505096E-5i
41900                                             41900                                             -41.35397994542467                                1.2687461957344714E-4+1.1484320460863895E-4i
42050                                             42050                                             -40.79159613369886                                1.811789865145963E-4+2.2564764337484888E-5i
42200                                             42200                                             -44.130967170987525                               1.1004627536037592E-4-5.780185981174579E-5i
42350                                             42350                                             -60.56191155410197                                1.0766228237368836E-5-1.5347397468667978E-5i
42500                                             42500                                             -46.519470043288095                               1.9230535650116565E-5+9.2439249669507E-5i
