% Model:              FEM_BEM_model_stl_ThreeProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 13 2025, 09:42
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
10850                                             10850                                             -46.104960770945844                               8.653593276902738E-5-4.815764472221318E-5i
11000                                             11000                                             -45.57875017536321                                8.662736573045171E-5-5.972145057675515E-5i
11150                                             11150                                             -45.33616940267311                                8.263284022241857E-5-6.98480100795873E-5i
11300                                             11300                                             -45.35737664574807                                7.516958403713803E-5-7.745603335429507E-5i
11450                                             11450                                             -45.642599663287065                               6.511353791660568E-5-8.166765615047478E-5i
11600                                             11600                                             -46.21222140753556                                5.3538325019253374E-5-8.186583736269348E-5i
11750                                             11750                                             -47.11249455085643                                4.164288336400146E-5-7.773572075542301E-5i
11900                                             11900                                             -48.43044833045202                                3.06714010562259E-5-6.928657999960564E-5i
12050                                             12050                                             -50.328390600354076                               2.1830018073043522E-5-5.6851945524072356E-5i
12200                                             12200                                             -53.12133983428956                                1.620686153536166E-5-4.107128030805818E-5i
12350                                             12350                                             -57.33900939114601                                1.4698314939665114E-5-2.2850252977768548E-5i
12500                                             12500                                             -60.79519089603907                                1.79484526817153E-5-3.3056279260534893E-6i
12650                                             12650                                             -56.20848390669023                                2.630303822770408E-5+1.6303703173625728E-5i
12800                                             12800                                             -51.57456009142393                                3.978280148003721E-5+3.4654155124824726E-5i
12950                                             12950                                             -48.29948442573186                                5.807655384781896E-5+5.0440557680109244E-5i
13100                                             13100                                             -45.855001275104044                               8.054988272010455E-5+6.245305684460245E-5i
13250                                             13250                                             -43.93931817808764                                1.0628218350311469E-4+6.965951625326205E-5i
13400                                             13400                                             -42.391055019879445                               1.341118930802132E-4+7.12674880848363E-5i
13550                                             13550                                             -41.11662411434281                                1.6270168996818102E-4+6.677887260242432E-5i
13700                                             13700                                             -40.057686829050354                               1.906129884522434E-4+5.6025765773459746E-5i
13850                                             13850                                             -39.175786831298836                               2.1638798990086805E-4+3.9187789519945504E-5i
14000                                             14000                                             -38.444539405249536                               2.38633078077366E-4+1.6790541620181898E-5i
14150                                             14150                                             -37.84528097823459                                2.561024788908517E-4-1.0317763751377385E-5i
14300                                             14300                                             -37.36462566869876                                2.677716711549927E-4-4.1008092690253406E-5i
14450                                             14450                                             -36.9929689113102                                 2.7289972285865494E-4-7.39293524011364E-5i
14600                                             14600                                             -36.723457638295955                               2.710791180593475E-4-1.0758219087037002E-4i
14750                                             14750                                             -36.55146660952501                                2.6226170815546457E-4-1.4040190683639597E-4i
14900                                             14900                                             -36.47416588615099                                2.467673334060616E-4-1.7084788467702783E-4i
15050                                             15050                                             -36.490318441385654                               2.2526930722471805E-4-1.974903420768337E-4i
15200                                             15200                                             -36.60017159894393                                1.98757690488105E-4-2.190944722588739E-4i
15350                                             15350                                             -36.80547322894669                                1.684834398742452E-4-2.3469111617813176E-4i
15500                                             15500                                             -37.10958449447232                                1.3588678671461185E-4-2.436321604550873E-4i
15650                                             15650                                             -37.517722745798714                               1.0251345013612134E-4-2.4562672367134386E-4i
15800                                             15800                                             -38.037376015652114                               6.992420899498697E-5-2.4075523012845323E-4i
15950                                             15950                                             -38.67899361457327                                3.9604902344614334E-5-2.2945934523777023E-4i
16100                                             16100                                             -39.45698327321351                                1.288139945598843E-5-2.1251249102838266E-4i
