% Model:              FEM_BEM_model_stl_TwoProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 7 2025, 09:38
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
500                                               500                                               -63.114731476470716                               6.929530023846997E-6+1.2133825692317579E-5i
650                                               650                                               -65.41866506964735                                7.909200502698166E-6+7.232639409604502E-6i
800                                               800                                               -66.71728255895631                                -8.478568166991884E-6-3.645918895678335E-6i
950                                               950                                               -50.44440246824321                                -5.9818269985356665E-5-5.7192821787399595E-6i
1100                                              1100                                              -41.430062310737156                               -1.651614642422805E-4+3.8719981385049174E-5i
1250                                              1250                                              -33.614085696952024                               -3.498824233000297E-4+2.2720746117665946E-4i
1400                                              1400                                              -24.08640241577238                                -6.600999464788648E-4+0.0010608150708205644i
1550                                              1550                                              -13.70208344762743                                0.0038387112750121744-0.0015229224262126584i
1700                                              1700                                              -25.891233253345384                               3.318643809225308E-4-9.592194226902828E-4i
1850                                              1850                                              -31.75106608175433                                -1.8580485199481966E-5-5.166495099421242E-4i
2000                                              2000                                              -37.44095600499658                                -9.259160090513419E-5-2.520548174808068E-4i
2150                                              2150                                              -46.50484739182137                                -5.3178786080465557E-5-7.821068864299896E-5i
2300                                              2300                                              -53.04520900524602                                4.2841875365906557E-5+1.2188598874196543E-5i
2450                                              2450                                              -42.38364247051177                                1.503738834072732E-4+2.2184477061926167E-5i
2600                                              2600                                              -38.67516453522741                                2.3069571873313155E-4-3.236434079145756E-5i
2750                                              2750                                              -36.909171915832076                               2.582331415397765E-4-1.21708116375574E-4i
2900                                              2900                                              -36.23362545658311                                2.2671978207128296E-4-2.093117357322427E-4i
3050                                              3050                                              -36.40452464972634                                1.5012613502646266E-4-2.626812341738338E-4i
3200                                              3200                                              -37.407124680000976                               5.715587406573963E-5-2.6344245710030467E-4i
3350                                              3350                                              -39.426786268407895                               -1.9100717060294148E-5-2.1278843364958E-4i
3500                                              3500                                              -43.06643250504638                                -5.280009257568885E-5-1.302125710788138E-4i
3650                                              3650                                              -50.86170248711311                                -3.41735392623832E-5-4.595964852593948E-5i
3800                                              3800                                              -56.68269286909904                                2.7514221180635623E-5+1.0078059213269874E-5i
3950                                              3950                                              -45.23386450256077                                1.0780955894107436E-4+1.9054626489989346E-5i
4100                                              4100                                              -41.04117385307908                                1.7624101551044768E-4-2.030832282495787E-5i
4250                                              4250                                              -38.90707137346193                                2.0748593992458986E-4-9.162822541264326E-5i
4400                                              4400                                              -37.94261730761326                                1.905094117861661E-4-1.6716784503456594E-4i
4550                                              4550                                              -37.88218227545918                                1.3237002379967722E-4-2.1821383616993373E-4i
4700                                              4700                                              -38.69677582181603                                5.531891104676445E-5-2.2569538488970142E-4i
4850                                              4850                                              -40.56202281255176                                -1.1691868563479257E-5-1.8710378887210055E-4i
5000                                              5000                                              -44.0744952855028                                 -4.387578945186377E-5-1.1716816651152762E-4i
5150                                              5150                                              -51.77160794731965                                -2.977134691783956E-5-4.211620184069176E-5i
5300                                              5300                                              -57.48244393316132                                2.4682059703851067E-5+1.02464112352596E-5i
5450                                              5450                                              -45.95424927061422                                9.857556041337201E-5+2.089999789223196E-5i
5600                                              5600                                              -41.69595813831211                                1.6397790189759398E-4-1.3406972383944726E-5i
5750                                              5750                                              -39.504634992589885                               1.9641122334385086E-4-7.909169524955573E-5i
5900                                              5900                                              -38.49028575828646                                1.8396873402787284E-4-1.5094214106536885E-4i
6050                                              6050                                              -38.38626395786669                                1.3168799174234636E-4-2.016408217091481E-4i
6200                                              6200                                              -39.162781139323485                               5.9546150550204846E-5-2.1203475818054596E-4i
6350                                              6350                                              -40.99497903797386                                -5.156225430735795E-6-1.782787073560943E-4i
6500                                              6500                                              -44.47968792078073                                -3.8118242709606065E-5-1.1316390552640332E-4i
6650                                              6650                                              -52.160287939595875                               -2.7146552231016585E-5-4.1175762697354124E-5i
6800                                              6800                                              -57.80892212584868                                2.3366834244031853E-5+1.0791822886657698E-5i
6950                                              6950                                              -46.275095748189855                               9.421688390903737E-5+2.353762196627418E-5i
7100                                              7100                                              -42.00097329361866                                1.5867999744334504E-4-7.300458347181404E-6i
7250                                              7250                                              -39.79416006885657                                1.9257480546025496E-4-6.968821135355796E-5i
7400                                              7400                                              -38.765514419528984                               1.8333377254226013E-4-1.397833112053437E-4i
7550                                              7550                                              -38.64851077815509                                1.3468847752845514E-4-1.9094779298012288E-4i
7700                                              7700                                              -39.41345814565463                                6.520465992604363E-5-2.0379499286438119E-4i
7850                                              7850                                              -41.23447020068538                                1.2243955876400925E-6-1.7349847882464076E-4i
8000                                              8000                                              -44.71182946308494                                -3.3125161815861226E-5-1.1144335744039946E-4i
8150                                              8150                                              -52.393579150430526                               -2.498052522603711E-5-4.1001691116759886E-5i
8300                                              8300                                              -57.98943482044456                                2.245729088479198E-5+1.1453011947715197E-5i
8450                                              8450                                              -46.46835511280579                                9.122292660368458E-5+2.6433885888188513E-5i
8600                                              8600                                              -42.1908544112555                                 1.5540692239385256E-4-1.3716377454953133E-6i
8750                                              8750                                              -39.979301599566654                               1.9092038144657986E-4-6.115964581210331E-5i
8900                                              8900                                              -38.94577893120035                                1.845490574463593E-4-1.3012034159098906E-4i
9050                                              9050                                              -38.82441343471281                                1.3889372498437913E-4-1.8205278435423633E-4i
9200                                              9200                                              -39.58550153496611                                7.137412132368626E-5-1.9726004769415884E-4i
9350                                              9350                                              -41.40414279803163                                7.596281052624221E-6-1.699767810566799E-4i
9500                                              9500                                              -44.87992943919693                                -2.8351255094261063E-5-1.1045320050762086E-4i
9650                                              9650                                              -52.56859466062829                                -2.295317721812129E-5-4.107637332562142E-5i
