% Model:              FEM_BEM_model_stl_TwoProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 9 2025, 08:51
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
10700                                             10700                                             -39.83904986975403                                7.82856398949261E-5-1.880999086847357E-4i
10850                                             10850                                             -41.64756425700355                                1.6237085888270997E-5-1.6464558945028518E-4i
11000                                             11000                                             -45.103155813538436                               -2.0601083151161603E-5-1.0921445910205829E-4i
11150                                             11150                                             -52.703975223245685                               -1.8356874682046165E-5-4.253453883529268E-5i
11300                                             11300                                             -58.21724117986031                                2.2179713454029137E-5+1.0539738284798261E-5i
11450                                             11450                                             -46.821024560917344                               8.600907737726926E-5+3.0319351434826558E-5i
11600                                             11600                                             -42.4924924685985                                 1.4980959513827274E-4+9.468685805424926E-6i
11750                                             11750                                             -40.129247945672155                               1.917918487399084E-4-4.5199650853255946E-5i
11900                                             11900                                             -34.048418921682206                               1.8448470060977717E-4-3.513441982998522E-4i
12050                                             12050                                             -39.58196631054071                                1.4317174428984947E-4-1.5343884523910667E-4i
12200                                             12200                                             -40.16469538965773                                8.611054247537053E-5-1.7634192939219862E-4i
12350                                             12350                                             -41.90541403178018                                2.6288876639801728E-5-1.584389112218032E-4i
12500                                             12500                                             -45.29380091961528                                -1.1569109125808552E-5-1.0811038234292969E-4i
12650                                             12650                                             -52.64022990455078                                -1.2801469563061829E-5-4.487780846984535E-5i
12800                                             12800                                             -58.362781234437584                               2.303423986743658E-5+7.2509258663977505E-6i
12950                                             12950                                             -47.2122816607914                                 8.231567511896021E-5+2.871321484798628E-5i
13100                                             13100                                             -42.90699233997294                                1.4263721139751162E-4+1.1665275271077746E-5i
13250                                             13250                                             -40.67341940030447                                1.8131060778509012E-4-3.716176157653184E-5i
13400                                             13400                                             -39.62199775414837                                1.8390391226336122E-4-9.908020303250886E-5i
13550                                             13550                                             -39.483044902587736                               1.4964378190651662E-4-1.505424726555571E-4i
13700                                             13700                                             -40.223288944741135                               9.164831090718861E-5-1.7203486201633478E-4i
13850                                             13850                                             -42.0108620275699                                 3.192178576016946E-5-1.5542280848523937E-4i
