% Model:              FEM_BEM_model_stl_FourProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 16 2025, 09:14
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
500                                               500                                               -53.29842304918155                                1.2438577547513319E-5+4.143551408497537E-5i
650                                               650                                               -49.679431156219565                               3.2125377847969094E-5+5.722224196991199E-5i
800                                               800                                               -47.37539468281603                                5.492535283585509E-5+6.560003629241251E-5i
950                                               950                                               -46.14001477151482                                7.096195521855142E-5+6.85068161397906E-5i
1100                                              1100                                              -45.480040347550734                               6.867379202979418E-5+8.129805073464613E-5i
1250                                              1250                                              -42.02924722822875                                4.041697476919737E-5+1.530861443957976E-4i
1400                                              1400                                              -31.610376371455647                               2.360275790974642E-5+5.248951373041377E-4i
1550                                              1550                                              -26.883099362968327                               8.760457396901344E-4-2.2896159890850587E-4i
1700                                              1700                                              -29.689125360160435                               2.532135926215373E-4-6.046198540031744E-4i
1850                                              1850                                              -33.297064564598706                               3.411518446466699E-5-4.313429169506833E-4i
2000                                              2000                                              -36.33379699357215                                -5.3804964645354225E-5-3.002453906110203E-4i
2150                                              2150                                              -39.88409931378013                                -7.962795051197347E-5-1.863900369497573E-4i
2300                                              2300                                              -45.15431382988627                                -5.800586364990146E-5-9.4036548730414E-5i
2450                                              2450                                              -55.072151697733005                               -2.522565712648195E-6-3.518105561173268E-5i
2600                                              2600                                              -49.06513161861125                                6.788046186551044E-5-1.8787949683130023E-5i
2750                                              2750                                              -43.1799929502623                                 1.311090701756612E-4-4.5210804868078824E-5i
2900                                              2900                                              -40.13578838829492                                1.669459007333507E-4-1.0439232998682435E-4i
3050                                              3050                                              -38.394251310380135                               1.623701679782652E-4-1.775671769097542E-4i
3200                                              3200                                              -37.46218912055148                                1.1528770365104579E-4-2.4178898482052347E-4i
3350                                              3350                                              -37.13323810427025                                3.5402382151827894E-5-2.7594531974561853E-4i
3500                                              3500                                              -37.30434799580045                                -5.817155654042061E-5-2.6650520197557537E-4i
3650                                              3650                                              -37.90472258923459                                -1.419718928648006E-4-2.112957182687225E-4i
3800                                              3800                                              -38.837513911942644                               -1.9451815721399646E-4-1.2016421652472076E-4i
3950                                              3950                                              -39.893290909255896                               -2.0209822647110354E-4-1.230072227642598E-5i
4100                                              4100                                              -40.669968042764225                               -1.6235230703354198E-4+8.901401276761867E-5i
4250                                              4250                                              -40.75195267818815                                -8.464652422202068E-5+1.6271337577200562E-4i
4400                                              4400                                              -40.17950344116902                                1.2824764781538267E-5+1.954889733857268E-4i
4550                                              4550                                              -39.3968860040407                                 1.0832109627084696E-4+1.8500169437718483E-4i
4700                                              4700                                              -38.78358830587345                                1.826522160495725E-4+1.3988594856784164E-4i
4850                                              4850                                              -38.524643672218374                               2.2430137002932282E-4+7.662044200584806E-5i
5000                                              5000                                              -38.690874479752836                               2.320960770620939E-4+1.426270302840038E-5i
5150                                              5150                                              -39.29250904421705                                2.1469866118928316E-4-3.132919100934384E-5i
5300                                              5300                                              -40.25294999721908                                1.8716115122741073E-4-5.203361074057611E-5i
5450                                              5450                                              -41.26507455524005                                1.6567989410187778E-4-4.941664599300566E-5i
5600                                              5600                                              -41.63674398726027                                1.622125298388899E-4-3.357363587586093E-5i
5750                                              5750                                              -40.83576309285946                                1.806243910714156E-4-1.93010434741403E-5i
5900                                              5900                                              -39.31011072675689                                2.1552768255311827E-4-2.0843158329175715E-5i
6050                                              6050                                              -37.773929807357945                               2.5413847520516786E-4-4.6870059245196494E-5i
6200                                              6200                                              -36.56734287309089                                2.8055694118722663E-4-9.725631128232326E-5i
6350                                              6350                                              -35.787895569621675                               2.8113897779119545E-4-1.626814117464681E-4i
6500                                              6500                                              -35.46041184898002                                2.492791941358652E-4-2.272169412115277E-4i
6650                                              6650                                              -35.607481873754466                               1.880789278491113E-4-2.73140683279105E-4i
6800                                              6800                                              -36.28080487611292                                1.1000484649442699E-4-2.8650209128389115E-4i
6950                                              6950                                              -37.59379289332469                                3.357977788237543E-5-2.6169419560995166E-4i
7100                                              7100                                              -39.795812920062076                               -2.1907820333399997E-5-2.035819017494056E-4i
7250                                              7250                                              -43.52414457115978                                -4.2059099979119274E-5-1.264884106710884E-4i
7400                                              7400                                              -51.244781626646976                               -2.1655497763728437E-5-5.034106312262754E-5i
7550                                              7550                                              -55.37678825296476                                3.3705384495763546E-5+4.8725639538726995E-6i
7700                                              7700                                              -45.0474098831673                                 1.0909967216760075E-4+2.4678710584535857E-5i
7850                                              7850                                              -40.70069866866247                                1.8445380406384437E-4+4.103545052536184E-6i
8000                                              8000                                              -38.22124540768906                                2.4007536482545389E-4-5.109620924081959E-5i
8150                                              8150                                              -36.74381904831807                                2.6215157055337057E-4-1.2623992802385242E-4i
8300                                              8300                                              -35.95469075069137                                2.463461906878073E-4-2.020958760901026E-4i
8450                                              8450                                              -35.71499583806049                                1.98618361555436E-4-2.604631136571278E-4i
8600                                              8600                                              -35.961288240014994                               1.3299039468761542E-4-2.8928986323972783E-4i
8750                                              8750                                              -36.66718772147967                                6.699191689663042E-5-2.857956122149785E-4i
8900                                              8900                                              -37.815996724297214                               1.621181348976375E-5-2.566643478872921E-4i
9050                                              9050                                              -39.349430008551835                               -1.0325686110257415E-5-2.1530773917988189E-4i
9200                                              9200                                              -41.03049001043261                                -1.2535163379623349E-5-1.7718271453626144E-4i
9350                                              9350                                              -42.2355696208949                                 1.2654193544681114E-6-1.546097823925674E-4i
9500                                              9500                                              -42.284651218755236                               1.7568149557112278E-5-1.527366916062034E-4i
9650                                              9650                                              -41.436548463872036                               2.2519381271457473E-5-1.680103471248806E-4i
9800                                              9800                                              -40.46643836833162                                6.822028332187369E-6-1.8942033389990343E-4i
9950                                              9950                                              -39.803656474633705                               -3.085983266021275E-5-2.0223145885223115E-4i
10100                                             10100                                             -39.570845070549005                               -8.302535228932317E-5-1.9303197413311768E-4i
10250                                             10250                                             -39.76947943692164                                -1.353692742226409E-4-1.5445287656634665E-4i
10400                                             10400                                             -40.33525189999459                                -1.7107743111011153E-4-8.809597143133452E-5i
10550                                             10550                                             -41.10268051643338                                -1.760926236012983E-4-4.7025672470502045E-6i
10700                                             10700                                             -41.73541731044962                                -1.4371291643555661E-4+7.855107590781785E-5i
10850                                             10850                                             -41.813447659078776                               -7.70784997339291E-5+1.4284585227386515E-4i
11000                                             11000                                             -41.23370089053456                                1.12453372203003E-5+1.7315339053292078E-4i
11150                                             11150                                             -40.34174061886422                                1.0250925279525758E-4+1.6268054137713595E-4i
11300                                             11300                                             -39.53574086014437                                1.7690141369464119E-4+1.1497300322305115E-4i
11450                                             11450                                             -39.04599950678249                                2.1903182524563025E-4+4.302929691257784E-5i
11600                                             11600                                             -38.98495156316693                                2.221571571239811E-4-3.432208135645265E-5i
11750                                             11750                                             -39.43046300838397                                1.8988805422992527E-4-9.771210808962039E-5i
11900                                             11900                                             -40.484726097873214                               1.3487923364724486E-4-1.326017716524186E-4i
12050                                             12050                                             -42.33953000059024                                7.492913571061077E-5-1.3313885450261242E-4i
12200                                             12200                                             -45.43168885855681                                2.7694914782327995E-5-1.0336947916567141E-4i
12350                                             12350                                             -51.09122701867178                                5.635188741970332E-6-5.549334822207985E-5i
12500                                             12500                                             -63.12724683012347                                1.2700182074998345E-5-5.778549817203604E-6i
12650                                             12650                                             -51.478007937514896                               4.3715287982248885E-5+3.0579942033703844E-5i
12800                                             12800                                             -46.27321707884904                                8.656920371696852E-5+4.405331203272134E-5i
12950                                             12950                                             -43.68785116774838                                1.264609999928057E-4+3.344540508776195E-5i
13100                                             13100                                             -42.44327579865765                                1.508482171090897E-4+5.847240402978571E-6i
13250                                             13250                                             -42.17174596342396                                1.5356124523052683E-4-2.6050762579332698E-5i
13400                                             13400                                             -42.78795030270024                                1.3676853855121296E-4-4.84250991887869E-5i
13550                                             13550                                             -44.32960665955308                                1.1021011582845741E-4-5.112896541337175E-5i
13700                                             13700                                             -46.61979877960162                                8.792683037101012E-5-3.130679153862115E-5i
13850                                             13850                                             -47.5652800132285                                 8.353780210945683E-5+5.332312987382792E-6i
14000                                             14000                                             -44.79597156216102                                1.055462868613799E-4+4.601649640001426E-5i
14150                                             14150                                             -41.344299034076364                               1.5416874855500584E-4+7.472270466246655E-5i
14300                                             14300                                             -38.6447856035245                                 2.2067131820019403E-4+7.715614114212066E-5i
14450                                             14450                                             -36.682796233531924                               2.8948205025464135E-4+4.536588541470543E-5i
14600                                             14600                                             -35.31420067625386                                3.424714343671087E-4-1.9398927905145413E-5i
14750                                             14750                                             -34.43812522311832                                3.641678458938258E-4-1.0650655663180242E-4i
14900                                             14900                                             -33.996183417372926                               3.4635463909671316E-4-1.9854807085140092E-4i
15050                                             15050                                             -33.96112837810524                                2.906650067683869E-4-2.7602251086455976E-4i
15200                                             15200                                             -34.33090970178499                                2.0833015469673422E-4-3.2273622963641113E-4i
15350                                             15350                                             -35.12824710297546                                1.1711843529155219E-4-3.302933700979338E-4i
15500                                             15500                                             -36.40595014135671                                3.636642320814509E-5-3.00311054265312E-4i
15650                                             15650                                             -38.2593551322292                                 -1.839131755188017E-5-2.4368504849581196E-4i
15800                                             15800                                             -40.84180709893407                                -3.9556303155607875E-5-1.771640747524339E-4i
15950                                             15950                                             -44.30350704098735                                -2.91432498037425E-5-1.183219507288058E-4i
16100                                             16100                                             -47.90114648731776                                2.4404365281394114E-6-8.049579074964619E-5i
16250                                             16250                                             -47.96368832355075                                4.0044719907428306E-5-6.92041979628577E-5i
16400                                             16400                                             -45.49325676747795                                6.868198477588683E-5-8.107918691668825E-5i
16550                                             16550                                             -43.65276420154727                                7.815952564055317E-5-1.0555031489178912E-4i
16700                                             16700                                             -42.81415193677179                                6.60384572787609E-5-1.286970330578452E-4i
16850                                             16850                                             -42.90380899361729                                3.804884549890586E-5-1.3801723202222504E-4i
17000                                             17000                                             -43.96050325003941                                5.8668008700579755E-6-1.2663076580021748E-4i
17150                                             17150                                             -46.27790011233981                                -1.7001576467945423E-5-9.558085299898877E-5i
17300                                             17300                                             -50.88589372772595                                -1.9919558969516693E-5-5.3526731534137006E-5i
17450                                             17450                                             -63.11769707436193                                1.105529390976745E-6-1.392453362147883E-5i
17600                                             17600                                             -53.38733363481229                                4.177648938630263E-5+9.403081288161808E-6i
17750                                             17750                                             -46.86039956931181                                9.052059720376926E-5+6.9125120708557475E-6i
17900                                             17900                                             -43.484099232425834                               1.3187832113775722E-4-2.3259180469969998E-5i
18050                                             18050                                             -41.49082059901094                                1.5122393229100028E-4-7.422311325688824E-5i
18200                                             18200                                             -40.356894376109516                               1.3939718655520128E-4-1.3195736080595655E-4i
18350                                             18350                                             -39.86269131537418                                9.580623502142283E-5-1.7918155450236117E-4i
18500                                             18500                                             -39.89535199862535                                2.903400547665802E-5-2.0033116709006205E-4i
18650                                             18650                                             -40.372521549471934                               -4.5285312131326805E-5-1.8617524780850658E-4i
18800                                             18800                                             -41.17936116361955                                -1.0871760097008742E-4-1.3663135792052472E-4i
18950                                             18950                                             -42.078025672135155                               -1.4516194061298116E-4-6.096655330001255E-5i
19100                                             19100                                             -42.649499893357266                               -1.453289311461603E-4+2.4738986832750776E-5i
19250                                             19250                                             -42.52828105354248                                -1.0923424983499963E-4+1.0205650370442854E-4i
19400                                             19400                                             -41.83063389882852                                -4.599401425137151E-5+1.553271731876693E-4i
19550                                             19550                                             -41.00117625777891                                2.9001681541074298E-5+1.7585058282765242E-4i
19700                                             19700                                             -40.384274009982036                               9.864245358842672E-5+1.6395864294815876E-4i
19850                                             19850                                             -40.14538150214235                                1.4899645267379968E-4+1.2838694606631673E-4i
20000                                             20000                                             -40.354608585711                                  1.7305561896635568E-4+8.315930820201878E-5i
20150                                             20150                                             -41.03995910437745                                1.7214614262589523E-4+4.298643528999335E-5i
20300                                             20300                                             -42.19515945697999                                1.5423117710372525E-4+1.8493414290610133E-5i
20450                                             20450                                             -43.97996649420741                                1.2592473723904707E-4+1.1869033871736434E-5i
20600                                             20600                                             -38.75771065459454                                2.2021412053652156E-4+6.893459746437625E-5i
20750                                             20750                                             -41.25502918976327                                1.6492919191396505E-4+5.253013059558498E-5i
20900                                             20900                                             -40.10463657308863                                1.8815436908664607E-4+6.037973298833599E-5i
21050                                             21050                                             -38.721537864871905                               2.2600043651938018E-4+5.114083725377139E-5i
21200                                             21200                                             -37.59982350174798                                2.6298821739556555E-4+1.8763147473399577E-5i
21350                                             21350                                             -36.87543707833636                                2.8456705961399376E-4-3.397533375715245E-5i
21500                                             21500                                             -36.58824822796254                                2.80027522150339E-4-9.660316256365764E-5i
21650                                             21650                                             -36.76901852967565                                2.4588553368992683E-4-1.5398201692629065E-4i
21800                                             21800                                             -37.47537329996197                                1.8740080339385567E-4-1.9083136771358422E-4i
21950                                             21950                                             -38.82773308384659                                1.1746577323407115E-4-1.9645969223713866E-4i
22100                                             22100                                             -41.088529687648865                               5.314332613154393E-5-1.6824918110958098E-4i
22250                                             22250                                             -44.935631700237984                               1.0816856994777524E-5-1.1278731907948814E-4i
22400                                             22400                                             -53.09177351752106                                1.4525269534382268E-6-4.4280017507669633E-5i
22550                                             22550                                             -55.51722991922197                                2.7379979166464175E-5+1.93190627484352E-5i
22700                                             22700                                             -45.846784524279016                               8.156535767894768E-5+6.128159647111886E-5i
22850                                             22850                                             -41.646789510679326                               1.4958112326213246E-4+7.072611959835218E-5i
23000                                             23000                                             -39.23285804144677                                2.136710832796873E-4+4.552771355070817E-5i
23150                                             23150                                             -37.79489071649187                                2.5769774220057995E-4-7.3139017287005E-6i
23300                                             23300                                             -37.03387050882984                                2.7153468245522117E-4-7.388768404958945E-5i
23450                                             23450                                             -36.816837737438135                               2.5362847260074206E-4-1.3755384278268945E-4i
23600                                             23600                                             -37.08355842043728                                2.1099432971277698E-4-1.8376889391846785E-4i
23750                                             23750                                             -37.81015111197182                                1.566913374591028E-4-2.0414778680066803E-4i
23900                                             23900                                             -38.982127820924674                               1.0556874363409907E-4-1.9854448894740528E-4i
24050                                             24050                                             -40.5419062228712                                 6.963368753243326E-5-1.7452462513833922E-4i
24200                                             24200                                             -42.24762807302986                                5.4448216876445965E-5-1.4448146580536836E-4i
24350                                             24350                                             -43.457715278982                                  5.771440779234194E-5-1.212897537831159E-4i
24500                                             24500                                             -43.48160739522288                                7.040213366182879E-5-1.139592597415584E-4i
24650                                             24650                                             -42.60971384107633                                8.005452241027777E-5-1.2459453092505957E-4i
24800                                             24800                                             -41.634034107302                                  7.518405006523565E-5-1.4766373859831372E-4i
24950                                             24950                                             -40.97747865047775                                4.937233330387647E-5-1.717576693970324E-4i
25100                                             25100                                             -40.75505599003349                                3.7915302426583253E-6-1.8330922286591278E-4i
25250                                             25250                                             -40.960792705463405                               -5.2712057710846416E-5-1.71121912448835E-4i
25400                                             25400                                             -41.51738378465091                                -1.0596548844277187E-4-1.3029207029724432E-4i
25550                                             25550                                             -42.23528324443879                                -1.4062329249975303E-4-6.428415137793575E-5i
25700                                             25700                                             -42.75243315696113                                -1.4485354023396901E-4+1.5522105348830806E-5i
25850                                             25850                                             -42.672032665918415                               -1.1411592707688545E-4+9.272328034326538E-5i
26000                                             26000                                             -41.96959744245496                                -5.2879548694040324E-5+1.503972949377097E-4i
26150                                             26150                                             -41.0205966449457                                 2.62802610739854E-5+1.7587537712160373E-4i
26300                                             26300                                             -40.194540339873456                               1.0596491104303274E-4+1.643751604767374E-4i
26450                                             26450                                             -39.691802784555705                               1.6865938860277652E-4+1.2039833068511197E-4i
26600                                             26600                                             -39.6069395374274                                 2.014941213296928E-4+5.6473187646788325E-5i
26750                                             26750                                             -40.0032256300114                                 1.996549750208354E-4-1.0401578211971518E-5i
26900                                             26900                                             -40.95825180883469                                1.6743454056616924E-4-6.360587965759112E-5i
27050                                             27050                                             -42.595320173443014                               1.1654882993367144E-4-9.176984640901775E-5i
27200                                             27200                                             -45.03884035331963                                6.147062344608045E-5-9.358339798526405E-5i
27350                                             27350                                             -47.673493459624076                               -7.453234886944937E-5-3.5769963763199186E-5i
27500                                             27500                                             -63.60162529477947                                1.2033254705501317E-5+5.453602662242041E-6i
27650                                             27650                                             -52.91793248470271                                1.8637460773518466E-5+4.117811818671324E-5i
27800                                             27800                                             -47.679989078138185                               4.521551473202212E-5+6.913684940557108E-5i
27950                                             27950                                             -45.0301154186774                                 8.027452465730889E-5+7.821573767907708E-5i
28100                                             28100                                             -43.73972403428036                                1.1089807062797385E-4+6.78928335593465E-5i
28250                                             28250                                             -43.43463435219889                                1.2688393150256383E-4+4.515270645844005E-5i
28400                                             28400                                             -44.019937198800925                               1.2405928813752354E-4+2.1462609673394972E-5i
28550                                             28550                                             -45.514706926563655                               1.0564530050077847E-4+8.630767260875416E-6i
28700                                             28700                                             -47.691399448641896                               8.119219548807788E-5+1.4637889156343675E-5i
28850                                             28850                                             -48.47330995447871                                6.346010719021633E-5+4.0716035068499856E-5i
29000                                             29000                                             -45.76419851119211                                6.415590672986804E-5+8.057407495776214E-5i
29150                                             29150                                             -42.40505151293408                                8.996200511085517E-5+1.2205604322435004E-4i
29300                                             29300                                             -39.75617022735543                                1.3998794685526894E-4+1.5070955247631357E-4i
29450                                             29450                                             -37.823379626470214                               2.0555950578032833E-4+1.5418287861335145E-4i
29600                                             29600                                             -36.474081485007495                               2.7235528546282195E-4+1.2612480214080346E-4i
29750                                             29750                                             -35.61232585119006                                3.243139430144648E-4+6.839139703451735E-5i
29900                                             29900                                             -35.181936445003615                               3.481646592441989E-4-9.105990884328286E-6i
30050                                             30050                                             -35.15716968505017                                3.372414337115548E-4-9.090376172327108E-5i
30200                                             30200                                             -35.53727621499573                                2.9346774797794906E-4-1.6015153146531347E-4i
30350                                             30350                                             -36.346692072959115                               2.268764334365514E-4-2.0320802449425024E-4i
30500                                             30500                                             -37.641008523683645                               1.5280410388596177E-4-2.1332992410649787E-4i
30650                                             30650                                             -39.5203813587219                                 8.756713336149913E-5-1.9236061010274863E-4i
30800                                             30800                                             -42.14761402043312                                4.392527232011112E-5-1.4988477244748388E-4i
30950                                             30950                                             -45.687042702943586                               2.7689958265686432E-5-1.001577479203819E-4i
31100                                             31100                                             -49.33079879811786                                3.649101672287269E-5-5.774760428145509E-5i
31250                                             31250                                             -49.18008101858818                                6.1033484000661E-5-3.325776667006952E-5i
31400                                             31400                                             -46.60759288321037                                8.83785784221991E-5-3.0413599863332585E-5i
