% Model:              FEM_BEM_model_stl_TwoProlSpheroids_1target.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 3 2025, 18:10
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Ps_Global_var_Point
19500                                             19500                                             -45.61395151596527                                -0.004517099849377093-0.002655138336016588i
19750                                             19750                                             -45.6780499990778                                 -7.677878803291627E-5+0.005200560765372675i
20000                                             20000                                             -45.78333656743653                                0.0045027023184318615-0.0024757758959437215i
20250                                             20250                                             -46.02868006069912                                -0.004264500651879333-0.0026014542788821617i
20500                                             20500                                             -48.143520700962426                               7.39044148101442E-7+0.003915831153511462i
20750                                             20750                                             -44.702679172025                                  0.005237792094731075-0.0025355576632302146i
21000                                             21000                                             -45.203201781459285                               -0.004558961929157501-0.0030648209284026445i
21250                                             21250                                             -45.35215612311742                                -3.948953690574575E-4+0.005385522013512389i
21500                                             21500                                             -45.43049028201696                                0.0048333078053408585-0.00229732064019883i
21750                                             21750                                             -45.482531211287515                               -0.004357533659293811-0.003051118301388771i
22000                                             22000                                             -45.52178964447815                                -5.019775372566704E-4+0.0052716977016809i
22250                                             22250                                             -45.553766531000655                               0.004815805695970732-0.0021552434444960245i
22500                                             22500                                             -45.58113023110132                                -0.004236241262661755-0.003117126323903447i
22750                                             22750                                             -45.60529085186192                                -6.21692939162255E-4+0.005207902801096509i
23000                                             23000                                             -45.62702133684781                                0.004825498461014099-0.002021390235512621i
23250                                             23250                                             -45.646791875726706                               -0.004128047060819595-0.0031947395062112876i
23500                                             23500                                             -45.66490825106422                                -7.431989762107793E-4+0.00515571188326458i
23750                                             23750                                             -45.68146633026774                                0.004842903249288599-0.0018912281167959843i
24000                                             24000                                             -45.69653159377481                                -0.00402584596153055-0.003275578777054884i
24250                                             24250                                             -45.71002184864181                                -8.637862918575712E-4+0.0051095188231042865i
24500                                             24500                                             -45.72175651678559                                0.00486458628653208-0.001765403558717793i
24750                                             24750                                             -45.73155816300251                                -0.003930321587630736-0.0033575359721784103i
25000                                             25000                                             -45.73890339638277                                -9.810737510662637E-4+0.005070780578003697i
25250                                             25250                                             -45.743260947573354                               0.004892059975633578-0.001648125892100838i
25500                                             25500                                             -45.74355331476965                                -0.003848513813081711-0.003440307728920366i
25750                                             25750                                             -45.738079690543216                               -0.0010897643142493418+0.005049039015175838i
26000                                             26000                                             -45.72391032342569                                0.004934838981257572-0.0015540062733743198i
26250                                             26250                                             -45.6954317620849                                 -0.003809418931499664-0.0035259044142239887i
26500                                             26500                                             -45.640642374743514                               -0.0011672679442187306+0.005091485753738745i
26750                                             26750                                             -45.5280754254925                                 0.005053107435856741-0.0015710903420562694i
27000                                             27000                                             -45.24122815051431                                -0.004088662387286002-0.0036327710576139955i
27250                                             27250                                             -43.700570529210395                               -4.782666342850739E-4+0.0065133408734319165i
27500                                             27500                                             -48.11824969091184                                0.003927240200388149-1.8990176486877175E-6i
27750                                             27750                                             -46.765274479510126                               -0.00285407928430903-0.003593733340841791i
28000                                             28000                                             -46.491966931778556                               -0.0016476441907553596+0.004440036886771415i
28250                                             28250                                             -46.381685719191566                               0.004725872590766178-8.195212563677501E-4i
28500                                             28500                                             -46.32623640399529                                -0.0030839725325249034-0.00371351719784753i
28750                                             28750                                             -46.29573795471687                                -0.001701879341603485+0.00453529621544102i
29000                                             29000                                             -46.27848463392713                                0.004792991839169813-7.654677524837616E-4i
29250                                             29250                                             -46.26922425615944                                -0.0030358668643704068-0.003793746356133589i
29500                                             29500                                             -46.2650186350887                                 -0.0018029518027956604+0.004514558382212597i
29750                                             29750                                             -46.264162178508634                               0.004817102171980614-6.573127647846455E-4i
30000                                             30000                                             -46.265646146378934                               -0.0029452781925898286-0.0038670136590988305i
30250                                             30250                                             -46.26878078963472                                -0.0019137140503749928+0.00446644248256467i
30500                                             30500                                             -46.273083983865035                               0.00482733327977769-5.337411475514475E-4i
30750                                             30750                                             -46.278289008161764                               -0.0028396026145960374-0.0039365505021325495i
31000                                             31000                                             -46.28413245753001                                -0.002027377345489856+0.004406567316284082i
31250                                             31250                                             -46.29044666260438                                0.004830208365386168-4.0373126272141846E-4i
31500                                             31500                                             -46.29708585937998                                -0.002726413136427963-0.004003085653556362i
31750                                             31750                                             -46.30398866636304                                -0.00214164657056648+0.004339829263350081i
32000                                             32000                                             -46.31103429889863                                0.004828001426535056-2.7056457844731874E-4i
32250                                             32250                                             -46.31819964294873                                -0.0026086625630639126-0.004066833602811403i
32500                                             32500                                             -46.3253691375143                                 -0.0022555374831478847+0.00426829015071073i
32750                                             32750                                             -46.33263654182605                                0.004821655696868321-1.3571914471710578E-4i
33000                                             33000                                             -46.339929718389655                               -0.0024877591859207016-0.004127807903301053i
33250                                             33250                                             -46.34720891814779                                -0.00236837428517489+0.004192809051217772i
33500                                             33500                                             -46.35448164438537                                0.004811449343505858-4.528065700171169E-8i
33750                                             33750                                             -46.36175928390983                                -0.002364398297433068-0.00418579795788928i
34000                                             34000                                             -46.36905542072792                                -0.002479729097915051+0.0041138100526527666i
34250                                             34250                                             -46.37639979209537                                0.004797397245276391+1.359566588254868E-4i
34500                                             34500                                             -46.383836370343374                               -0.0022388941987583344-0.004240453981832168i
34750                                             34750                                             -46.391450527700144                               -0.002589082639975482+0.004031187144315496i
35000                                             35000                                             -46.39932456924096                                0.004778942528343988+2.7193373678402466E-4i
35250                                             35250                                             -46.40766671142256                                -0.002111034333396322-0.004290897921655739i
35500                                             35500                                             -46.41680408479012                                -0.0026955828798441717+0.003943861124222625i
35750                                             35750                                             -46.427164805599546                               0.004753896139297886+4.0780279348395787E-4i
36000                                             36000                                             -46.43961518971919                                -0.001979016838760117-0.004334068780338401i
36250                                             36250                                             -46.4559709158096                                 -0.0027965313311756335+0.0038463933010712825i
36500                                             36500                                             -46.48023735666708                                0.0047109115803495305+5.446365663797081E-4i
36750                                             36750                                             -46.524148823458106                               -0.001827878543703143-0.004349934873521204i
37000                                             37000                                             -46.641909605921754                               -0.002863744646519617+0.0036696700509264435i
37250                                             37250                                             -48.86395998222942                                0.003472423250217016+9.654650453716496E-4i
37500                                             37500                                             -46.09841418583744                                -0.0018538438103565813-0.004595575831309186i
37750                                             37750                                             -46.2582897855361                                 -0.0030489110590226076+0.0037911287175174113i
38000                                             38000                                             -46.306624551683115                               0.004773130541887993+7.897989154126428E-4i
38250                                             38250                                             -46.328034483871846                               -0.0016565936349632882-0.004532896302708425i
38500                                             38500                                             -46.33721327418102                                -0.003125274611417983+0.003670822195755985i
38750                                             38750                                             -46.33740448869601                                0.004734870619255149+9.067821691133293E-4i
39000                                             39000                                             -46.326630368909214                               -0.001557680815078566-0.004568655535699796i
39250                                             39250                                             -46.29316845121045                                -0.003195571138592257+0.0036424603649221066i
39500                                             39500                                             -46.16820197887411                                0.0048361150643772+8.81250100837061E-4i
39750                                             39750                                             -48.089455449153704                               0.001294040706634192-0.0037217301581292566i
40000                                             40000                                             -46.62614148395929                                -0.003400818772292258+0.0031907296252797757i
40250                                             40250                                             -46.53413858947175                                0.004526359294024229+0.0013130093714175395i
40500                                             40500                                             -46.50307088892952                                -0.0011191714503200334-0.004595524157976914i
40750                                             40750                                             -46.48815732040508                                -0.0034456992019260557+0.003251999214937129i
41000                                             41000                                             -46.47973286212824                                0.004533270474918472+0.001393337113875237i
41250                                             41250                                             -46.47446871268413                                -0.001022436499570345-0.004633986669731511i
41500                                             41500                                             -46.47095257760782                                -0.0035311055542608383+0.003173128078159948i
41750                                             41750                                             -46.468481201576196                               0.004501393138586773+0.0015125266123738879i
42000                                             42000                                             -46.46667230367907                                -8.97857720411066E-4-0.0046640672079781035i
42250                                             42250                                             -46.46534776250619                                -0.0036201438228605776+0.003075891994441804i
42500                                             42500                                             -46.46436242913866                                0.004458646704991187+0.001640775100836267i
42750                                             42750                                             -46.46379307069273                                -7.614482076034879E-4-0.004689864532215199i
43000                                             43000                                             -46.4637309268149                                 -0.0037121529819300614+0.0029656156137314316i
43250                                             43250                                             -46.464510253029864                               0.004404071572178259+0.0017818694350635322i
43500                                             43500                                             -46.46712306875131                                -5.964173662942329E-4-0.004711859115973606i
43750                                             43750                                             -46.47521593647266                                -0.0038341005587888555+0.002795533500965508i
44000                                             44000                                             -46.50278684438555                                0.004132822394620206+0.002300571514868288i
44250                                             44250                                             -46.38603192239921                                -7.346781744299591E-4-0.004737375178596114i
44500                                             44500                                             -46.4230101179634                                 -0.0038188380732717686+0.0028642794547673045i
44750                                             44750                                             -46.43000307286191                                0.00435641805026088+0.0019423130493245733i
45000                                             45000                                             -46.43194895887098                                -4.3800489629153283E-4-0.0047485701513806265i
45250                                             45250                                             -46.43209280791176                                -0.003923206734740559+0.002710804764355368i
45500                                             45500                                             -46.43133814250068                                0.004288288091267023+0.0020867560071302638i
45750                                             45750                                             -46.4301034756999                                 -2.894988256063602E-4-0.004760947665726607i
46000                                             46000                                             -46.4285082009941                                 -0.004004599489976224+0.0025926769026130003i
46250                                             46250                                             -46.4266761169059                                 0.004227428144695788+0.0022129719307373286i
46500                                             46500                                             -46.424656312397836                               -1.5188521306774838E-4-0.0047703161205227464i
46750                                             46750                                             -46.4224725472906                                 -0.004079858958874749+0.002478949925255325i
47000                                             47000                                             -46.42015306251957                                0.0041662012897264455+0.002333534629073153i
47250                                             47250                                             -46.41774939485694                                -1.771311994858138E-5-0.004776497381872107i
47500                                             47500                                             -46.41524001375664                                -0.004151012785622021+0.002365907954188229i
47750                                             47750                                             -46.41263396879622                                0.004103243977462978+0.002450616062243949i
48000                                             48000                                             -46.40998057373149                                1.1462887633539864E-4-0.004779429933682661i
48250                                             48250                                             -46.40723036724601                                -0.004218547529569183+0.002252648531625434i
48500                                             48500                                             -46.40447209108619                                0.004038200539951964+0.0025647680510887394i
48750                                             48750                                             -46.401641234920874                               2.45548243926752E-4-0.004779092680005063i
49000                                             49000                                             -46.39880220921082                                -0.004282512659103954+0.002138943891621947i
49250                                             49250                                             -46.39593360593875                                0.003970985584630937+0.00267608108126538i
49500                                             49500                                             -46.39305553028558                                3.7507510657341925E-4-0.0047754220757230004i
49750                                             49750                                             -46.39019395659757                                -0.00434288041308295+0.0020248088201335612i
50000                                             50000                                             -46.38738321493615                                0.003901620451826626+0.0027843641367042427i
50250                                             50250                                             -46.38460560206563                                5.029136334377959E-4-0.00476834380884104i
50500                                             50500                                             -46.38189100442094                                -0.0043993222306804025+0.0019105924032480903i
50750                                             50750                                             -46.37926898086202                                0.0038303146295021184+0.002889114432441664i
51000                                             51000                                             -46.37676932264504                                6.283410210139451E-4-0.004757807512100834i
51250                                             51250                                             -46.37445422957343                                -0.004451328299470703+0.001797081474769202i
51500                                             51500                                             -46.37240583959998                                0.0037576747367040753+0.0029890763500017847i
51750                                             51750                                             -46.37065049212934                                7.494417593845171E-4-0.004743664629608309i
52000                                             52000                                             -46.36932675928442                                -0.004497356526256269+0.0016866630801248839i
52250                                             52250                                             -46.36859403626114                                0.0036858989889698712+0.0030804365745595863i
52500                                             52500                                             -46.368684350588595                               8.584965471403194E-4-0.004726250593450656i
52750                                             52750                                             -46.36977530724225                                -0.004530937242330779+0.0015935096722652364i
53000                                             53000                                             -46.370958620988745                               0.0036414870478423955+0.003130807057560858i
53250                                             53250                                             -46.32924963320221                                6.682643693856072E-4-0.0047789494760051765i
53500                                             53500                                             -46.51105956245567                                -0.004578576276731416+0.0011691504830102506i
53750                                             53750                                             -46.0817350461945                                 0.003713140493358247+0.003295926419666362i
54000                                             54000                                             -46.309772022288406                               0.001101609628095801-0.00470914603626128i
54250                                             54250                                             -46.356843234135994                               -0.0046111144489546785+0.0013693368124567673i
54500                                             54500                                             -46.41281453316231                                0.003474038879749952+0.00328210822634345i
54750                                             54750                                             -46.58316285824619                                9.698685182413236E-4-0.004584970354078257i
55000                                             55000                                             -45.59047992686174                                -0.004925885714632261-0.0018271228800048611i
55250                                             55250                                             -46.042374312839115                               0.003212102840488562+0.0038154115791111387i
55500                                             55500                                             -46.13639706735028                                0.001606282717525609-0.004664984673306965i
55750                                             55750                                             -46.15445582174284                                -0.004838251194030918+9.124375615787716E-4i
