% Model:              FEM_BEM_model_stl_TwoProlSpheroids_1target.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 3 2025, 18:10
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Ps_Global_var_Point
82250                                             82250                                             -46.23967158508522                                -6.440110366101592E-4+0.0048327476753262655i
82500                                             82500                                             -45.728545223647565                               0.004877776325606931-0.001716484080105124i
82750                                             82750                                             -45.8824781349624                                 -0.0038870193992623925-0.00327092519348815i
83000                                             83000                                             -45.896196551381635                               -9.192628333376529E-4+0.004988129353872273i
83250                                             83250                                             -45.90110516521985                                0.004789182881914655-0.0016616693420460908i
83500                                             83500                                             -45.90464367203402                                -0.0038066842545037005-0.003344494531920539i
83750                                             83750                                             -45.915910495310904                               -0.0010284842219154822+0.004955015960889098i
84000                                             84000                                             -45.8855325929824                                 0.004836483883685627-0.0015485962656972153i
84250                                             84250                                             -45.89435702435355                                -0.003729721784231921-0.003438975604597161i
84500                                             84500                                             -45.89563256087981                                -0.001151902720908371+0.004939933185749146i
84750                                             84750                                             -45.89566930522814                                0.004865498492134801-0.0014340594443047613i
85000                                             85000                                             -45.89510960197249                                -0.0036471293478473887-0.003525814195326493i
85250                                             85250                                             -45.893963974696945                               -0.001269355783722892+0.004912071162671561i
85500                                             85500                                             -45.891458140758736                               0.004901195447293283-0.0013163761729488045i
85750                                             85750                                             -45.88209260237584                                -0.003557242596316512-0.0036271459392667182i
86000                                             86000                                             -45.97860527415016                                -0.001211522493088646+0.004875974402135386i
86250                                             86250                                             -45.91670676299187                                0.004904024698348941-0.0012473209833268684i
86500                                             86500                                             -45.914406010374435                               -0.0035084415724473406-0.003648242597759088i
86750                                             86750                                             -45.93169417687082                                -0.0014131279938767172+0.004849755270991407i
87000                                             87000                                             -45.96177083721975                                0.0048786003509770914-0.0012410519860283965i
87250                                             87250                                             -46.37025283519462                                -0.004062464715359759-0.0025617395326693604i
87500                                             87500                                             -45.76762024663179                                -0.001916325601764024+0.00477778340149948i
87750                                             87750                                             -45.82696137174484                                0.00504573169538558-8.24917030433142E-4i
88000                                             88000                                             -45.84295906071799                                -0.0032316643673535594-0.00394969998429584i
88250                                             88250                                             -45.84954850885169                                -0.001823602476841435+0.004762223524379383i
88500                                             88500                                             -45.852802943110675                               0.005038763396114643-7.718050368923955E-4i
88750                                             88750                                             -45.85429112003543                                -0.003160486407544072-0.003998405015942508i
89000                                             89000                                             -45.85478170281619                                -0.0019162366785757667+0.0047223955678521445i
89250                                             89250                                             -45.854769061377326                               0.0050529236386265275-6.640942794793558E-4i
89500                                             89500                                             -45.85426879121116                                -0.0030708968389525637-0.004067633607057752i
89750                                             89750                                             -45.85347955468961                                -0.0020237946237955384+0.004678143530628676i
90000                                             90000                                             -45.853068878966646                               0.005067977141381963-5.466590947405283E-4i
90250                                             90250                                             -45.84930414028954                                -0.0029758677859509364-0.004141252595502021i
90500                                             90500                                             -45.848504564085545                               -0.002135833753524885+0.004631281103323337i
90750                                             90750                                             -45.84684338475651                                0.005083289233320798-4.2505529904335586E-4i
91000                                             91000                                             -45.844909601675624                               -0.0028762647817981435-0.0042141655248240095i
91250                                             91250                                             -45.84247065813934                                -0.0022495917387399533+0.004581053435281923i
91500                                             91500                                             -45.839804123567504                               0.005096298265028221-3.0075729975115106E-4i
91750                                             91750                                             -45.83662030122137                                -0.002773922627297143-0.004288027268212202i
92000                                             92000                                             -45.83289949180637                                -0.002365714291477361+0.004528529078307031i
92250                                             92250                                             -45.8285769095259                                 0.005108869910652736-1.7211240133060146E-4i
92500                                             92500                                             -45.82340926822398                                -0.0026671339050265974-0.004364364994186021i
92750                                             92750                                             -45.81732368877459                                -0.002488283437238059+0.004472853113102193i
93000                                             93000                                             -45.81069482760833                                0.005122203303786765-3.1946798243045274E-5i
93250                                             93250                                             -45.80776918864022                                -0.0025391793275403307-0.004450644547315807i
93500                                             93500                                             -45.863959053439345                               -0.002665212773605985+0.004337602630533066i
93750                                             93750                                             -45.500870453038885                               0.00530828000240291+1.8558876392787525E-5i
94000                                             94000                                             -45.38453031081946                                -0.0025467061197492757-0.004738936183273923i
94250                                             94250                                             -38.16908049665263                                0.0028275877546973804+0.012018414789777276i
94500                                             94500                                             -46.29368796929997                                0.004845069015613213+4.111145226284908E-5i
94750                                             94750                                             -46.07540057357353                                -0.0023576797035934627-0.004373542086921756i
95000                                             95000                                             -46.00455047894001                                -0.0026810836852464437+0.004231353112726932i
95250                                             95250                                             -45.96981159426954                                0.005022760305228857+2.5681932386259254E-4i
95500                                             95500                                             -45.948931125833894                               -0.0022537322603211063-0.00450961999498567i
95750                                             95750                                             -45.93334854335392                                -0.0028196245886819016+0.004190114041779935i
96000                                             96000                                             -45.910245647570164                               0.005048901345849899+3.898526275976712E-4i
96250                                             96250                                             -45.98434901505509                                -0.0021343663524797662-0.004544670567563358i
96500                                             96500                                             -45.94759908396153                                -0.0029135831543847246+0.004115192757969677i
96750                                             96750                                             -45.95714978162838                                0.005011509161023664+5.02698135258417E-4i
97000                                             97000                                             -45.93974606316471                                -0.0020440378596359166-0.004614293115728918i
97250                                             97250                                             -45.97190608150585                                -0.002986095297521918+0.004045382108119888i
97500                                             97500                                             -45.68160384196189                                0.005155696811576238+6.696194446391649E-4i
97750                                             97750                                             -45.91045958618917                                -0.0019655916668220863-0.004666752198045909i
98000                                             98000                                             -45.95593907945717                                -0.003039167379054186+0.0040172707209518155i
98250                                             98250                                             -46.06180642975203                                0.004948240773217094+5.280447290472743E-4i
98500                                             98500                                             -47.69349901849167                                0.0011624089270162452-0.003956852557707169i
98750                                             98750                                             -45.756767141256034                               -0.0034750518435155975+0.003806552031110355i
99000                                             99000                                             -45.840181295088655                               0.005002606491233408+0.0010170427152407047i
99250                                             99250                                             -45.88673795929758                                -0.001626647612140708-0.00481005067112239i
99500                                             99500                                             -45.97152202818183                                -0.003297872585433792+0.0037958073912602863i
99750                                             99750                                             -47.57478807104703                                0.004180382030161134-5.993031243397115E-5i
100000                                            100000                                            -45.63271044034174                                -0.0014034039707455648-0.005036474860287132i
