% Model:              FEM_BEM_model_stl_ThreeProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 10 2025, 15:17
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
10850                                             10850                                             -45.40746096940184                                9.030113264907325E-5-5.798301442205833E-5i
11000                                             11000                                             -70.97349488753336                                5.5055721169261496E-6-1.286977184822291E-6i
11150                                             11150                                             -37.70828432816372                                2.599405350481865E-4+1.5205569340537295E-5i
11300                                             11300                                             -36.09050203191729                                1.2307123346455562E-4-2.88542544281567E-4i
11450                                             11450                                             -47.2241220808541                                 -6.158043095894072E-5-6.154247829281978E-5i
11600                                             11600                                             -45.47093078024494                                9.078258339867418E-5-5.574734104762946E-5i
11750                                             11750                                             -71.02944242915487                                5.500826328275199E-6-1.1398972746823333E-6i
11900                                             11900                                             -37.77060593473333                                2.5772563838905027E-4+2.0292718117653763E-5i
12050                                             12050                                             -36.15368904988663                                1.2794276797672977E-4-2.83923646460682E-4i
12200                                             12200                                             -47.29000310352766                                -5.9866555595089466E-5-6.23017571947937E-5i
12350                                             12350                                             -45.53256361493194                                9.125187780695265E-5-5.350152461591762E-5i
12500                                             12500                                             -71.08231605337632                                5.4941879807923755E-6-9.952247145283977E-7i
12650                                             12650                                             -37.83139429757235                                2.554623316766147E-4+2.5383666499845248E-5i
12800                                             12800                                             -36.215612184743705                               1.3279616905947922E-4-2.7923856615996723E-4i
12950                                             12950                                             -47.35448050426882                                -5.81388780412917E-5-6.30505073326848E-5i
13100                                             13100                                             -45.59313793193841                                9.170029363464449E-5-5.123857913258423E-5i
13250                                             13250                                             -71.132502428446                                  5.4867532986446754E-6-8.449344172101192E-7i
13400                                             13400                                             -37.89158775752239                                2.5311893556084764E-4+3.0479293894880577E-5i
13550                                             13550                                             -36.276787167370614                               1.3762092371805146E-4-2.7446706072342675E-4i
13700                                             13700                                             -47.4186597970613                                 -5.638989283640594E-5-6.377912330723934E-5i
13850                                             13850                                             -45.65338801276597                                9.211809991738207E-5-4.8954755555330465E-5i
14000                                             14000                                             -71.18175763797535                                5.475844573943345E-6-6.971027368685156E-7i
14150                                             14150                                             -37.951547416727166                               2.506824631360871E-4+3.557066971859868E-5i
14300                                             14300                                             -36.337950642706026                               1.4239921225817076E-4-2.695844744261544E-4i
14450                                             14450                                             -47.48276912484981                                -5.4618074882717416E-5-6.448458176844252E-5i
14600                                             14600                                             -45.713631174065355                               9.250033696339699E-5-4.6648560943163275E-5i
14750                                             14750                                             -71.23095625762753                                5.461345434387699E-6-5.489027039562444E-7i
