% Model:              FEM_BEM_model_stl_TwoProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 8 2025, 13:20
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
500                                               500                                               -56.78487279128228                                -1.3338841576393534E-5+2.5704275549154332E-5i
650                                               650                                               -51.232250254872                                  -2.444636393095223E-5+4.913488144198119E-5i
800                                               800                                               -46.18136462073453                                -4.1822829466742206E-5+8.881128423265938E-5i
950                                               950                                               -41.05610966199726                                -7.038196612951797E-5+1.6251660980570737E-4i
1100                                              1100                                              -35.074061993362065                               -1.2087464950383264E-4+3.3127271306765405E-4i
1250                                              1250                                              -25.979232698199507                               -1.5198031250884814E-4+9.932132935769333E-4i
1400                                              1400                                              -19.05889886963226                                0.0020059780017144813-9.715559190258682E-4i
1550                                              1550                                              -28.398552687888134                               4.551657165723366E-4-6.092559326053015E-4i
1700                                              1700                                              -31.8872262339727                                 2.6806795952799556E-4-4.3262223224860286E-4i
1850                                              1850                                              -34.89391064444035                                1.8354430861705628E-4-3.09726596312343E-4i
2000                                              2000                                              -35.7925188533244                                 1.5644650285945305E-4-2.84458438701396E-4i
2150                                              2150                                              -36.683393206255495                               1.3643316434608366E-4-2.5929155712123286E-4i
2300                                              2300                                              -37.373402809154655                               1.2255670925204187E-4-2.4127790156092122E-4i
2450                                              2450                                              -37.917181009133586                               1.1235454913921528E-4-2.2801913550274389E-4i
2600                                              2600                                              -38.356498815757924                               1.0447379496858478E-4-2.1791020643957548E-4i
2750                                              2750                                              -38.719636220691626                               9.81415306666733E-5-2.0996032379549945E-4i
2900                                              2900                                              -39.02595615289209                                9.288926782946572E-5-2.0354000337796663E-4i
3050                                              3050                                              -39.28905489622679                                8.841825874233988E-5-1.9823395853457715E-4i
3200                                              3200                                              -39.51873413418505                                8.452965756766684E-5-1.9375832980983443E-4i
3350                                              3350                                              -39.72221206705923                                8.108650900245928E-5-1.899133953350285E-4i
3500                                              3500                                              -39.90492628944905                                7.799164483340837E-5-1.8655460240790678E-4i
3650                                              3650                                              -40.07102891101354                                7.517454835803683E-5-1.8357534560553557E-4i
3800                                              3800                                              -40.2237545850072                                 7.258285916372786E-5-1.8089516753505563E-4i
3950                                              3950                                              -40.36565660869623                                7.017705411604958E-5-1.7845234767799312E-4i
4100                                              4100                                              -40.4987689971572                                 6.792686481998933E-5-1.7619899249576854E-4i
4250                                              4250                                              -40.62473218181368                                6.58087990799694E-5-1.7409741823248837E-4i
4400                                              4400                                              -40.74488741751087                                6.380446648557303E-5-1.7211751564671918E-4i
4550                                              4550                                              -40.86032948959058                                6.189927189942379E-5-1.7023528563686607E-4i
4700                                              4700                                              -40.97197918588586                                6.008149672992458E-5-1.6843101588948084E-4i
4850                                              4850                                              -41.08060180849194                                5.834181521174875E-5-1.6668867636482343E-4i
5000                                              5000                                              -41.186836246892966                               5.667259716568562E-5-1.6499524602864302E-4i
5150                                              5150                                              -41.291227083958326                               5.506768747232105E-5-1.633398879624659E-4i
5300                                              5300                                              -41.39424560579209                                5.3522075450507245E-5-1.617134698936873E-4i
5450                                              5450                                              -41.496289063864936                               5.2031619992953804E-5-1.601085541290681E-4i
5600                                              5600                                              -41.59770281094229                                5.059291625830742E-5-1.5851888600082464E-4i
5750                                              5750                                              -41.69879253531835                                4.9203210649217954E-5-1.5693910586667137E-4i
5900                                              5900                                              -41.799812158637394                               4.7860221403683845E-5-1.5536499028623307E-4i
6050                                              6050                                              -41.900995540765116                               4.656203857911212E-5-1.5379280290617192E-4i
6200                                              6200                                              -42.002542063752635                               4.530713159162092E-5-1.522195426106876E-4i
6350                                              6350                                              -42.104632344451716                               4.409421727569196E-5-1.506426459787491E-4i
6500                                              6500                                              -42.207430231271786                               4.292222468049722E-5-1.49059938231777E-4i
6650                                              6650                                              -42.311073199602035                               4.1790307543698724E-5-1.4746978658619625E-4i
6800                                              6800                                              -42.41569264465244                                4.0697738544370754E-5-1.4587073275074136E-4i
6950                                              6950                                              -42.52140555597866                                3.964356947949721E-5-1.4426172813952753E-4i
7100                                              7100                                              -42.628336966769886                               3.8628008930008395E-5-1.4264134183106236E-4i
7250                                              7250                                              -42.736636037769664                               3.7649657127214464E-5-1.4100824980101123E-4i
7400                                              7400                                              -42.84623479191089                                3.670969982233485E-5-1.3936426617000564E-4i
7550                                              7550                                              -42.95723328920577                                3.580737771569087E-5-1.3770879379315648E-4i
7700                                              7700                                              -43.06978508932409                                3.494218080091205E-5-1.360403336209126E-4i
7850                                              7850                                              -43.18306102741631                                3.4121418711619E-5-1.343716902679759E-4i
8000                                              8000                                              -43.29880220133491                                3.33304043449445E-5-1.326787497145654E-4i
8150                                              8150                                              -43.41631177948255                                3.257591784433522E-5-1.3097249476679007E-4i
8300                                              8300                                              -43.53556973796837                                3.185820454837396E-5-1.2925423933374258E-4i
8450                                              8450                                              -43.65664467164805                                3.1177124270087564E-5-1.275239638461878E-4i
8600                                              8600                                              -43.77958328212554                                3.0532427007512464E-5-1.2578203750968076E-4i
8750                                              8750                                              -43.90441144287791                                2.992446383121017E-5-1.2402900369246073E-4i
8900                                              8900                                              -44.03099672639877                                2.9354148465221552E-5-1.22267614872551E-4i
9050                                              9050                                              -44.159701824535006                               2.88187785048577E-5-1.204940730310522E-4i
9200                                              9200                                              -44.29037960698028                                2.8320196665321262E-5-1.187111316232059E-4i
9350                                              9350                                              -44.42248399241883                                2.786187217801439E-5-1.1692666275675556E-4i
9500                                              9500                                              -44.557222513970785                               2.7435247985818645E-5-1.1512631700316689E-4i
9650                                              9650                                              -44.69407297154881                                2.7044203835258074E-5-1.1331763939381734E-4i
9800                                              9800                                              -44.832890321528744                               2.668978681813483E-5-1.1150322470121488E-4i
9950                                              9950                                              -44.97386892781864                                2.637023536361527E-5-1.0968162659108494E-4i
10100                                             10100                                             -45.116960406422365                               2.6086083218967993E-5-1.0785415282377198E-4i
10250                                             10250                                             -45.26210616867394                                2.5837619952895352E-5-1.0602219875832652E-4i
10400                                             10400                                             -45.409379299719106                               2.562426835300835E-5-1.0418558257507815E-4i
10550                                             10550                                             -45.55879170967142                                2.544620642741524E-5-1.0234469970393789E-4i
10700                                             10700                                             -45.71020493568923                                2.5302769130375324E-5-1.0050194427368986E-4i
10850                                             10850                                             -45.863674863340634                               2.5193624767494427E-5-9.865709290957092E-5i
11000                                             11000                                             -46.019178972666566                               2.5118964010806266E-5-9.681069165645706E-5i
11150                                             11150                                             -46.17657150561547                                2.5078254101529307E-5-9.49648134498382E-5i
11300                                             11300                                             -46.335970879638225                               2.507129227474758E-5-9.311821016888544E-5i
11450                                             11450                                             -46.49728899537051                                2.5097610905910894E-5-9.127204473780015E-5i
11600                                             11600                                             -46.660327587284826                               2.515731969948698E-5-8.942838416370336E-5i
11750                                             11750                                             -46.82512571748859                                2.5249635353663535E-5-8.758670155395443E-5i
11900                                             11900                                             -46.99154884211384                                2.5374604796846167E-5-8.57480293827706E-5i
12050                                             12050                                             -47.15949615763943                                2.553160412249733E-5-8.391302986143767E-5i
12200                                             12200                                             -47.32883615513269                                2.5720032416465255E-5-8.208250106089832E-5i
12350                                             12350                                             -47.49944970705268                                2.5940078140496148E-5-8.025665918698355E-5i
12500                                             12500                                             -47.671086579663196                               2.6191176506373814E-5-7.843706014309948E-5i
12650                                             12650                                             -47.843608330096146                               2.647276216843908E-5-7.662386788176434E-5i
12800                                             12800                                             -48.01680678073083                                2.678428239721864E-5-7.481770416539746E-5i
12950                                             12950                                             -48.19028731239965                                2.7126201388227855E-5-7.302033437794897E-5i
13100                                             13100                                             -48.36401031052142                                2.7496777023405805E-5-7.123060057112607E-5i
13250                                             13250                                             -48.53761321364583                                2.7895910329200913E-5-6.944958640386911E-5i
13400                                             13400                                             -48.710716383162435                               2.8323556435727593E-5-6.767813253749644E-5i
13550                                             13550                                             -48.882933365155914                               2.8778936472906302E-5-6.591707514169709E-5i
13700                                             13700                                             -49.053858428853204                               2.9261844053718455E-5-6.416683105003873E-5i
13850                                             13850                                             -49.22306880327064                                2.9771253416688293E-5-6.242798439892727E-5i
14000                                             14000                                             -49.39006600208952                                3.0307265503404235E-5-6.0700916440059594E-5i
14150                                             14150                                             -49.5543267235153                                 3.0868910091075286E-5-5.89863689689496E-5i
14300                                             14300                                             -49.71529256610157                                3.145557117240072E-5-5.7284888779096654E-5i
14450                                             14450                                             -49.87235031905161                                3.2067042699535087E-5-5.559693657308795E-5i
14600                                             14600                                             -50.024869390471395                               3.270275339606332E-5-5.39229990195178E-5i
14750                                             14750                                             -50.172197197243484                               3.336192997249743E-5-5.2263612827285755E-5i
14900                                             14900                                             -50.31367560373844                                3.4044269429212015E-5-5.0618854418482684E-5i
15050                                             15050                                             -50.4485527621764                                 3.47480892706753E-5-4.8990374531543424E-5i
15200                                             15200                                             -50.57619454022913                                3.547472565507137E-5-4.7376651063357755E-5i
15350                                             15350                                             -50.69585246795221                                3.622241090184275E-5-4.577927497328993E-5i
15500                                             15500                                             -50.80683115773458                                3.699102604970417E-5-4.419830265678382E-5i
15650                                             15650                                             -50.908486519291                                  3.7779632014622866E-5-4.2634191518176046E-5i
15800                                             15800                                             -51.00016555024971                                3.858746189289164E-5-4.108770629707159E-5i
15950                                             15950                                             -51.08126330777162                                3.941499714593677E-5-3.9558452992194404E-5i
16100                                             16100                                             -51.15141454529005                                4.0259692378252776E-5-3.8047385419570645E-5i
16250                                             16250                                             -51.20999741379326                                4.11227245449286E-5-3.6554820596612636E-5i
16400                                             16400                                             -51.25683368764904                                4.200261031322983E-5-3.5080498817952055E-5i
