% Model:              FEM_BEM_model_stl_FourProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 14 2025, 11:13
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
10850                                             10850                                             -49.83502882183872                                -3.385318971926843E-6-6.436929742814623E-5i
11000                                             11000                                             -53.521227856372704                               -2.8423275596489717E-6-4.20706962457329E-5i
11150                                             11150                                             -59.28818262398877                                5.897064015214504E-6-2.089172520447491E-5i
11300                                             11300                                             -59.16224617428931                                2.165251327662654E-5-4.034011359621559E-6i
11450                                             11450                                             -53.45128309350198                                4.207437718872775E-5+6.052821614366266E-6i
11600                                             11600                                             -49.82465531689414                                6.40293934978664E-5+8.064721342515568E-6i
11750                                             11750                                             -47.52113348057449                                8.410916414919312E-5+2.0583081544733872E-6i
11900                                             11900                                             -46.04326508785605                                9.91806800026418E-5-1.0542303659488717E-5i
12050                                             12050                                             -45.16956231268394                                1.0690060347551267E-4-2.7148241150576347E-5i
12200                                             12200                                             -44.80438136546675                                1.0611883542499534E-4-4.4392363578449334E-5i
12350                                             12350                                             -44.925331337843694                               9.710608922047781E-5-5.86419282678774E-5i
12500                                             12500                                             -45.57314832172354                                8.157297510730244E-5-6.656644227243103E-5i
12650                                             12650                                             -46.87383820232574                                6.247236827189306E-5-6.567724862849289E-5i
12800                                             12800                                             -49.11823858893104                                4.360982260936952E-5-5.475979629965266E-5i
12950                                             12950                                             -52.982668711971726                               2.911480169281999E-5-3.413346665692707E-5i
13100                                             13100                                             -58.58409075762859                                2.2840851047145616E-5-5.69873751365968E-6i
13250                                             13250                                             -54.21848530948139                                2.779182334117225E-5+2.7238078944336053E-5i
13400                                             13400                                             -48.44329996732414                                4.5634088689572305E-5+6.03484070501592E-5i
13550                                             13550                                             -44.64631521019909                                7.638112123159457E-5+8.881595368215311E-5i
13700                                             13700                                             -41.93010255546704                                1.1828821346315799E-4+1.079614558925357E-4i
13850                                             13850                                             -39.87343482946712                                1.6797623440062415E-4+1.138720560065476E-4i
14000                                             14000                                             -38.27194280923639                                2.2077471974085716E-4+1.0395345911795584E-4i
14150                                             14150                                             -37.01385351326013                                2.7124815290974214E-4+7.733531615428113E-5i
14300                                             14300                                             -36.032656600343415                               3.138360069643853E-4+3.506750987780638E-5i
14450                                             14450                                             -35.28656337618118                                3.435365487880482E-4-1.9919934217238477E-5i
14600                                             14600                                             -34.748700305900854                               3.5654077994001776E-4-8.309603696987633E-5i
14750                                             14750                                             -34.401993062399214                               3.5073695091314416E-4-1.488226428077999E-4i
14900                                             14900                                             -34.23635431173444                                3.2601493352146793E-4-2.1100314105315654E-4i
15050                                             15050                                             -34.24729657276379                                2.8431922767074846E-4-2.6380134420234125E-4i
15200                                             15200                                             -34.435196711712905                               2.294463097085031E-4-3.0234643355830926E-4i
15350                                             15350                                             -34.805381728291394                               1.665968873135748E-4-3.2331701749621633E-4i
15500                                             15500                                             -35.368742875033                                  1.0175028210818171E-4-3.253327765605496E-4i
15650                                             15650                                             -36.14329065547248                                4.094053889530658E-5-3.0909277762569687E-4i
15800                                             15800                                             -37.157085717383836                               -1.0470307739984808E-5-2.772466011853325E-4i
15950                                             15950                                             -38.45364248688899                                -4.8412912609263614E-5-2.3401715966664405E-4i
16100                                             16100                                             -40.10264193695142                                -7.055167996317113E-5-1.846298385289602E-4i
16250                                             16250                                             -42.22257899683753                                -7.648986912484057E-5-1.3463543404435008E-4i
16400                                             16400                                             -45.0361344048097                                 -6.771556211204732E-5-8.921270138639859E-5i
16550                                             16550                                             -49.030770370088554                               -4.7310772835928994E-5-5.2553209874184326E-5i
16700                                             16700                                             -55.49115288151992                                -1.9467203033030067E-5-2.7398541528889098E-5i
16850                                             16850                                             -60.67633518468668                                1.1117435814556043E-5-1.4789119269664752E-5i
17000                                             17000                                             -53.497979108277306                               3.9878651812930155E-5-1.404489616629867E-5i
17150                                             17150                                             -49.4946113944964                                 6.297446573405585E-5-2.297526096517455E-5i
17300                                             17300                                             -47.26405229315115                                7.77500197669534E-5-3.8277810684550495E-5i
17450                                             17450                                             -46.00508836989736                                8.3019413761376E-5-5.606743660302449E-5i
17600                                             17600                                             -45.40889203169569                                7.913108126572643E-5-7.2462420113939E-5i
17750                                             17750                                             -45.34686504670441                                6.78172835965607E-5-8.413650169580844E-5i
17900                                             17900                                             -45.77975441356311                                5.185770067889228E-5-8.877506193794016E-5i
18050                                             18050                                             -46.734487413444256                               3.460184627979146E-5-8.536345304821502E-5i
18200                                             18200                                             -48.31651780176042                                1.9429611428034566E-5-7.427290311912138E-5i
18350                                             18350                                             -50.76976596317771                                9.226566404729741E-6-5.71416497846533E-5i
18500                                             18500                                             -54.64516505883371                                5.949784918524159E-6-3.656772416171794E-5i
18650                                             18650                                             -60.5490716258046                                 1.034319099624259E-5-1.5668863794449095E-5i
18800                                             18800                                             -59.17893401520507                                2.184762894053005E-5+2.4341820877848974E-6i
18950                                             18950                                             -53.647750542758985                               3.870957531798558E-5+1.5117517994878149E-5i
19100                                             19100                                             -50.19625965278739                                5.827163882859976E-5+2.0680372496140187E-5i
19250                                             19250                                             -48.001164854723015                               7.740186581139952E-5+1.8623205445655877E-5i
19400                                             19400                                             -46.60369783666474                                9.299809631957423E-5+9.744362284180852E-6i
19550                                             19550                                             -45.80030007309582                                1.0249211443225104E-4-3.96377659783731E-6i
19700                                             19700                                             -45.506058899484756                               1.0427662881584698E-4-1.9601008170999634E-5i
19850                                             19850                                             -45.708499322278556                               9.799452034331413E-5-3.379591725805042E-5i
20000                                             20000                                             -46.46232671827522                                8.464410170333503E-5-4.322358712149921E-5i
20150                                             20150                                             -47.923886663791976                               6.644343564560229E-5-4.5132335111275346E-5i
20300                                             20300                                             -50.47620863160411                                4.640912883702164E-5-3.782564980536751E-5i
20450                                             20450                                             -55.36918144781899                                2.680088381040724E-5-2.1060404741035654E-5i
20600                                             20600                                             -51.869878147529384                               4.728315420560181E-5+1.9102226440859127E-5i
20750                                             20750                                             -52.842069390322806                               2.4929768753734205E-5+3.817721507259897E-5i
20900                                             20900                                             -48.02048664902823                                3.427082291501682E-5+7.16606495764216E-5i
21050                                             21050                                             -44.56220356962983                                5.745639637094735E-5+1.0338988655755887E-4i
21200                                             21200                                             -42.017045102704806                               9.286107896533391E-5+1.285155756064471E-4i
21350                                             21350                                             -40.06535367358993                                1.3786519127517716E-4+1.4281374518576584E-4i
21500                                             21500                                             -38.53593615814798                                1.8857874622518755E-4+1.4308724457234856E-4i
21650                                             21650                                             -37.330999102696424                               2.4015334221078044E-4+1.275935023078434E-4i
21800                                             21800                                             -36.391108824530555                               2.873112157671387E-4+9.630557848139265E-5i
21950                                             21950                                             -35.67829913041518                                3.2496014115890315E-4+5.100596646812061E-5i
22100                                             22100                                             -35.16798402929765                                3.4880969574369036E-4-4.8654662792024794E-6i
22250                                             22250                                             -34.84453772751041                                3.559078011715622E-4-6.656351648626213E-5i
22400                                             22400                                             -34.698962456649035                               3.450227771482628E-4-1.2856644178038668E-4i
22550                                             22550                                             -34.72763771919365                                3.168245170970807E-4-1.8520283268685933E-4i
22700                                             22700                                             -34.931615343656986                               2.7383797801627807E-4-2.3132526845326407E-4i
22850                                             22850                                             -35.31694204130651                                2.2014979400131196E-4-2.6291219418095313E-4i
23000                                             23000                                             -35.89531959973014                                1.6093175757303513E-4-2.77538583389525E-4i
23150                                             23150                                             -36.685705274444686                               1.0181228729577718E-4-2.7465376032020927E-4i
23300                                             23300                                             -37.717381914675954                               4.820954937934108E-5-2.556056558020714E-4i
23450                                             23450                                             -39.03579234247443                                4.685662537418089E-6-2.2343175604588872E-4i
23600                                             23600                                             -40.71382597874313                                -2.5570984000133912E-5-1.824374771070003E-4i
23750                                             23750                                             -42.87619278596884                                -4.1066641828568784E-5-1.376254028361279E-4i
23900                                             23900                                             -45.76027225697889                                -4.210837674567536E-5-9.404595266770954E-5i
24050                                             24050                                             -49.8959509501953                                 -3.067151399072099E-5-5.618049623934418E-5i
24200                                             24200                                             -56.71495970132496                                -1.0045823939097698E-5-2.7410318430010072E-5i
24350                                             24350                                             -60.72728070077443                                1.5654174813028998E-5-9.657645729799214E-6i
24500                                             24500                                             -53.513360957549935                               4.2080210005956964E-5-3.240663374981523E-6i
24650                                             24650                                             -49.68229079164275                                6.523531984614639E-5-6.9241076816606295E-6i
24800                                             24800                                             -47.53710094379276                                8.198205723430885E-5-1.8208590061186136E-5i
24950                                             24950                                             -46.329693082668754                               9.04138161687551E-5-3.373966519693017E-5i
25100                                             25100                                             -45.77008955854018                                9.004844195914519E-5-4.985037805271819E-5i
