% Model:              FEM_BEM_model_stl_TwoProlSpheroids.mph
% Version:            COMSOL 6.3.0.335
% Date:               Oct 7 2025, 21:53
% Table:              Table 2 - TS_D_far
% f0 (1/s)               freq (Hz)                TS_Global_var_Point      Evaluate in the domain at the given coordinates in Geometry 1 (Pa), Ps_Global_var_Point
10700                                             10700                                             -52.454203582709866                               -1.2758539515433931E-5-4.593941731234619E-5i
10850                                             10850                                             -55.12482166501543                                -7.54091412313862E-6-3.423752369668964E-5i
11000                                             11000                                             -58.683935394132845                               -1.0103669444427865E-6-2.3250030963040125E-5i
11150                                             11150                                             -62.642474356319724                               6.7337666844746735E-6-1.3127581361183083E-5i
11300                                             11300                                             -61.89332275542834                                1.5575601446105036E-5-4.007457048538221E-6i
11450                                             11450                                             -57.82351003405122                                2.5383937229228604E-5+3.988309106972565E-6i
11600                                             11600                                             -54.52003957106662                                3.601475709935631E-5+1.0754398080847771E-5i
11750                                             11750                                             -52.039420711401156                               4.7312351692418986E-5+1.6203880033649476E-5i
11900                                             11900                                             -50.10424044376029                                5.911271721431577E-5+2.0268712815019185E-5i
12050                                             12050                                             -48.538483643795026                               7.124498647981259E-5+2.2901009118836413E-5i
12200                                             12200                                             -47.23679123167882                                8.353450659082107E-5+2.4073500115684432E-5i
12350                                             12350                                             -46.133265679307044                               9.580404811576626E-5+2.3780200639977878E-5i
12500                                             12500                                             -45.184394499255035                               1.0787828031760816E-4+2.2035606615622427E-5i
12650                                             12650                                             -44.36026861694177                                1.1958390161126431E-4+1.887556365320897E-5i
12800                                             12800                                             -43.6394577976823                                 1.3075405377710458E-4+1.4355859919379377E-5i
12950                                             12950                                             -43.00610698866311                                1.4123094604179265E-4+8.55210708039511E-6i
13100                                             13100                                             -42.44858189139697                                1.5086127284624773E-4+1.557157616294269E-6i
13250                                             13250                                             -41.9576057623327                                 1.5950984757140407E-4-6.517337435063553E-6i
13400                                             13400                                             -41.52601869766285                                1.670540370857787E-4-1.5544593064520384E-5i
13550                                             13550                                             -41.14816992909368                                1.7338699355007314E-4-2.538399274309988E-5i
13700                                             13700                                             -40.81955509802022                                1.7841944447583025E-4-3.5882881889715E-5i
13850                                             13850                                             -40.53655278399134                                1.820813343567096E-4-4.687891468313499E-5i
14000                                             14000                                             -40.296286301292845                               1.8432207270457912E-4-5.8202067217849596E-5i
14150                                             14150                                             -40.09640254430927                                1.8511328382186942E-4-6.96774998084626E-5i
14300                                             14300                                             -39.935075912005416                               1.8444700150455073E-4-8.112809985794112E-5i
14450                                             14450                                             -39.810891221028115                               1.823370844334371E-4-9.237652167259913E-5i
14600                                             14600                                             -39.722771210757315                               1.7881930669694235E-4-1.032486586129977E-4i
14750                                             14750                                             -39.66997703760193                                1.7395015737758923E-4-1.1357570086145685E-4i
14900                                             14900                                             -39.6520421303235                                 1.6780683403461172E-4-1.231972423871852E-4i
15050                                             15050                                             -39.66878930768739                                1.604855968526664E-4-1.3196315767494138E-4i
15200                                             15200                                             -39.720298213373965                               1.5210046915670183E-4-1.3973676205425445E-4i
15350                                             15350                                             -39.80693467065248                                1.4278142381207726E-4-1.46395968165125E-4i
15500                                             15500                                             -39.92933154853821                                1.326725761597869E-4-1.5183607092761342E-4i
15650                                             15650                                             -40.0884218633867                                 1.2192992033654981E-4-1.5597093828279007E-4i
15800                                             15800                                             -40.28546984545251                                1.107187059649073E-4-1.587345097725512E-4i
15950                                             15950                                             -40.52211566360916                                9.921098520598859E-5-1.6008166041103777E-4i
16100                                             16100                                             -40.800422070411045                               8.758270537534418E-5-1.599893349938375E-4i
16250                                             16250                                             -41.1229741022747                                 7.601112027594281E-5-1.584562229618447E-4i
16400                                             16400                                             -41.492989158583725                               6.467200409027152E-5-1.5550277753839659E-4i
16550                                             16550                                             -41.91445297743468                                5.373655721124804E-5-1.511712505187779E-4i
16700                                             16700                                             -42.39232284062819                                4.336933576293278E-5-1.455246478113681E-4i
16850                                             16850                                             -42.93281567052234                                3.3725222459202175E-5-1.3864573513511225E-4i
17000                                             17000                                             -43.54382056898962                                2.49472724819233E-5-1.3063537503721356E-4i
17150                                             17150                                             -44.23547647399915                                1.716477170199404E-5-1.2161095937168742E-4i
17300                                             17300                                             -45.02106746808629                                1.0490493601578166E-5-1.1170428995799231E-4i
17450                                             17450                                             -45.91830310361226                                5.020524633636558E-6-1.0106006863996875E-4i
17600                                             17600                                             -46.95153026306869                                8.318094817938437E-7-8.983278529628436E-5i
17750                                             17750                                             -48.1553216702264                                 -2.0186848721515105E-6-7.818423640149064E-5i
17900                                             17900                                             -49.5805980592758                                 -3.4940030855246107E-6-6.6282293700759E-5i
18050                                             18050                                             -51.306283356318374                               -3.578448924845823E-6-5.4296856915603264E-5i
18200                                             18200                                             -53.46112070377852                                -2.276985130944542E-6-4.2398312243063785E-5i
18350                                             18350                                             -56.26177501803476                                3.846800220586033E-7-3.075440109068239E-5i
18500                                             18500                                             -59.995950485765704                               4.360536788150515E-6-1.952841178654019E-5i
18650                                             18650                                             -63.6990217534698                                 9.584982696930755E-6-8.876843656024924E-6i
18800                                             18800                                             -61.93338875298912                                1.597419795817956E-5+1.0529846726781145E-6i
18950                                             18950                                             -57.882872069940944                               2.3425853490244286E-5+1.0125065447619264E-5i
19100                                             19100                                             -54.73531963317094                                3.182163947990091E-5+1.8214878203526297E-5i
19250                                             19250                                             -52.36787907794755                                4.102659919863472E-5+2.5212399733742785E-5i
19400                                             19400                                             -50.51568313861158                                5.0890420379867685E-5+3.102125443321668E-5i
19550                                             19550                                             -49.01746506796181                                6.124546493135874E-5+3.555958888112887E-5i
19700                                             19700                                             -47.777947601861655                               7.190207133800364E-5+3.8758655514947726E-5i
19850                                             19850                                             -46.74004253448104                                8.263472468017508E-5+4.05569208661305E-5i
20000                                             20000                                             -45.87186834035295                                9.314827438255957E-5+4.0887623899754644E-5i
20150                                             20150                                             -45.1675574420709                                 1.0295358013096001E-4+3.963512810878367E-5i
20300                                             20300                                             -44.68154855845072                                1.1082813325286045E-4+3.6449940688187965E-5i
20450                                             20450                                             -44.8717822214287                                 1.1029783168092777E-4+2.936850180190742E-5i
20600                                             20600                                             -38.73344630873237                                2.187665405672945E-4+7.540398868066678E-5i
20750                                             20750                                             -41.59131058040249                                1.6346575593750856E-4+3.174287119245278E-5i
20900                                             20900                                             -41.540167171551204                               1.6600493133023253E-4+2.2349377979624663E-5i
21050                                             21050                                             -41.31304243677897                                1.7139714294800434E-4+1.3656958678831543E-5i
21200                                             21200                                             -41.06682314720473                                1.768248648232884E-4+4.577999402011201E-6i
21350                                             21350                                             -40.836707777130805                               1.8156348596704008E-4-5.02240587396674E-6i
21500                                             21500                                             -40.6335835275121                                 1.8531687021511312E-4-1.5094284815941883E-5i
21650                                             21650                                             -40.46146335618565                                1.879258945164941E-4-2.55272410876195E-5i
21800                                             21800                                             -40.321722087081426                               1.8930018394919257E-4-3.618514067171841E-5i
21950                                             21950                                             -40.214823662540155                               1.8938872028595455E-4-4.69196362596902E-5i
22100                                             22100                                             -40.14085045730503                                1.881720330980663E-4-5.7574442516639124E-5i
22250                                             22250                                             -40.09981522419507                                1.8565618145166551E-4-6.799216331065949E-5i
22400                                             22400                                             -40.09174363544229                                1.8187046048545596E-4-7.801928018524862E-5i
22550                                             22550                                             -40.11685550397634                                1.7686469465844068E-4-8.750400861179397E-5i
22700                                             22700                                             -40.17549972339978                                1.7070922362327767E-4-9.630250834713472E-5i
22850                                             22850                                             -40.26824457467052                                1.634922261144478E-4-1.0428049194899369E-4i
23000                                             23000                                             -40.39589950626919                                1.5531845771754593E-4-1.1131518491847014E-4i
23150                                             23150                                             -40.55954556418742                                1.4630690245182043E-4-1.172982110558829E-4i
23300                                             23300                                             -40.76058253757289                                1.3658982842290612E-4-1.2213563984919684E-4i
