Freq_kHz,TS,f_bs
0.50,-63.07759231862593,(0.0007016490112217054+1.0284589103825322e-06j)
0.65,-57.770221416419396,(0.0012926657792323595+4.538991823841338e-06j)
0.80,-53.115152543555446,(0.002209177038307257+1.6321456147833124e-05j)
0.95,-48.669387746721654,(0.0036853951384212534+5.396459656432662e-05j)
1.10,-44.02658379128577,(0.006287656733365391+0.0001820632401094863j)
1.25,-38.55284182425293,(0.011790362435356158+0.0007299641665104384j)
1.40,-30.421530080847674,(0.029651387351733692+0.005319396265163262j)
1.55,-18.17658953018763,(-0.07385288159834208+0.09880876767619325j)
1.70,-30.543962311224178,(-0.02903015371808719+0.006286872021117809j)
1.85,-34.80318170409957,(-0.018008229268010708+0.0025675469835095667j)
2.00,-37.12132173574946,(-0.013833890274422011+0.0016288055519486676j)
2.15,-38.61454815268224,(-0.011663321440773682+0.0012424680978848984j)
2.30,-39.66392364509349,(-0.01034187327001408+0.0010446980803748983j)
2.45,-40.44271817322141,(-0.009457364199887438+0.0009309509214079645j)
2.60,-41.04311003077707,(-0.008826471647841932+0.0008611830097306744j)
2.75,-41.51931496943935,(-0.008355406815338785+0.0008170680127135362j)
2.90,-41.90553931776968,(-0.007991270152068668+0.0007891293749126938j)
3.05,-42.22451898011212,(-0.0077019953216787545+0.0007720089836878593j)
3.20,-42.49198808258929,(-0.00746703552558212+0.0007624632061722385j)
3.35,-42.71919247196715,(-0.007272632008888332+0.0007584195590758786j)
3.50,-42.914385739334975,(-0.007109235061643155+0.0007584946207164831j)
3.65,-43.08376118426813,(-0.006970016159434+0.0007617308776681492j)
3.80,-43.23205463695806,(-0.00684996846284499+0.0007674450947604182j)
3.95,-43.36294689161477,(-0.00674534122915967+0.0007751369016628024j)
4.10,-43.479339697067886,(-0.006653272085076084+0.0007844315237244499j)
4.25,-43.583549486669675,(-0.006571540948336204+0.0007950426981560213j)
4.40,-43.67744615641328,(-0.006498401166926939+0.0008067479608409073j)
4.55,-43.76255427473861,(-0.006432461059009147+0.0008193717563935592j)
4.70,-43.84012807835782,(-0.0063725991688694346+0.0008327736343524403j)
4.85,-43.9112078412732,(-0.006317902575636761+0.0008468398341259813j)
5.00,-43.97666279080732,(-0.006267621274939681+0.0008614771777892472j)
5.15,-44.03722416354719,(-0.006221133965787439+0.000876608565866228j)
5.30,-44.09351093754508,(-0.0061779220602957135+0.0008921696065145397j)
5.45,-44.14605005812792,(-0.006137549708250113+0.0009081060591576316j)
5.60,-44.19529247726376,(-0.006099648279958417+0.000924371872071808j)
5.75,-44.24162597714583,(-0.006063904194002154+0.0009409276590281825j)
5.90,-44.28538549996336,(-0.006030049282795523+0.0009577395045515708j)
6.05,-44.326861526507486,(-0.005997853103673563+0.0009747780179806078j)
6.20,-44.366306915422896,(-0.0059671167559379994+0.000992017577916597j)
6.35,-44.40394251840398,(-0.0059376678742132675+0.0010094357238130875j)
6.50,-44.43996181470462,(-0.005909356548523289+0.0010270126623385892j)
6.65,-44.47453477413785,(-0.00588205196652238+0.0010447308640448706j)
6.80,-44.50781097987233,(-0.005855639712752675+0.0010625747316727037j)
6.95,-44.53992241254233,(-0.0058300194118381206+0.0010805303257274957j)
7.10,-44.5709856166117,(-0.005805102886625743+0.0010985851361807008j)
7.25,-44.60110359395982,(-0.005780812571326649+0.0011167278915880353j)
7.40,-44.630367376063916,(-0.005757080199644811+0.0011349483987767234j)
7.55,-44.65885733767824,(-0.005733845712950044+0.0011532374076853218j)
7.70,-44.68664428751538,(-0.005711056355138287+0.001171586497054529j)
7.85,-44.7137903629375,(-0.005688665928559158+0.0011899879775435162j)
8.00,-44.740349748184755,(-0.005666634191956476+0.001208434809543906j)
8.15,-44.766369228716194,(-0.005644926387206356+0.0012269205335284897j)
8.30,-44.791888587322106,(-0.005623512887165754+0.0012454392112403562j)
8.45,-44.816940840236654,(-0.005602368962589573+0.0012639853764285362j)
8.60,-44.84155230283177,(-0.0055814746723500406+0.0012825539941953364j)
8.75,-44.865742463644125,(-0.0055608148887691545+0.0013011404283637734j)
8.90,-44.88952363108464,(-0.005540379479697136+0.0013197404166283811j)
9.05,-44.912900297077414,(-0.005520163682459346+0.0013383500536513976j)
9.20,-44.93586813265832,(-0.005500168724215546+0.001356965782761648j)
9.35,-44.95841248677772,(-0.0054804027722409835+0.001375584397566025j)
9.50,-44.98050619188524,(-0.005460882342305318+0.001394203055711984j)
9.65,-45.00210637242002,(-0.005441634364222626+0.001412819308410964j)
9.80,-45.0231497766012,(-0.005422699219644995+0.0014314311514528164j)
9.95,-45.04354585560459,(-0.005404135262986045+0.0014500371068150808j)
10.10,-45.06316629719223,(-0.005386025678562239+0.0014686363495185681j)
10.25,-45.08182878357366,(-0.005368489148609693+0.001487228903759861j)
10.40,-45.09927096787389,(-0.005351696986936357+0.0015058159486791205j)
10.55,-45.115107125054195,(-0.00533590175148707+0.0015244003033199657j)
10.70,-45.128752444117204,(-0.00532148735713794+0.0015429872137045113j)
10.85,-45.13928289395488,(-0.005309062146804476+0.0015615856629272713j)
11.00,-45.14515626565144,(-0.005299644939580232+0.0015802105956902108j)
11.15,-45.143602386362815,(-0.00529507393163168+0.0015988866590534833j)
11.30,-45.129112230631335,(-0.005299027363875304+0.0016176535809345539j)
11.45,-45.08896505240962,(-0.005320078117142319+0.0016365647006648817j)
11.60,-44.98573123734868,(-0.0053838605733070675+0.0016555632129673925j)
11.75,-44.64076435104236,(-0.0056173787404719296+0.0016717669830389314j)
11.90,-34.09669911768284,(-0.012767535276943262-0.015044301131604543j)
12.05,-46.315649552411074,(-0.004533496614114679+0.001674925573590349j)
12.20,-45.89623339469657,(-0.004774612194185736+0.0017115311138088413j)
12.35,-45.779653985622986,(-0.004839332463412226+0.0017340859971463319j)
12.50,-45.73528371181119,(-0.004860156543940165+0.0017539788794114965j)
12.65,-45.71932123767071,(-0.0048633994332964+0.0017729119609563439j)
12.80,-45.71747224644763,(-0.004857804509583157+0.0017913729032374406j)
12.95,-45.72368505182077,(-0.004847111165838694+0.001809550525241797j)
13.10,-45.73495878228523,(-0.004833186082267349+0.0018275320414657711j)
13.25,-45.74963667965338,(-0.004817064820371601+0.0018453625947766603j)
13.40,-45.766729778468466,(-0.004799367862080485+0.0018630673981097133j)
13.55,-45.78561157456659,(-0.004780489514257009+0.0018806612465842273j)
13.70,-45.80586615622421,(-0.004760692278974999+0.0018981530617280355j)
13.85,-45.82720677121702,(-0.004740157630398591+0.0019155482469765395j)
14.00,-45.8494294565585,(-0.004719015010172291+0.0019328499900331468j)
14.15,-45.872385301213676,(-0.0046973592127148404+0.0019500600213325852j)
14.30,-45.895963158778315,(-0.0046752612429827875+0.0019671790747094746j)
14.45,-45.92007849206664,(-0.004652775336050646+0.0019842071767628383j)
14.60,-45.94466595743465,(-0.004629943631880929+0.0020011438333515873j)
14.75,-45.96967434735902,(-0.004606799369478236+0.002017988151880864j)
14.90,-45.99506306431075,(-0.0045833691186999165+0.0020347389220195327j)
15.05,-46.020799615176315,(-0.004559674370384877+0.0020513946685022585j)
15.20,-46.046857802026075,(-0.004535732688712116+0.0020679536844295933j)
15.35,-46.073216398462066,(-0.004511558558631739+0.002084414050308791j)
15.50,-46.09985817164319,(-0.0044871640167827645+0.0021007736420868258j)
15.65,-46.1267691554924,(-0.004462559125850235+0.0021170301301171243j)
15.80,-46.15393811038228,(-0.004437752333667372+0.002133180970090694j)
15.95,-46.181356124613195,(-0.004412750745887869+0.0021492233862790344j)
16.10,-46.209016326795734,(-0.004387560332519684+0.0021651543468699896j)
16.25,-46.2369136880659,(-0.004362186082635111+0.0021809705306504376j)
16.40,-46.26504490031333,(-0.004336632117277996+0.002196668283741952j)
