Freq_kHz,TS,f_bs
10.00,-107.57180604043072,(-4.18224717241865e-06+3.772870466202681e-10j)
12.00,-104.61608155424935,(-5.877544378345019e-06+9.218433329423609e-10j)
14.00,-102.1901186571298,(-7.771306779496464e-06+1.9498540033398686e-09j)
16.00,-100.16376414173436,(-9.813225120866167e-06+3.7075737636053098e-09j)
18.00,-98.4536494422182,(-1.1948612136984383e-05+6.493502481844816e-09j)
20.00,-97.00349418453254,(-1.411969017575673e-05+1.0650494438916014e-08j)
22.00,-95.77387061078385,(-1.626695422601854e-05+1.6553401938637355e-08j)
24.00,-94.73646845656839,(-1.833057913811035e-05+2.4592598962846933e-08j)
26.00,-93.87069766986515,(-2.0251838817198118e-05+3.5153947903823586e-08j)
28.00,-93.16159678566594,(-2.197450489098812e-05+4.859597047854755e-08j)
30.00,-92.59851974731646,(-2.3446192812462e-05+6.522515551541246e-08j)
32.00,-92.17431939220988,(-2.461962454298989e-05+8.527047494505241e-08j)
34.00,-91.88487523895546,(-2.545377884483431e-05+1.0885827928584288e-07j)
36.00,-91.72888874364618,(-2.59149027518674e-05+1.3598880023191246e-07j)
38.00,-91.70792099044996,(-2.5977360925567965e-05+1.665154966334689e-07j)
40.00,-91.82669378547702,(-2.5624303268690492e-05+2.0012843847968228e-07j)
42.00,-92.09373106300247,(-2.4848135277202885e-05+2.3634283037019504e-07j)
44.00,-92.52250564582722,(-2.365078006796932e-05+2.7449363232580684e-07j)
46.00,-93.13342039193543,(-2.2043725722600492e-05+3.1373704487236143e-07j)
48.00,-93.95729441231437,(-2.0047856428612347e-05+3.5305939276823186e-07j)
50.00,-95.04181208605002,(-1.7693070767079176e-05+3.912936754716298e-07j)
52.00,-96.46442227572292,(-1.5017695280030305e-05+4.27143762339486e-07j)
54.00,-98.3612212816102,(-1.2067706043765433e-05+4.592159079244997e-07j)
56.00,-101.00337770021906,(-8.895775272734277e-06+4.86056959620156e-07j)
58.00,-105.06240080174709,(-5.560163888708254e-06+5.061983383827834e-07j)
60.00,-113.20779113364374,(-2.123484425389827e-06+5.182046047697966e-07j)
62.00,-116.7985758801546,(1.348638808368515e-06+5.207251873954707e-07j)
64.00,-106.34567453545029,(4.788980430901576e-06+5.125476579213353e-07j)
66.00,-101.78208872521088,(8.13017142526035e-06+4.926507930309261e-07j)
68.00,-98.92650676628415,(1.1306159526697036e-05+4.602555749837265e-07j)
70.00,-96.91779928557132,(1.4253651970203064e-05+4.1487225218927033e-07j)
72.00,-95.43340201047332,(1.691350177963525e-05+3.56341612199523e-07j)
74.00,-94.31855402682608,(1.9232009346729487e-05+2.848687125420504e-07j)
76.00,-93.48842858513794,(2.1162110250243652e-05+2.0104746938339493e-07j)
78.00,-92.89301184525766,(2.2664423109744847e-05+1.0587471802219209e-07j)
80.00,-92.50205240153582,(2.3708134353101504e-05+7.526287574872454e-10j)
82.00,-92.2979026217913,(2.4271700366051966e-05-1.1252131907688212e-07j)
84.00,-92.27199891599858,(2.4343351504611703e-05-2.3177724112291822e-07j)
86.00,-92.42331921866828,(2.392138679578635e-05-3.5450867351066025e-07j)
88.00,-92.75818999524176,(2.3014252730987295e-05-4.779209506901911e-07j)
90.00,-93.29136656045182,(2.1640404267956238e-05-5.989913472404534e-07j)
92.00,-94.0488069341923,(1.9827950896261466e-05-7.145397838905985e-07j)
94.00,-95.07336115538342,(1.7614095285006537e-05-8.213085088110525e-07j)
96.00,-96.43644414158169,(1.5044376518558555e-05-9.160488122948394e-07j)
98.00,-98.26398999800685,(1.2171734140309616e-05-9.9561252908914e-07j)
100.00,-100.80305689233235,(9.055413076867622e-06-1.0570458389065377e-06j)
102.00,-104.63701319605165,(5.759732924072647e-06-1.0976827010272397e-06j)
104.00,-111.68823059189393,(2.3527488247388393e-06-1.1152351599301579e-06j)
106.00,-116.14966660138467,(-1.0951727267040805e-06-1.1078777399155552e-06j)
108.00,-106.67163642864112,(-4.512819163354342e-06-1.0743232091541215e-06j)
110.00,-102.05296089133617,(-7.829623650964795e-06-1.0138871380657004e-06j)
112.00,-99.1593820074454,(-1.097714344569107e-05-9.265389003202192e-07j)
114.00,-97.13079915832304,(-1.3890489563819179e-05-8.129370627777268e-07j)
116.00,-95.63798289201578,(-1.6509684352070886e-05-6.744474785340973e-07j)
118.00,-94.52242431663655,(-1.8780914661043784e-05-5.131428252496866e-07j)
120.00,-93.69725957936048,(-2.06576547021548e-05-3.317828105766012e-07j)
122.00,-93.11135289593138,(-2.210163488129823e-05-1.337747855248476e-07j)
124.00,-92.73386738775915,(-2.3083636226437577e-05+7.688494837568953e-08j)
126.00,-92.54693351189277,(-2.3584093791279186e-05+2.956882960914726e-07j)
128.00,-92.54206327309349,(-2.359349650480886e-05+5.177095972494689e-07j)
130.00,-92.71861096684759,(-2.31125752917773e-05+7.37715003137522e-07j)
132.00,-93.08364835893526,(-2.215227579547595e-05+9.502845893477617e-07j)
134.00,-93.65320157211693,(-2.07335166052965e-05+1.1499443542834659e-06j)
136.00,-94.45533541242752,(-1.8886738427775546e-05+1.3313048858819196e-06j)
138.00,-95.53646177031536,(-1.665125404641271e-05+1.4892031920361467e-06j)
140.00,-96.9743285985139,(-1.4074390915375162e-05+1.6188439625799193e-06j)
142.00,-98.90684802804891,(-1.1210599590552224e-05+1.7159366867492668e-06j)
144.00,-101.60566828538849,(-8.120083503797508e-06+1.77682416552649e-06j)
146.00,-105.69764274884648,(-4.86775098400698e-06+1.7985998437539413e-06j)
148.00,-112.6111719781166,(-1.521743828453097e-06+1.7792093751162956e-06j)
150.00,-111.96203151827305,(1.8479865761800717e-06+1.7175339163152596e-06j)
152.00,-105.32484584311734,(5.1711225779548725e-06+1.6134521648245383e-06j)
154.00,-101.40542263938514,(8.37845632123705e-06+1.4678788818778003e-06j)
156.00,-98.80474088253283,(1.1403347222136816e-05+1.282778170674564e-06j)
158.00,-96.9403356933101,(1.4183097021504984e-05+1.061150400699215e-06j)
160.00,-95.55618925544076,(1.6660255247771825e-05+8.069923199844843e-07j)
162.00,-94.52093250287516,(1.8783808890194104e-05+5.252305941424263e-07j)
164.00,-93.76008023558798,(2.0510234904405144e-05+2.216297107093154e-07j)
166.00,-93.22903312574171,(2.1804393825752164e-05-9.732411742010411e-08j)
168.00,-92.90085016029265,(2.2640246155192502e-05-4.2456074647530845e-07j)
170.00,-92.76027650957445,(2.3001376944020067e-05-7.525826670113811e-07j)
172.00,-92.80082800881868,(2.2881318055735744e-05-1.0736368513439857e-06j)
174.00,-93.0236471768024,(2.2283661842997904e-05-1.3798979132360533e-06j)
176.00,-93.43768050392617,(2.122196435407328e-05-1.6636582227100126e-06j)
178.00,-94.06123581707801,(1.971944058605895e-05-1.917520337981271e-06j)
180.00,-94.92552097290329,(1.780845864053177e-05-2.1345869512583515e-06j)
182.00,-96.08166775139222,(1.552995225309559e-05-2.3086436645949515e-06j)
184.00,-97.61545455510593,(1.2932007650587379e-05-2.434328683257073e-06j)
186.00,-99.6782546168109,(1.0069920428743143e-05-2.5072882970812033e-06j)
188.00,-102.56275222901253,(7.0039490754367685e-06-2.524308184107683e-06j)
190.00,-106.86202075450859,(3.7985952983152233e-06-2.4834224561433493e-06j)
192.00,-112.251204805205,(5.210979498509699e-07-2.383993734298382e-06j)
194.00,-109.0047160519721,(-2.7599127114875086e-06-2.2267627965546403e-06j)
196.00,-104.00476706384376,(-5.975900568336289e-06-2.013865664363101e-06j)
198.00,-100.69873420179178,(-9.059815328649082e-06-1.7488170243405227e-06j)
200.00,-98.39210576778123,(-1.1947532777847563e-05-1.4364595941943245e-06j)
202.00,-96.70145848731724,(-1.4579156111803369e-05-1.0828799937606142e-06j)
204.00,-95.43478518138062,(-1.6900264964433926e-05-6.952924278576702e-07j)
206.00,-94.48679676793441,(-1.8863039403067684e-05-2.8189237086207526e-07j)
208.00,-93.79557561638714,(-2.042724378145081e-05+1.4831678914125838e-07j)
210.00,-93.32339796546674,(-2.1561050255217857e-05+5.857204578808738e-07j)
212.00,-93.04751654586583,(-2.2241685159730356e-05+1.020308560047855e-06j)
214.00,-92.95552728124578,(-2.2455885167659925e-05+1.4419053968488725e-06j)
216.00,-93.0431352973158,(-2.2200154137246933e-05+1.8404083154302057e-06j)
218.00,-93.31342025526493,(-2.1480815727254276e-05+2.2060295584868025e-06j)
220.00,-93.77732595471463,(-2.031386115491579e-05+2.529535486229353e-06j)
222.00,-94.45554022762136,(-1.8724595488499347e-05+2.8024773316938037e-06j)
224.00,-95.38230812374806,(-1.674740763444531e-05+3.0174084074629126e-06j)
226.00,-96.6139843794703,(-1.4423457114067036e-05+3.1680776687707365e-06j)
228.00,-98.24286648781558,(-1.1802947824351243e-05+3.2496083895324153e-06j)
230.00,-100.43069822532757,(-8.940917306017685e-06+3.258634271260564e-06j)
232.00,-103.46976207647182,(-5.89767483660928e-06+3.193412148262724e-06j)
