Freq_kHz,TS,f_bs
10.00,-108.21388249916033,(-3.8842383679136495e-06+2.896369939210511e-10j)
12.00,-105.05563877759349,(-5.587506709552137e-06+7.066775761008841e-10j)
14.00,-102.38835384530839,(-7.595953533017436e-06+1.4927119626282396e-09j)
16.00,-100.08081954106021,(-9.907384206211525e-06+2.835126142133349e-09j)
18.00,-98.04839519941177,(-1.2519304593914742e-05+4.961949860225578e-09j)
20.00,-96.23328183933938,(-1.5428931383492858e-05+8.137882704539364e-09j)
22.00,-94.59424874069998,(-1.863320073986312e-05+1.2658514203733895e-08j)
24.00,-93.10084939830952,(-2.212877498047728e-05+1.884343729421259e-08j)
26.00,-91.72996079855017,(-2.591204706339461e-05+2.7029028511178483e-08j)
28.00,-90.46360890865475,(-2.9979142998042842e-05+3.756166560443977e-08j)
30.00,-89.28754613912875,(-3.432592249870228e-05+5.079207527021164e-08j)
32.00,-88.19028871175719,(-3.894797839754915e-05+6.707135873119857e-08j)
34.00,-87.16244618274058,(-4.3840635472703674e-05+8.674904559121192e-08j)
36.00,-86.1962426316414,(-4.899894965885959e-05+1.1017329645821046e-07j)
38.00,-85.28516740914903,(-5.441770716605904e-05+1.376931355495083e-07j)
40.00,-84.42371507480102,(-6.0091426704289406e-05+1.6966237009419114e-07j)
42.00,-83.60718887975031,(-6.601436230272449e-05+2.0644466774986408e-07j)
44.00,-82.83154975036767,(-7.218050902319197e-05+2.484191351869813e-07j)
46.00,-82.09329877551869,(-7.858361089978946e-05+2.959856846172272e-07j)
48.00,-81.38938466472383,(-8.521717104095962e-05+3.49569495525974e-07j)
50.00,-80.71713010449974,(-9.207446350599292e-05+4.096239735051981e-07j)
52.00,-80.07417279530156,(-9.914854426010588e-05+4.766317686569362e-07j)
54.00,-79.45841692775033,(-0.00010643227164948774+5.511036001506224e-07j)
56.00,-78.86799492102872,(-0.00011391831098154193+6.335749142536933e-07j)
58.00,-78.30123484550916,(-0.00012159915225926695+7.246005437944816e-07j)
60.00,-77.75663400812249,(-0.0001294671201468011+8.247478194357847e-07j)
62.00,-77.23283689855829,(-0.0001375143832448466+9.345886956377001e-07j)
64.00,-76.72861674041336,(-0.0001457329613066358+1.0546915673738203e-06j)
66.00,-76.24285996045315,(-0.0001541147304046429+1.1856134820229765e-06j)
68.00,-75.77455302674431,(-0.00016265142627830962+1.3278934100215943e-06j)
70.00,-75.32277106013044,(-0.00017133464933292164+1.4820471298006565e-06j)
72.00,-74.88666870557702,(-0.000180155855508704+1.6485641195427336e-06j)
74.00,-74.4654710432838,(-0.00018910637090975723+1.8279066399753963e-06j)
76.00,-74.05846670250024,(-0.00019817738529042664+2.0205109731497134e-06j)
78.00,-73.66500132410088,(-0.00020735995673188832+2.2267905553189805e-06j)
80.00,-73.28447185721546,(-0.00021664501623505037+2.4471405488256136e-06j)
82.00,-72.9163287320894,(-0.00022602318573026466+2.6819432478147546e-06j)
84.00,-72.56004348618804,(-0.00023548550236548137+2.9315736262733564e-06j)
86.00,-72.21514486390603,(-0.00024502240907097904+3.1964043227654804e-06j)
88.00,-71.88118990557737,(-0.0002546244016530586+3.4768094742712544e-06j)
90.00,-71.55776509976147,(-0.00026428194081930636+3.7731665472753624e-06j)
92.00,-71.24448597616168,(-0.0002739853966236858+4.085856610828589e-06j)
