freq,smoothed,sv
129.0,-30.1033236886998,-28.81621694246409
130.0,-29.956712985758898,-21.92368241260447
131.0,-29.782617634129593,-21.84285982983424
132.0,-29.766849882933833,-32.97300000188487
133.0,-28.74536538210025,-36.21050602354806
134.0,-30.34050595657502,-29.143763624256962
135.0,-31.089922244044367,-28.186397003114067
136.0,-31.857833759855595,-26.482576500493863
137.0,-31.986345270956598,-45.40778972748213
138.0,-32.1171221265556,-22.195967606910784
139.0,-32.12989517282167,-35.51033713151956
140.0,-31.58698733045016,-34.20754742129556
141.0,-30.85640970958236,-30.100796796511993
142.0,-29.60375336203898,-35.20315936460777
143.0,-29.81797455053379,-28.679963404075046
144.0,-29.559121524855062,-28.069886950916043
145.0,-29.280610217951352,-23.03107798329801
146.0,-28.62196963223359,-23.08218741406111
147.0,-30.161278584948345,-34.45398926461779
148.0,-28.906424705671384,-30.646556696893988
149.0,-28.90329054290359,-27.99701299815663
150.0,-29.605483272690257,-23.68718696247806
151.0,-29.707787030250895,-40.776450177666426
152.0,-30.347418372376225,-30.531744431785512
153.0,-29.498779965162225,-30.55948842197231
154.0,-29.434925359073887,-28.40510214387593
155.0,-27.983337736121193,-28.785940145869784
156.0,-27.08562620327055,-20.25173117530352
157.0,-26.54862736853455,-32.24852877918396
158.0,-26.64120571262638,-30.450156435033456
159.0,-25.932823100372314,-21.32422475870346
160.0,-24.76175620560329,-22.79743127287885
161.0,-26.54393780948731,-19.703766297200232
162.0,-27.67162620396504,-33.0820995112092
163.0,-29.047368015287656,-23.17935336206292
164.0,-29.555139930716862,-34.888449148982204
165.0,-30.039054004900198,-26.75119563701759
166.0,-29.270411112291278,-35.13562306852451
167.0,-30.47901349268746,-27.01798948710266
168.0,-31.66677425643934,-36.58655767253893
169.0,-31.639583581632728,-41.91279571185321
170.0,-30.693963509438653,-26.166009130440358
171.0,-29.72561655286614,-25.98243477399837
172.0,-30.234373446683485,-21.292128461195546
173.0,-29.53480825331704,-28.873783891680176
174.0,-29.99093005579818,-30.484874654088582
175.0,-29.450408804778668,-38.64711806160724
176.0,-29.64062659992414,-26.373986889440822
177.0,-29.304329991486867,-24.126472845306928
178.0,-29.40701804353255,-26.923765644001854
179.0,-29.75051184794452,-37.96185612424641
180.0,-29.431759531493338,-33.976404471303866
181.0,-28.83235236589648,-27.040010384881043
182.0,-28.417686886779563,-30.149379683378008
183.0,-28.283810572973625,-25.407571676524896
184.0,-29.013727126119104,-28.302621517944058
185.0,-29.902954090323668,-26.76659608794308
186.0,-30.246474570079794,-23.502353127367908
187.0,-29.917102674421354,-26.53514925796442
188.0,-29.946937958479936,-35.19844495963777
189.0,-30.66926477236008,-33.347628976750514
190.0,-31.38961395694275,-38.76692855668283
191.0,-31.095059761277803,-31.511465705996407
192.0,-31.210904647278657,-34.407608517684714
193.0,-30.91110689767426,-24.382286469165226
194.0,-30.22194978562202,-31.767442387275892
195.0,-30.20076485168554,-27.529593640043537
196.0,-29.463579616352547,-30.816639717818646
197.0,-28.517493340240907,-25.74800315597418
198.0,-28.45774048249642,-27.63560421348782
199.0,-28.216715034591992,-25.339085794505245
200.0,-28.55981179279309,-31.11715157184173
201.0,-28.93364718612161,-29.153672307247845
202.0,-28.7702261102243,-28.46133269115441
203.0,-28.88193134358674,-36.28300813400037
204.0,-28.16399967150496,-25.89938971605445
205.0,-27.314890932063637,-27.326428833244606
206.0,-28.473696884341702,-29.454125888841713
207.0,-29.026776072292815,-26.32724482068675
208.0,-29.267254018968117,-27.610428294590655
209.0,-28.70297041407494,-28.54277337969512
210.0,-29.129418142543962,-22.335250284335917
211.0,-28.94880971285319,-34.08387666172332
212.0,-28.660073492049513,-20.632757058654114
213.0,-29.439273704728517,-38.997250513977654
214.0,-28.9814507620186,-43.46311777522445
215.0,-28.05282983886777,-24.135534703962808
216.0,-29.529273430831214,-23.353838971862444
217.0,-30.372613321150403,-25.60371791894951
218.0,-30.848604827646113,-31.968466909297625
219.0,-31.07370351382044,-24.552389647096412
220.0,-30.593264661076233,-29.888791368943657
221.0,-30.320994195144827,-31.391609735884135
222.0,-28.603307042287163,-28.154347056409943
223.0,-29.22971804329945,-36.1148532879059
224.0,-30.373850628743867,-48.95386302401765
225.0,-30.677115870450756,-23.546749087171307
226.0,-31.100020507746322,-23.8971348253419
227.0,-31.367038056880293,-25.55918364606958
228.0,-31.967013882444846,-26.897407596093572
229.0,-31.720147381836853,-25.373865922839972
230.0,-31.407319227618334,-33.53520749019453
231.0,-31.254707759233714,-40.33293270978625
232.0,-30.88973410498965,-32.0735942419286
233.0,-30.99183588177249,-38.13838120934227
234.0,-32.41071533142701,-34.12333036178315
235.0,-31.61045521368414,-28.600677005867748
236.0,-31.119141226561894,-28.018300024585344
237.0,-29.39825289788506,-27.2853530164317
238.0,-28.889350604768474,-27.037778253747774
239.0,-27.740241763657753,-29.93248743387161
240.0,-27.01495613030437,-28.30198775054472
241.0,-27.67081584278937,-24.952433669964247
242.0,-27.431240547948462,-24.961318621099686
243.0,-26.897847844236967,-25.517152467626694
244.0,-27.287633557724018,-30.975424238488955
245.0,-27.65201768063549,-23.673062953678983
246.0,-27.991147635128584,-39.33681932655042
247.0,-28.167553152083592,-24.949131425877514
248.0,-27.927844917648816,-27.521173369541412
249.0,-28.02765888033602,-29.428297681208146
250.0,-27.78968360531878,-20.43889718451062
251.0,-27.842188064630612,-23.654626618925683
252.0,-27.619377494960002,-38.29434431432014
253.0,-27.53374274065718,-30.031842994390907
254.0,-27.648582948361533,-26.70339046791403
255.0,-28.02719726471263,-25.720440350224266
256.0,-28.732884836350046,-25.842719089987863
257.0,-29.828944809913335,-30.681520484822062
258.0,-31.378676332042073,-31.234320548384268
259.0,-33.445378549375825,-37.6736864479058
260.0,-36.09235060855416,-33.4182552300122
