freq,smoothed,sv
131.0,-20.48740846022246,-24.783058107760606
132.0,-19.910952486851713,-31.617920774180455
133.0,-19.706517960260832,-14.715097635621683
134.0,-19.14325974700315,-14.876735146680467
135.0,-18.992011571624705,-23.819528336464714
136.0,-17.949669365444727,-11.063374479905491
137.0,-16.361274802219867,-20.8952473783161
138.0,-16.764512345314195,-11.909975729562083
139.0,-15.992748778243165,-16.819415133512152
140.0,-16.005128964542124,-15.933930555627853
141.0,-17.00074570172235,-16.980568544198235
142.0,-17.86720617722753,-19.346766462914694
143.0,-18.460035879122845,-16.79130411142984
144.0,-18.548648266633027,-13.68399526729981
145.0,-20.009856457330415,-18.061704520023852
146.0,-19.78516595960813,-30.20487717744024
147.0,-20.041244085207637,-19.57947097971591
148.0,-19.703913724945473,-24.96744844851319
149.0,-20.530916341828974,-18.62997489219048
150.0,-20.627405413384814,-12.271596203235081
151.0,-19.599101008925608,-26.017025801518443
152.0,-19.586841590429007,-16.632956616036925
153.0,-20.10581293427985,-21.56369050530951
154.0,-19.061569455618837,-13.272940809286025
155.0,-19.758273005394763,-20.204318208827537
156.0,-20.77372040502413,-24.740373460168254
157.0,-21.37278133933665,-24.92684023266063
158.0,-21.92462521661505,-12.388084189265143
159.0,-22.33653710927986,-16.504833853248847
160.0,-21.148690142636397,-32.67340988736801
161.0,-20.89112736296069,-26.3633057748412
162.0,-20.529762645538238,-16.482796924417997
163.0,-20.26753541501916,-31.820911127338107
164.0,-19.937153226621348,-12.150838461602039
165.0,-19.94106405589238,-19.06721851358133
166.0,-19.99562684426104,-13.664642838308314
167.0,-20.12488272020342,-18.562725974201385
168.0,-19.404237822464253,-12.74222268835278
169.0,-19.289602116571125,-23.096051756023627
170.0,-20.654268755384084,-27.52984859701904
171.0,-22.47177153967075,-22.45668067850189
172.0,-23.92486697148956,-27.79673853667405
173.0,-25.57953196829674,-20.177092315011997
174.0,-25.85295868080963,-20.10044138103421
175.0,-26.068579102607185,-25.46666397427435
176.0,-25.633996162995846,-29.908927449835737
177.0,-24.77753444927025,-30.975372919672207
178.0,-22.961527024427475,-26.746722761233535
179.0,-22.587804315355974,-27.638709638321597
180.0,-22.142986512543178,-19.702501233382822
181.0,-20.888750473308384,-9.826825259673047
182.0,-20.39586549741385,-20.065489530879375
183.0,-18.536349499762323,-15.88640050484392
184.0,-16.630576368673232,-17.929111913804967
185.0,-15.78211194565382,-15.238189195045027
186.0,-15.400776692994135,-20.47809355353276
187.0,-16.270857996958338,-23.391723039330408
188.0,-17.134586662683525,-11.033912554198764
189.0,-17.759572399322675,-13.267774586018056
190.0,-18.667668681135538,-17.334637347110018
191.0,-18.501964599039795,-12.648317836226337
192.0,-19.27384125200046,-22.897771869166476
193.0,-19.7147466938576,-25.64495749397949
194.0,-19.420989805988803,-20.748003792611538
195.0,-19.567009988602855,-24.768171599500064
196.0,-19.866428504729654,-16.304889337788588
197.0,-20.770969443302366,-15.669948252872212
198.0,-20.779390667857516,-25.013155548666862
199.0,-20.07595870009801,-18.028239108218116
200.0,-19.40814602769409,-20.007986770628527
201.0,-18.443075052449075,-16.44916919136808
202.0,-18.071243297107035,-14.423024977803898
203.0,-16.970826521728192,-25.44921986128317
204.0,-17.643762079971452,-17.48620923690539
205.0,-19.045279968287083,-20.147606782504994
206.0,-19.523055034845715,-16.8914373275848
207.0,-19.507070507215133,-12.893116382297013
208.0,-20.34140843194478,-19.05380441991058
209.0,-20.010556616229653,-21.339564752353457
210.0,-20.901846781521105,-18.434891735749805
211.0,-21.35045817791117,-20.366533135267225
212.0,-20.922535938105476,-40.2256528998501
213.0,-21.68755304575504,-20.22532793622224
214.0,-21.7936330900908,-15.387248059524394
215.0,-21.247201700841046,-16.93400488288129
216.0,-21.15980104805015,-19.751303340166835
217.0,-19.439203393009805,-18.39575744596783
218.0,-19.767476002134963,-28.880493162345772
219.0,-19.305481034997815,-16.54935149806892
220.0,-19.489970149955752,-15.511997093087718
221.0,-19.389398866689277,-21.14911904772617
222.0,-20.626751766831426,-16.578842914753906
223.0,-21.382986154015526,-15.704170775879335
224.0,-21.169974447745318,-26.726193199875638
225.0,-20.51817215771348,-18.29221716319161
226.0,-20.797699767050723,-35.11205217714064
227.0,-20.433111214384738,-15.295353840063479
228.0,-21.185223180164943,-26.83487524314978
229.0,-21.920808880786023,-14.925595593232547
230.0,-21.374959131694915,-16.627920047962668
231.0,-21.336323050582216,-24.611805166548475
232.0,-21.77250826947467,-15.732070766769857
233.0,-21.62841567410586,-20.877792299003946
234.0,-22.01126408622084,-27.860704163434228
235.0,-21.90530374981332,-19.37820601031475
236.0,-23.552815623623516,-26.069924781931704
237.0,-23.40477468846094,-26.762329491359182
238.0,-23.41570431986713,-15.504499347563975
239.0,-23.347494690740938,-28.05785098987133
240.0,-22.812841496414006,-29.333478974471966
241.0,-22.450846098146442,-18.037032184879333
242.0,-20.175660588930814,-19.368107819168927
243.0,-20.006756192442896,-22.54796028940836
244.0,-20.282010884832257,-19.795717156486667
245.0,-19.76567642366354,-14.735439346647164
246.0,-18.73655245882719,-16.16214997061587
247.0,-18.963135374183622,-25.444688637434105
248.0,-18.163408101136657,-13.504365896384659
249.0,-18.410193333820192,-14.567540588094687
250.0,-18.662795695327336,-17.758351669893685
251.0,-18.620993829590994,-35.29281483260937
252.0,-18.67930242178055,-14.433510902565647
253.0,-18.73007067261628,-13.82495218454816
254.0,-18.759186660434864,-12.976967957636703
255.0,-18.752538463573117,-27.22085619863444
256.0,-18.69601416036784,-16.412990614317742
257.0,-18.57550182915584,-16.940867284835047
258.0,-18.376889548273923,-15.851255880491085
259.0,-18.08606539605889,-21.81296326994516
260.0,-17.688917450847544,-17.02028265064577
