freq,smoothed,sv
1.0,-27.491398865164374,-39.34077343061523
2.0,-25.194715810612244,-14.37056741754106
3.0,-23.7252424729706,-14.548578341935002
4.0,-22.965753963730485,-27.50455039090621
5.0,-22.799025394382944,-20.065560403430382
6.0,-23.107831876419024,-25.144214866664825
7.0,-23.774948521329765,-25.84560440304663
8.0,-24.683150440606216,-27.173432986569672
9.0,-25.715212745739414,-30.722853375513807
10.0,-26.753910548220603,-20.549426640498822
11.0,-28.05170706466265,-28.830562557894176
12.0,-27.604380668231848,-34.84239103749008
13.0,-26.749601736618185,-29.628684905637815
14.0,-26.39288623416558,-21.60369451933257
15.0,-25.526069698105932,-26.75292299492261
16.0,-24.977977116748278,-24.855919542528213
17.0,-24.25073501857471,-23.758497449457103
18.0,-24.32815813136552,-22.488814675792767
19.0,-23.33388491358971,-18.779273995480715
20.0,-23.401574831485135,-25.69681191796722
21.0,-23.675055691226255,-23.671461189104033
22.0,-24.164804387717655,-22.5812469337583
23.0,-24.859502548316744,-26.91273431103856
24.0,-24.808907569959544,-25.48282776325967
25.0,-25.081007958439987,-24.941779488273923
26.0,-25.67956613797159,-28.427500791718693
27.0,-25.14438592663349,-19.356302141304575
28.0,-26.19703111702301,-40.41887043612465
29.0,-26.80170141547568,-19.179946198247467
30.0,-27.379981245032333,-21.67874817319433
31.0,-27.450569253459044,-28.204858722469027
32.0,-27.393096640483343,-25.09840953787076
33.0,-27.805268580882,-27.535929922124463
34.0,-28.45750945501432,-30.25573369810571
35.0,-28.136746270626098,-26.18394585905937
36.0,-28.69131066411522,-43.47900673673797
37.0,-28.64355139382409,-25.09996937460267
38.0,-29.788844145435228,-22.504735892251798
39.0,-29.557117431978327,-26.273065735860108
40.0,-28.679841378069064,-30.275292480492027
41.0,-28.013245392694305,-30.44983754411449
42.0,-26.62532403103389,-28.678259061039096
43.0,-26.059322718446968,-22.59583187773126
44.0,-25.82845810128587,-33.155188156952974
45.0,-25.337136482417,-26.219773233508885
46.0,-25.770442426880933,-20.274632793363175
47.0,-26.336651784411202,-25.107582198049748
48.0,-26.001012872633982,-20.032251608770267
49.0,-25.875536879012905,-24.671505877734965
50.0,-26.040605783701224,-26.682534801675196
51.0,-26.342576452760767,-33.902346823975826
52.0,-25.957515515643163,-27.10825561383895
53.0,-26.022134960292288,-25.87465808539602
54.0,-26.965782704702967,-24.367384349533335
55.0,-27.135140483583246,-35.68673280106513
56.0,-26.045608756274227,-20.135957987796726
57.0,-26.72724501406062,-25.26121411042627
58.0,-26.576656308829694,-24.272596718982552
59.0,-26.106163230548617,-24.43371388735031
60.0,-26.435296594504095,-23.98546425562547
61.0,-26.70274109280168,-34.21368970064925
62.0,-26.642338783926157,-23.722174708130574
63.0,-26.515971829458486,-22.699103849806757
64.0,-26.07013335068552,-26.877271286086327
65.0,-26.04351513564266,-38.8195525110813
66.0,-25.571150949348713,-21.51961273420159
67.0,-24.911913144961918,-22.226837562886942
68.0,-24.12408555106602,-27.704623726432736
69.0,-23.30247031239851,-16.950118967461123
70.0,-22.271818654410925,-23.970296273818647
71.0,-22.647151317510687,-22.289671747800696
72.0,-22.47491303881631,-20.134387786947492
73.0,-22.158418841456665,-19.783653902254876
74.0,-22.31943819325624,-27.977730113592433
75.0,-23.73911062909073,-19.109714802657525
76.0,-24.05281346016374,-24.075009239911637
77.0,-23.83116108558117,-24.822508336837444
78.0,-24.97598467607794,-25.737916844845845
79.0,-24.88872948438017,-29.18789636839434
80.0,-25.617295501567185,-25.636727857114302
81.0,-25.762051609052783,-24.665106665273456
82.0,-25.602302511351628,-24.99413305151391
