Freq_kHz,TS,f_bs
10.00,-90.15258169660578,(-3.1072113245044456e-05+2.3491191536584784e-08j)
12.00,-87.02859098905817,(-4.452153312834971e-05+5.5661574219719515e-08j)
14.00,-84.4011202195962,(-6.0248080543041525e-05+1.137342360522532e-07j)
16.00,-82.13877517359342,(-7.817352575318067e-05+2.082858885354742e-07j)
18.00,-80.15678046995458,(-9.821056486150112e-05+3.5061743800609564e-07j)
20.00,-78.39726264590387,(-0.00012026307116511078+5.521654479386353e-07j)
22.00,-76.81897713957555,(-0.00014422616421496754+8.241077271916161e-07j)
24.00,-75.39151678683436,(-0.0001699862315362318+1.177236664155338e-06j)
26.00,-74.0918379243902,(-0.00019742104422246952+1.622097641794975e-06j)
28.00,-72.90206876692785,(-0.0002264001061647813+2.169316129254887e-06j)
30.00,-71.80806976933535,(-0.00025678528839940266+2.8299850811853757e-06j)
32.00,-70.79845611205224,(-0.0002884317523961248+3.615967949111903e-06j)
34.00,-69.8639173506599,(-0.0003211890651810549+4.539995909498257e-06j)
36.00,-68.99673302395244,(-0.00035490244516894336+5.615493208273149e-06j)
38.00,-68.19042598831567,(-0.0003894138550522651+6.856136752519627e-06j)
40.00,-67.43950795597965,(-0.0004245629795742669+8.27522365221588e-06j)
42.00,-66.73929248017207,(-0.0004601879121183092+9.884969340702679e-06j)
44.00,-66.08575458677731,(-0.0004961255848112541+1.1695875282270663e-05j)
46.00,-65.47542269240614,(-0.0005322120243639076+1.3716287718447837e-05j)
48.00,-64.90531628307627,(-0.0005682810120316588+1.5952221288478873e-05j)
50.00,-64.37279441537449,(-0.0006041695087639914+1.8407455158878895e-05j)
52.00,-63.875609989730165,(-0.0006397109006734488+2.1083841144683607e-05j)
54.00,-63.411788250088854,(-0.0006747399902915633+2.3981710485397582e-05j)
56.00,-62.97959994443004,(-0.0007090927783318259+2.710024361858902e-05j)
58.00,-62.57752058364075,(-0.0007426077442259471+3.0437677330082108e-05j)
60.00,-62.20420231616114,(-0.0007751267076722414+3.3991278052658745e-05j)
62.00,-61.85844662203063,(-0.0008064960716305133+3.775706101814665e-05j)
64.00,-61.539185713804585,(-0.0008365676872640376+4.1729314242893886e-05j)
66.00,-61.24546906942057,(-0.0008651994905171315+4.5900030644942514e-05j)
68.00,-60.976453851227284,(-0.000892255925234393+5.02583783003517e-05j)
