Freq_kHz,TS,f_bs
1.00,-49.23283130121079,(0.003453936039278867+4.9248726282527e-05j)
2.00,-18.784996630043526,(0.030294275970898225+0.11095244110903528j)
3.00,-34.58483765360354,(-0.018131092779461+0.004383262364014072j)
4.00,-28.69776269191931,(-0.03625856859376562-0.005913898530131587j)
5.00,-40.54223476688672,(-0.009007311883296433+0.002670373263135759j)
6.00,-54.334189948741255,(0.001919917686058272+1.1575445498043048e-05j)
7.00,-40.78631027563417,(-0.008342764183519978+0.003719847186669735j)
8.00,-39.21324335076123,(-0.010304225035076123+0.003699098603946454j)
9.00,-44.80858417451913,(-0.0047786650466163936+0.0031956355349895436j)
10.00,-46.41726737199073,(-0.0038586081078899126+0.0028158332451449107j)
11.00,-46.76391316718686,(-0.003298361343941312+0.0031918807805522077j)
12.00,-47.16222119216283,(-0.003066512199898501+0.0031333029074678462j)
13.00,-52.50111884893981,(-0.000752376624880325+0.002248531548337641j)
14.00,-53.90169516624836,(-0.0002414492595906597+0.0020034757873219765j)
15.00,-55.48820817526277,(0.00040905588239457355+0.0016305578792583438j)
16.00,-56.143034030527446,(0.0008061531183410131+0.001334399710332413j)
17.00,-53.78294063129084,(0.002003689265984437+0.0004127108704850356j)
18.00,-53.27542435890087,(0.0021619470431942073+0.00017285655651648132j)
19.00,-52.97697728795146,(0.0022324268296094927-0.0002340558659988182j)
20.00,-52.104957375146704,(0.002420430855570329-0.00054811514519014j)
21.00,-49.915784890834274,(0.0028971779321422717-0.0013424473167078649j)
22.00,-50.670809320022784,(0.002614515330021404-0.001316469170159622j)
23.00,-55.00136913862232,(0.0013938702697487656-0.0011038145505358535j)
24.00,-51.721202051523534,(0.0020548647733532118-0.0015828565638105836j)
25.00,-53.8415446534701,(0.0015857846681438352-0.0012705483788445205j)
26.00,-52.84845245197937,(0.0014867374957408853-0.0017261115286354406j)
27.00,-52.63926242601812,(0.001454387322520058-0.0018250229769856937j)
28.00,-56.41789153020913,(0.0005153520674572867-0.0014198104372487015j)
29.00,-57.87597697360258,(0.00016203842072271633-0.0012667081580943814j)
30.00,-59.347163902749955,(-0.00022198845356491133-0.0010549542431956293j)
31.00,-60.023580955844906,(-0.0004951953485143447-0.0008656596128572122j)
32.00,-58.92751424226344,(-0.001055143488881004-0.00040839442590269795j)
33.00,-57.840804652216946,(-0.0012698448275395078-0.00017765471981152814j)
34.00,-57.02561868860001,(-0.0014050632382241245+9.656274321008251e-05j)
35.00,-56.07912785625014,(-0.0015347749580131686+0.0003331672876919024j)
36.00,-54.55383712883417,(-0.0017285603195157284+0.0007186795714569638j)
37.00,-54.54788152716131,(-0.0016692401534352886+0.0008502161031515292j)
38.00,-55.7183667430934,(-0.001349081184066337+0.0009274459722346761j)
39.00,-55.124774146142165,(-0.0013688982551573828+0.001094913112578623j)
40.00,-53.83351949872566,(-0.0012576779498452996+0.001598402093039539j)
41.00,-56.13335364956393,(-0.000972895448000655+0.0012204112009013505j)
42.00,-55.38798627940295,(-0.0010347007702667475+0.0013495980323508547j)
43.00,-59.04045506171084,(-0.00033462360657701023+0.0010654951242886812j)
44.00,-60.31512202672762,(-6.895746861730986e-05+0.000961901892483356j)
45.00,-61.49125034538309,(0.00021131263675450157+0.000815303917313306j)
46.00,-61.97391283160563,(0.0004164974406965695+0.000679182348128578j)
47.00,-61.27558010114578,(0.0007761755688154869+0.00037820863846426j)
48.00,-60.3293869726192,(0.0009436039949645092+0.0001912384892001071j)
49.00,-59.77086725223741,(0.0010265538500517704-1.906718410944928e-05j)
50.00,-61.748197221745535,(0.0007947317537852781-0.00019241322098061012j)
51.00,-54.467790840092164,(0.001802174397034427-0.0005715887108330628j)
52.00,-63.00603655346026,(0.0005150241712670264-0.0004850166867708724j)
53.00,-59.55886602350978,(0.0007694801911831751-0.0007175047073796936j)
54.00,-57.274178696107924,(0.0010617346261154973-0.0008636613205279479j)
55.00,-58.90278918385147,(0.000601878947751078-0.0009618545590614012j)
56.00,-37.21725183801694,(-0.0017966274552914485-0.013658798669877046j)
57.00,-56.042665857571734,(0.0010228449076880477-0.0012004658806917734j)
58.00,-61.03955487147892,(0.00015613714369993407-0.0008733542546717584j)
59.00,-54.67128909689152,(0.0014266889954881088-0.0011728064755102657j)
60.00,-62.91220142179832,(-8.085592524963495e-05-0.0007105524970684593j)
61.00,-63.189321748505535,(-0.00036515723211718134-0.0005886158100299079j)
62.00,-65.09822747922864,(8.835847871008113e-05-0.0005489521608758291j)
63.00,-63.91127645661369,(-0.0005998501943394376-0.00021564700619310648j)
64.00,-60.843435459083004,(-0.0009074425370168841-5.872440410473236e-06j)
65.00,-64.90357401527513,(-0.00033839234039847554-0.0004569661802220618j)
66.00,-60.3860779104432,(-0.0008888367646084107+0.0003534237553771993j)
67.00,-58.17992054532524,(-0.001115718285845671+0.0005251171823587931j)
68.00,-59.163004316545084,(-0.0009151721084031449+0.0006123804106867553j)
69.00,-59.46572004758735,(-0.0007898263184798494+0.000712098489583167j)
70.00,-58.13498692825577,(-0.0008906681857395972+0.0008620322503156563j)
71.00,-59.30859340087204,(-0.0006750372505617909+0.0008466993502345019j)
72.00,-61.62594017770437,(0.0007397014379167929-0.0003749037217231946j)
73.00,-60.773652115739374,(-0.00038847757153456525+0.0008281971084752508j)
74.00,-62.682632642106896,(-0.00010985334110544224+0.0007260274926405754j)
75.00,-63.72953155622582,(0.00022470693496291183+0.000610897255980772j)
76.00,-64.2271261717588,(0.00032983814894142256+0.0005186799759661965j)
77.00,-64.5842892134608,(0.00048461809591396327+0.00033636105352490833j)
78.00,-61.44554157889939,(0.000832349865811063+0.00015515371031439348j)
79.00,-62.23191308404627,(0.0007730916656949564+2.1847812566221373e-05j)
80.00,-61.84145499428521,(0.0007999186254820415-0.0001206112931926376j)
81.00,-65.19725376779166,(0.0004900287803547406-0.00024911441445381484j)
82.00,-59.88099148431897,(0.0009132985773304493-0.0004400765158502487j)
83.00,-57.467748537334,(0.0012878892224112873-0.0003645212320040901j)
84.00,-61.18797691392119,(0.0006129641010612925-0.000620447866597546j)
85.00,-59.7716722907159,(0.0007251072967882627-0.0007267739547840968j)
86.00,-60.165432948097326,(0.0006294218902378796-0.0007526301404435862j)
87.00,-64.12247237086424,(0.0001274844455259802-0.0006089211476564786j)
88.00,-62.76232086959554,(0.00019327196117299882-0.0007014459468866832j)
89.00,-63.81387656348573,(-1.5723799924926726e-07-0.0006446235372069496j)
90.00,-63.47677276962594,(-0.0003825979568415393-0.0005501797694837147j)
91.00,-64.91617914749565,(-0.0003040233834785775-0.00047954162544704615j)
92.00,-64.6886199092001,(-0.0004953016079885041-0.0003072613418337155j)
93.00,-57.30013556332637,(0.001355660718300662-0.0001556053665650009j)
94.00,-63.09660299288731,(-0.0006994587356935854-3.0324021693277172e-05j)
95.00,-62.99652833674479,(-0.0007015953014253821+9.670607981400463e-05j)
96.00,-62.70363339121792,(-0.0006876285046412961+0.0002524870941832908j)
97.00,-61.314618712666196,(-0.0007695060775229892+0.000382987625348743j)
98.00,-60.97576776603954,(-0.0007549501241812594+0.0004783545007805181j)
99.00,-61.9079927452264,(-0.000581219704270959+0.000553760522855341j)
100.00,-62.69931724277246,(-0.0004164223456832704+0.0006030826312758315j)
101.00,-61.96252539219767,(-0.00044278468726950703+0.0006636015800936128j)
102.00,-64.52974615897904,(-7.543719899380933e-05+0.0005888129553574883j)
103.00,-64.10721518277657,(-9.669230746413643e-05+0.0006156703146270767j)
104.00,-63.01501927300186,(0.0002503504344055279+0.0006608945632397245j)
105.00,-57.38611771976737,(0.0008061607708864822+0.001084265499916824j)
106.00,-70.35577492308133,(2.6321230610661658e-05+0.0003023933537892046j)
107.00,-63.36927744357881,(0.0005855536901935882+0.0003427244241828506j)
108.00,-64.60837995310374,(0.0005616959395836993+0.0001748316875603063j)
109.00,-55.85063418642968,(0.0015107956188731043-0.0005632730206950758j)
110.00,-61.69121897615988,(0.0008230340084361889-8.145863264862142e-06j)
111.00,-62.27617289228877,(0.0007153039559129956-0.0002835902201539578j)
112.00,-62.60101426233998,(0.0006636132972958237-0.00033019681907420456j)
113.00,-61.882796587034996,(0.0007025907600722766-0.0003931705883270716j)
114.00,-63.02982178038398,(0.000411954613455038-0.00057275728479034j)
115.00,-60.3021673665345,(0.00015064695824727528-0.0009539885566004387j)
116.00,-63.149330673877195,(0.00035621741997967076-0.0005977927255592588j)
117.00,-64.08018088502433,(0.00010087821231085728-0.0006169669389566424j)
118.00,-61.33761412900927,(0.0007297096929109262-0.00044993472953409533j)
119.00,-65.4185241926088,(-0.00010326041461766183-0.0005258449539715814j)
120.00,-66.07098653799318,(-0.0001268965584821373-0.00048063867607863446j)
121.00,-69.49086495491942,(3.459140891571284e-05-0.0003335289133797103j)
122.00,-67.56409849968276,(-0.0003510091879728518-0.00022806832744803502j)
123.00,-65.25995292909917,(-0.0005198270060473012-0.00016623704461411304j)
124.00,-67.8190772641644,(-0.0004064150959112877-7.619201567828571e-06j)
125.00,-66.37473184858892,(-0.0004664536899563518+0.00011333348841268578j)
126.00,-63.34223445637047,(-0.0006529642307931993+0.00019195376976945534j)
127.00,-63.62212167027473,(-0.0005823622739864622+0.00030846747871831975j)
128.00,-64.08944606637203,(-0.00045673788756591565+0.0004258899249855075j)
129.00,-63.102564756699465,(-0.0005453961929676863+0.00043821530680499953j)
130.00,-63.28109965815272,(-0.0004340842938905834+0.000530420559200771j)
131.00,-63.329565842688396,(-0.00035149760801808807+0.0005839615963036254j)
132.00,-65.04872236025936,(-0.00021865430551846468+0.0005146748587628019j)
133.00,-64.51283841696664,(5.364562888093808e-05+0.000592358169735863j)
134.00,-65.90368850320245,(5.679287284504416e-05+0.0005035830958820702j)
135.00,-66.61399885290264,(0.00024277843009791645+0.0003989119431163091j)
136.00,-61.31252074179547,(0.0006582861092018291+0.0005530239729816108j)
137.00,-66.42027083950714,(0.00039353408713668493+0.0002704642471466867j)
138.00,-66.37510725273683,(0.0004508214915577107+0.00016481380485521552j)
139.00,-72.9309274639162,(0.00011052818475371729-0.0001967377227488533j)
140.00,-64.49062942131563,(0.0005953842901701827-3.312593866779468e-05j)
141.00,-64.82446642669251,(0.0005476300366227403-0.00017138333639147964j)
142.00,-65.71277123347835,(0.0004314038707674061-0.0002867993159995154j)
143.00,-63.78878965370242,(0.0005551427462342362-0.0003313055393164079j)
144.00,-67.49831044594859,(0.00027046916516605695-0.0003236411072580381j)
145.00,-61.59166064189195,(0.0005008948512515354-0.0006650301156075276j)
146.00,-73.8778393069161,(0.00010482049470824998-0.00017308696190428962j)
147.00,-55.540846476664065,(0.00034141795630663306-0.0016356752070577978j)
148.00,-62.29676284420455,(0.00024476183033739554-0.0007275811839515104j)
149.00,-65.83014977798113,(-0.00018941278849383123-0.000474689290397818j)
150.00,-66.43907296699994,(1.435793635126089e-05-0.0004762654637191081j)
151.00,-52.85923040914328,(0.0014124738025929613-0.001783789052030408j)
152.00,-67.63407512290397,(-0.0003858491654661249-0.00015343515182914726j)
153.00,-66.76270204720723,(-0.0004306568692681869-0.00015895384350766138j)
154.00,-61.928970505004905,(-0.0007866362373238347+0.00015021658846611617j)
155.00,-65.94984945319024,(-0.0003652588929316891+0.00034740757050401793j)
156.00,-65.77871256759626,(-0.0005022532673114472+0.0001098220150188515j)
157.00,-64.3861520792437,(-0.0005519687471222653+0.00024406580247246515j)
158.00,-61.710480422641545,(-0.0006355641931125311+0.0005201072687652952j)
159.00,-67.26252423714772,(-0.0003195779623388547+0.00029273265691143164j)
160.00,-64.24727684299472,(-0.00037767111308677545+0.00048315387805746533j)
161.00,-60.59794746922237,(-0.0007912314771695959+0.0004953060318750223j)
162.00,-68.16884230601063,(-5.20551858765013e-06+0.0003904085166549924j)
163.00,-64.68404000040393,(-5.718495374985459e-05+0.0005803632958506986j)
164.00,-67.25350038971719,(5.6011535032890716e-05+0.00043020443625704563j)
165.00,-67.11570208481729,(0.00022866015533296193+0.00037682262721958065j)
166.00,-66.60175453123622,(0.0003759398428398576+0.00027813131821579793j)
167.00,-67.33228041402484,(0.00040778867286754404+0.00013615499768886543j)
168.00,-67.63671740706275,(0.00038238886198413777+0.00016154198059506927j)
169.00,-66.84638425067483,(0.0004369974845376034+0.00012547207008197235j)
170.00,-65.35326992291968,(0.0005014969072606849-0.00020005992841275845j)
171.00,-65.2484605716048,(0.0005197807364335248-0.00016873674315584112j)
172.00,-65.84139043474582,(0.00046461537951225575-0.00021133972416931835j)
173.00,-62.95981846136689,(0.0005948550793256194-0.0003898631053699308j)
174.00,-63.720540284919835,(0.000442563948192276-0.00047822995944483466j)
175.00,-65.27855409414181,(0.00034314232551160606-0.0004228891209177897j)
176.00,-64.77901991793057,(0.00027073881483230983-0.0005093477475497382j)
177.00,-64.26732269709953,(0.00010929898944181637-0.0006019925405684057j)
178.00,-66.7740171093858,(-1.6613550007007683e-05-0.0004581564470205953j)
179.00,-67.16870726627322,(-3.410820773043564e-05-0.00043676151889937456j)
180.00,-66.01491203769518,(-0.00011866210505360097-0.0004860524043397543j)
181.00,-68.37684579776808,(-0.0002972620275815466-0.00023864607950598393j)
182.00,-67.74766084757735,(-0.00034034056214222644-0.00022833998762735293j)
183.00,-69.62333002096099,(-0.00024060567435645348-0.0002262062936600127j)
184.00,-60.70707286408403,(-0.0009093430854299389+0.00015115610090861984j)
185.00,-60.90919205143259,(-0.0008829715096035409-0.00017740702890697827j)
186.00,-66.34362683399982,(-0.00046508886180772116+0.00012558717012225382j)
187.00,-65.41011294427635,(-0.00048005135569079827+0.00023933878582134305j)
188.00,-55.098940431963335,(-0.0017518705566284846-0.00014832070243222056j)
189.00,-67.63387500743319,(-0.0002614451596101803+0.0003226085831384851j)
190.00,-66.6683453363494,(-0.00024499884931415775+0.00039412659641451404j)
191.00,-78.48770750712687,(-0.00011414097013783771+3.3723170110290575e-05j)
192.00,-61.459110751593826,(-0.00046023663821166525+0.0007091014567994095j)
193.00,-69.64090719977332,(2.9994555204314338e-05+0.0003282075517021548j)
194.00,-65.48201776633493,(-3.781230758313135e-05+0.0005306391531255007j)
195.00,-68.25143826482565,(0.0002240318612212803+0.0003152518798181317j)
196.00,-68.7166846605919,(0.0002275402989898465+0.0002874099028606613j)
197.00,-66.62586967610241,(0.0003221379687723248+0.0003372002050817662j)
198.00,-67.12697459023362,(0.000435876449553782+6.155371939368422e-05j)
199.00,-68.00372730241551,(0.00036151887588189736+0.0001663053144559697j)
200.00,-67.4909171655594,(0.0004210653879001626+3.0069563258311306e-05j)
201.00,-66.83766760763935,(0.00041730440298510965-0.0001816105106786073j)
202.00,-70.0155813599238,(0.00013342935497713665+0.0002860742490764783j)
203.00,-66.73039731768759,(0.0003968829345582018-0.0002340704139308471j)
204.00,-66.66847885324427,(0.000316226539625405-0.00033963857996335963j)
205.00,-70.08122054282113,(0.00011013932584432457-0.00029328575826440895j)
206.00,-68.42584348673998,(0.000278627811094002-0.00025700766280150293j)
207.00,-66.30724949504446,(0.0001405361553183508-0.00046290548143988823j)
208.00,-47.790175971312635,(-4.5495737303199885e-06-0.004078410452904141j)
209.00,-61.35267833636551,(-0.0008554987735661379-2.2239174186390113e-05j)
210.00,-64.91530702115463,(1.8054350632161313e-05-0.0005675642481961902j)
