Freq_kHz,TS,f_bs
1.00,-58.21194216396528,(0.0012285624937019126+6.260726583407138e-06j)
2.00,-37.14423577514884,(0.013798740103613689+0.0016134638975145675j)
3.00,-36.68842865946458,(-0.014386061363641265+0.0027217357470786575j)
4.00,-41.448006153013424,(-0.008374151809897822+0.001233210523471595j)
5.00,-43.09799690734529,(-0.00691703413960417+0.0010747631760506544j)
6.00,-43.95037937998855,(-0.006253304690388902+0.0010790579603301253j)
7.00,-44.41678198853186,(-0.005906566685545936+0.0011314794417802577j)
8.00,-43.7333345089658,(-0.006395572882374946+0.001195169162890248j)
9.00,-46.57273934606704,(-0.004521033476307696+0.0012552410878933285j)
10.00,-46.55747470183716,(-0.004506043762516719+0.0013373330137821183j)
11.00,-46.904504031956264,(-0.004291937842650383+0.0014055195777152424j)
12.00,-47.356469840038635,(-0.004031781912401489+0.0014577559478680618j)
13.00,-47.981009198478844,(-0.0037129292400487858+0.0014603233338029763j)
14.00,-45.15735815830341,(-0.004592104643148953+0.003067583907122358j)
15.00,-48.27967867290512,(-0.003412216463369943+0.0017936651552447895j)
16.00,-48.92749755046583,(-0.0031012257477448916+0.0017842606183626295j)
17.00,-49.491911760807696,(-0.0028290539829612885+0.001799320396309637j)
18.00,-49.980675126628924,(-0.0025959708249837996+0.0018181121494757503j)
19.00,-49.88131801804177,(-0.0026047530307230296+0.0018687710479489508j)
20.00,-52.76608484309808,(-0.0015399130687962818+0.0017081821713951476j)
21.00,-52.774030111155014,(-0.001499334615793262+0.0017411337405901313j)
22.00,-53.364928763135566,(-0.001281491752106518+0.0017221272192180757j)
23.00,-54.05265379702672,(-0.0010436881505626024+0.001686360492008161j)
24.00,-54.77120191005267,(-0.0008083473076359269+0.0016370449376516152j)
25.00,-58.5276475191603,(0.0003661307051891269+0.0011267307093837762j)
26.00,-56.174850681249765,(-0.00032877399050200044+0.001518114669513881j)
27.00,-56.80163630396944,(-0.00012070760287964433+0.001440117621428746j)
28.00,-57.335164423953046,(7.452867283287209e-05+0.0013570248119994855j)
29.00,-57.74046005422527,(0.0002447659116394857+0.0012738074701426595j)
30.00,-57.9016102514598,(0.0003125566720610995+0.0012343083935519282j)
31.00,-58.20202434867032,(0.0008159501520398728+0.0009203701732161742j)
32.00,-58.25358171422009,(0.0008506269535625415+0.0008783142802747904j)
33.00,-58.17023829154554,(0.0009617401223157638+0.0007739670991024647j)
34.00,-58.009455925512924,(0.0010708030460538942+0.0006594141213877664j)
35.00,-57.76873647219834,(0.001172880919768218+0.0005439919272323408j)
36.00,-53.318104924509086,(0.0018326996530714022+0.001139782864799712j)
37.00,-57.65479937633031,(0.0012810662204216208+0.000273642684606999j)
