Freq_kHz,TS,f_bs
1.00,-28.477582694231355,(-0.03720866978343223+0.005946636807816555j)
2.00,-41.961242007533414,(-0.00796091160571905+0.0005340691375767219j)
3.00,-43.15940213898163,(-0.006923947876405597+0.000609488620868406j)
4.00,-43.556731584121394,(-0.006598094202351428+0.0007441821212853919j)
5.00,-43.749636628484666,(-0.006432297753252899+0.0008937138314974854j)
6.00,-43.86798782457083,(-0.006319721244554549+0.0010490680106284341j)
7.00,-43.953824312968706,(-0.00622729752170421+0.001207071719917086j)
8.00,-44.02316680179208,(-0.006142661159999793+0.0013662473819421976j)
9.00,-44.05647028353166,(-0.006080110238254798+0.0015260006918800175j)
10.00,-44.1612526449633,(-0.005960024441115361+0.0016845674386724273j)
11.00,-44.21818371065213,(-0.005870584022646669+0.0018429140219030718j)
12.00,-44.27853400566348,(-0.005773931545132584+0.0019998329339766144j)
13.00,-44.34187255673331,(-0.005670530068336834+0.002154557224746635j)
14.00,-44.411524695320864,(-0.005558540726238562+0.0023052569609681808j)
15.00,-44.50527825307862,(-0.005428306384002583+0.002443712794834272j)
16.00,-41.613737290509675,(-0.007046174742862566+0.00439500049236958j)
17.00,-44.48572341630442,(-0.005264474668838855+0.0028077527109119345j)
18.00,-44.57668300782353,(-0.005119933068425895+0.0029405155754329243j)
19.00,-44.645140794191825,(-0.004982487660273747+0.0030805792007110714j)
20.00,-44.70693919144062,(-0.004843562249851919+0.0032202830294585337j)
21.00,-44.764725331116246,(-0.004701857316483002+0.003357930841791266j)
22.00,-44.816493454667274,(-0.004559056748880817+0.0034932215225224822j)
23.00,-44.89042950242105,(-0.0043952727498496515+0.0036210953784516896j)
24.00,-44.933011916190715,(-0.004248736543723665+0.0037500084717095547j)
25.00,-44.98096724677865,(-0.0040936200935565055+0.0038734920409966705j)
26.00,-45.027401800278525,(-0.003935172627378994+0.003992279710205125j)
27.00,-45.071934908646405,(-0.0037743792673294338+0.004105772034706459j)
28.00,-45.11683009342029,(-0.003611831779994936+0.004211662368281623j)
29.00,-45.250911203561735,(-0.0034174993151651453+0.004262424377621369j)
30.00,-44.99241953472951,(-0.003429127930463435+0.004463082224143441j)
31.00,-45.36913010185498,(-0.0029516378050334882+0.004509310168376725j)
32.00,-45.320532926840045,(-0.002854677986100558+0.004606919308926497j)
33.00,-45.33752493712888,(-0.0026925831125004882+0.004691288690761478j)
34.00,-45.363239272049995,(-0.002518230357748236+0.004769065419559142j)
35.00,-45.33777605077126,(-0.002406174701569757+0.004844256910267381j)
36.00,-45.43057767721984,(-0.0021537597659773565+0.004898906922348045j)
37.00,-45.44474091870997,(-0.0019795494630142204+0.004962470339001669j)
38.00,-45.466898386530715,(-0.0017997921798827746+0.005015995741737131j)
39.00,-45.47757949402538,(-0.0016334189307017745+0.005065732670873225j)
40.00,-45.59674653020614,(-0.0013298719350191464+0.005078815649785634j)
41.00,-45.5774141404605,(-0.0012021407738285433+0.005122572960675785j)
42.00,-45.63642407668466,(-0.001006639144177798+0.00512824870271226j)
43.00,-45.59080351607846,(-0.0008451783802816823+0.005185204433578248j)
44.00,-45.62500236709566,(-0.0006509826503395757+0.005192340802183047j)
45.00,-45.645812870001016,(-0.0004805804161490933+0.005198299565573685j)
46.00,-45.67311799703841,(-0.00028401672070094597+0.00519632563544484j)
47.00,-45.69715611799978,(-9.565602182086337e-05+0.0051888176554007685j)
48.00,-45.71848227033664,(9.088420657187775e-05+0.005176175020176279j)
49.00,-45.75415762038007,(0.0003089339127432879+0.00514648916953911j)
50.00,-45.80002848405503,(0.0005034086148980266+0.005103830637343203j)
51.00,-45.80479111712072,(0.0006471736811581884+0.005084765987480391j)
52.00,-45.827163841012066,(0.0008263279747012753+0.005045380055702089j)
53.00,-45.85120068704338,(0.0010049128222577185+0.004998455583994645j)
54.00,-45.874600732750764,(0.0011881723950651847+0.0049439833729393815j)
55.00,-45.90689736536284,(0.00140710494424434+0.004866541222131465j)
56.00,-45.914151799897326,(0.0015181802729246842+0.004828608971365623j)
57.00,-45.94079469529355,(0.0016910601560394423+0.0047543620155097235j)
58.00,-45.96037646852569,(0.0018660944749389786+0.004676192920796478j)
59.00,-45.99933020353551,(0.002004008550093406+0.0045942015993416414j)
60.00,-46.02920422983429,(0.0021517994485712026+0.004507801874353115j)
61.00,-46.08204184596566,(0.0022957535420053835+0.004402081056552716j)
62.00,-45.9732263064099,(0.0025867659141949+0.00431078174862946j)
63.00,-46.06659798093445,(0.0026521332332750235+0.004207469601493117j)
64.00,-46.07485441477614,(0.0028101771065057843+0.00409786936307584j)
65.00,-46.09806899087257,(0.002947840335045475+0.003983496372093291j)
66.00,-45.04749529302936,(0.0034027155101897908+0.00443850820302818j)
67.00,-46.16436201250049,(0.003191044519394053+0.0037420877815124453j)
68.00,-46.20779432040954,(0.003309270607773311+0.0036047252022743297j)
69.00,-46.19948053140683,(0.0034399086166822484+0.003486864976485577j)
70.00,-46.24059559129121,(0.0035432940298791445+0.003348165305011908j)
71.00,-46.192230851107354,(0.0036975774804946446+0.003218571328714207j)
