Freq_kHz,TS,f_bs
1.00,-55.51567950801765,(0.001675735634841481+1.1663552308424471e-05j)
2.00,-32.112432514917735,(0.024257187335571365+0.005140162130097087j)
3.00,-36.35402923600764,(-0.014930705537920124+0.0029323364187679246j)
4.00,-40.25945004790985,(-0.009571417417753966+0.001608992317802138j)
5.00,-41.65591340215062,(-0.008133117511929105+0.0014664601805732575j)
6.00,-42.08708387887566,(-0.007720245719129868+0.001496982771991665j)
7.00,-43.98743316213029,(-0.006125319945185886+0.0015513015808652226j)
8.00,-44.02046082673852,(-0.006072970777026029+0.00165608716932642j)
9.00,-44.44932474228217,(-0.005736292227275539+0.001729949721112287j)
10.00,-45.26098329675554,(-0.005193288836634083+0.00167576024093008j)
11.00,-43.52822079124603,(-0.006089821328867742+0.0027005773395739176j)
12.00,-44.874468193530454,(-0.005212491957028513+0.002319502439699889j)
13.00,-45.377427106658686,(-0.004846442208206489+0.0023457629109886217j)
14.00,-45.65870297782485,(-0.004621124433290831+0.00241199409794437j)
15.00,-48.47346692989796,(-0.0030651686807446578+0.0021946933841837314j)
16.00,-47.36863733946539,(-0.0035342080729121143+0.0024162507257095133j)
17.00,-47.79182377621899,(-0.003265334031960777+0.002442280961509227j)
18.00,-48.3651588299613,(-0.002946196805500242+0.002427086429727169j)
19.00,-47.05787498928495,(-0.0028762172844685077+0.003378737676814317j)
20.00,-49.29748105276285,(-0.0023539545325774788+0.002492928016721511j)
21.00,-49.95752213156624,(-0.0020421977752706454+0.0024346903387790293j)
22.00,-50.520553908534154,(-0.001777132425573081+0.002390026994958148j)
23.00,-47.77285997232539,(-0.0029810295026078282+0.0027952402737168036j)
24.00,-52.80166342219637,(-0.0009141194110495182+0.002100107279961644j)
25.00,-53.394413661619964,(-0.0006927129035841778+0.00202408350783586j)
26.00,-54.14537093707652,(-0.00043766341308329606+0.0019127127421498195j)
27.00,-54.93001054414126,(-0.00020371645753051947+0.0017810537165409927j)
28.00,-55.65278044183627,(6.843133242465772e-05+0.001648112826779432j)
29.00,-56.3122798722911,(0.00028863725971984384+0.001501432082110554j)
30.00,-56.83075513227731,(0.0004826300132564845+0.0013570633891687106j)
31.00,-57.023119519697914,(0.0005311380222518259+0.0013048222970845245j)
32.00,-57.38046919161465,(0.0010188534009136524+0.0008887296972585727j)
33.00,-57.35796913464168,(0.0011193920314989958+0.0007644336684484333j)
34.00,-57.167228593963976,(0.0012488970596874667+0.0006001246909180794j)
35.00,-56.801880714644895,(0.0013782449076533644+0.00043454865138365805j)
36.00,-56.73985879307584,(0.0014347912397616044+0.00024454879118208277j)
37.00,-56.323894152370386,(0.0015247095740331493+8.140879796383969e-05j)
38.00,-56.00878151274227,(0.0015814184390858437-7.699483036219078e-05j)
39.00,-55.87694878205704,(0.001594810484943361-0.00020162976192349298j)
40.00,-54.85220786751779,(0.0017351119976969837-0.0005110084066033642j)
41.00,-54.94306314221789,(0.0016900847432511973-0.0005895949915120706j)
42.00,-54.80814627853286,(0.0016711779867321676-0.0007157303831182251j)
43.00,-54.63004920187064,(0.001654212887599805-0.0008408567169470713j)
44.00,-55.24223680565612,(0.0014678805606085144-0.0009143579969833946j)
45.00,-54.88027540515788,(0.001477082844141178-0.001033872864445539j)
46.00,-54.923709803009245,(0.0014020796992679232-0.001119147444218804j)
47.00,-55.086230894049926,(0.001304469735111198-0.0011825681077763518j)
48.00,-54.70258363689823,(0.0012265914041387834-0.0013718235635244499j)
49.00,-55.44540063348322,(0.0010637459806433758-0.0013124342677928308j)
50.00,-56.04273775580559,(0.0008527385209910229-0.001326697355409481j)
51.00,-48.905976471837285,(0.0028249898567413883-0.002210025335855242j)
52.00,-45.94826888538084,(0.0004667248034540329+0.00502016189458033j)
53.00,-55.95985521920536,(0.000836110593805199-0.0013550395641610375j)
54.00,-57.93412434106806,(0.00012891277288808742-0.0012619422669205033j)
55.00,-57.82213110936509,(0.00024659399010849625-0.0012610879324830417j)
56.00,-58.32333786937845,(0.00015330195483117748-0.0012031956899998305j)
57.00,-58.67645624156644,(3.0021600081713367e-05-0.0011642140590724518j)
58.00,-59.18686122186122,(-7.054192704768871e-05-0.001095869977585007j)
59.00,-59.54872350607273,(4.9107421213009915e-05-0.001052183129023955j)
60.00,-59.49853502664369,(-0.0004482983379269932-0.0009599091626385655j)
61.00,-60.14353563113197,(-0.0006205338003375085-0.0007631695066111826j)
62.00,-59.96009347071029,(-0.000736779372541216-0.0006829255603191548j)
63.00,-60.50577075390659,(-0.0007481428690830408-0.0005747605665017849j)
64.00,-60.41040159907625,(-0.000829070210171935-0.00047166908101711524j)
65.00,-62.11131394997061,(-0.0006794602812748256-0.0003915667330102742j)
66.00,-59.32235682126798,(-0.001059576514579675-0.00021485462801703687j)
67.00,-59.16414998806253,(-0.001095686220432717-0.00010817408451712981j)
68.00,-57.926359600174834,(-0.0012696141690395908-8.726931895911987e-06j)
69.00,-58.98415430444076,(-0.00111270409944542+0.00015942619545361475j)
70.00,-58.70924592856983,(-0.0011334350470924217+0.0002478286745624163j)
