Freq_kHz,TS,f_bs
1.00,-55.538078596391316,(0.0016714195597195927+1.1672441880223262e-05j)
2.00,-32.09387201546667,(0.024308144738226338+0.0051555546344701905j)
3.00,-36.270325007240515,(-0.015076980347772167+0.0029520878665617476j)
4.00,-40.09451547591807,(-0.009756839515166196+0.0016282794436233237j)
5.00,-41.42292364700975,(-0.008356480565659082+0.0014938046204567704j)
6.00,-42.04575099409469,(-0.007750546015956192+0.0015373920109048806j)
7.00,-42.542630267306066,(-0.007281306657182807+0.001633221661841275j)
8.00,-42.78352250379129,(-0.007044424924334998+0.0017482328404377473j)
9.00,-43.05233833060726,(-0.006790631950441057+0.001845445181894166j)
10.00,-43.71398647137289,(-0.006270590201893807+0.0017889916916084242j)
11.00,-41.22500867125298,(-0.00809031464597462+0.0031573719963834223j)
12.00,-42.44040557623535,(-0.007056738015938067+0.002685805547017161j)
13.00,-42.64408711729206,(-0.006836794523014387+0.0027671803783369054j)
14.00,-42.71872762187293,(-0.00671289069572253+0.0028998617533177325j)
15.00,-42.927390331930475,(-0.006470596805091814+0.003015804850008355j)
16.00,-42.861721145292925,(-0.0064526808472334714+0.0031785348750828393j)
17.00,-42.9011658895644,(-0.006348105516011998+0.0033126920372098046j)
18.00,-43.027517491711286,(-0.006184201004110958+0.0033996803014949444j)
19.00,-39.36839236954475,(-0.008716259975997799+0.006299272977671272j)
20.00,-42.5403320161067,(-0.006336448700384488+0.0039450897663215285j)
21.00,-42.63461307737346,(-0.006186935774953622+0.004029847662814931j)
22.00,-42.65441351112529,(-0.006087026447896393+0.004149453275034964j)
23.00,-42.40746408474795,(-0.006221046788539132+0.004329406015553141j)
24.00,-42.7303169255631,(-0.005849632640806849+0.004371658227404092j)
25.00,-42.73739851016444,(-0.005755761195680984+0.004484854805389917j)
26.00,-42.783396648559034,(-0.005634567373627753+0.0045753052080036915j)
27.00,-43.28053326543639,(-0.005223383512439627+0.004438457628324644j)
28.00,-42.54323985172201,(-0.00560459557497992+0.004926005743669984j)
29.00,-42.64033305641619,(-0.005447907215514191+0.004976584840539222j)
30.00,-42.67699014934266,(-0.005330478042240386+0.005057120672624658j)
31.00,-42.66089932500457,(-0.0052530053491585+0.0051570147759434914j)
32.00,-42.811246026860566,(-0.005046033634961573+0.0051848401940457365j)
33.00,-42.83352754546631,(-0.004937904110463906+0.005262533362523695j)
34.00,-42.88787455549511,(-0.004806907061098243+0.00532195201068938j)
35.00,-43.02859085017431,(-0.004620856084247984+0.005332686956809528j)
36.00,-42.803030220899736,(-0.004662312190950242+0.00554138847422089j)
37.00,-42.939251437798845,(-0.004478658869334297+0.0055467394496545915j)
38.00,-43.00989977360345,(-0.0043354193453781055+0.005586478907994532j)
39.00,-43.05443176283297,(-0.004210633142488717+0.005636049603916757j)
40.00,-43.23993446828179,(-0.003982624991343191+0.005618150256504692j)
41.00,-43.26761490033373,(-0.0038694828981766477+0.005670159382610738j)
42.00,-43.34365007140437,(-0.0037227781627424354+0.005696198752548668j)
43.00,-43.450385083100926,(-0.003558198454816985+0.005702702151183023j)
44.00,-43.314471762726896,(-0.0035282856096162324+0.005845435253392014j)
45.00,-43.51750182220758,(-0.003312890443286973+0.005789081740019773j)
46.00,-43.6090254130843,(-0.00316060365458345+0.005794095804535042j)
47.00,-43.67893356014953,(-0.0030256025061915163+0.005806126601177037j)
48.00,-43.994338875110714,(-0.002728680736152291+0.005693588190710129j)
49.00,-43.86811022742961,(-0.002745127457384111+0.0057881377740589745j)
50.00,-43.82022926074984,(-0.002771442820823611+0.005814836068314046j)
51.00,-47.607363588876844,(0.0011672299941192538+0.0039982674343450545j)
52.00,-40.75652133453929,(-0.0009395459187397947+0.009117593934564508j)
