Freq_kHz,TS,f_bs
1.00,-56.78779155549488,(0.0014474464495689344+8.739907345014283e-06j)
2.00,-34.52879834865355,(0.018541667987374638+0.002945323485138514j)
3.00,-36.50326762116229,(-0.0146902007642564+0.002811003002101641j)
4.00,-40.70386189020026,(-0.009110213267697538+0.0014290436202626195j)
5.00,-42.14840497880986,(-0.007702419000262442+0.0012840645119464168j)
6.00,-42.84429993080927,(-0.007087448205782756+0.0013100452224143653j)
7.00,-42.96140900743433,(-0.006974634797450535+0.001385830990341449j)
8.00,-43.88495252030776,(-0.00621982419706573+0.0014809487110511428j)
9.00,-44.05399262170458,(-0.006066511884345797+0.0015862778091776859j)
10.00,-44.29487985106039,(-0.005863233957407192+0.0016792375469637205j)
11.00,-44.689214685646064,(-0.005570209075920019+0.0017150626663379532j)
12.00,-65.37253143670151,(0.0005363326383752329+5.0797093466994515e-05j)
13.00,-43.921140731149194,(-0.005908586327469752+0.002372511610796009j)
14.00,-44.30756587430863,(-0.00560579808005164+0.002379891117650851j)
15.00,-44.50310765482671,(-0.005421503994257537+0.0024623674131949115j)
16.00,-44.60179307571696,(-0.005299665559416665+0.002563770114784918j)
17.00,-45.48065614862953,(-0.004664607911103692+0.002559506894311291j)
18.00,-45.15641486004136,(-0.004806478798875987+0.0027206400877698845j)
19.00,-45.281366092032044,(-0.004664536380390875+0.0028073278598701318j)
20.00,-45.460683707677134,(-0.004492688276093737+0.0028733056676236365j)
21.00,-45.82736199473639,(-0.004240429448947862+0.0028559137461498115j)
22.00,-45.25957510569731,(-0.004381119439727722+0.00325482272005445j)
23.00,-45.66978319181729,(-0.0041084513964994825+0.003197482831106866j)
24.00,-45.87459604270073,(-0.003924770602671045+0.003232789642067153j)
25.00,-46.03588279684143,(-0.0037638380460067377+0.0032780638226845367j)
26.00,-45.907013503273376,(-0.0037721799255637125+0.003381292671650286j)
27.00,-46.69441087554694,(-0.003266298281614103+0.0032769572023832413j)
28.00,-46.821575762552555,(-0.003131672411343999+0.0033139176705880608j)
29.00,-47.03168587848948,(-0.0029590476291333975+0.0033243972133072935j)
30.00,-47.290707971115005,(-0.002771911716723089+0.003313194845843886j)
31.00,-43.2175551243254,(-0.002758448353900708+0.006329367247679605j)
32.00,-47.62538773406646,(-0.002452420955744404+0.003355942303262686j)
33.00,-47.91917664177605,(-0.0022638763407505265+0.003319866015021452j)
34.00,-48.18818893053172,(-0.0020875983241638927+0.003289189040719959j)
35.00,-48.38845449346486,(-0.0019450540501659696+0.0032725586139515104j)
36.00,-49.354198884728774,(-0.0015073945617351371+0.003054672483093881j)
37.00,-49.319561770673374,(-0.0014633746551298366+0.0030910691813492916j)
38.00,-49.62048670549818,(-0.0012997875392821193+0.003037059865971343j)
39.00,-49.965862129216106,(-0.0011273528457567364+0.0029678259154943994j)
40.00,-50.36547510842148,(-0.0009513266587886282+0.002878867242297767j)
41.00,-50.63342878135863,(-0.0007905683229550409+0.002831581649043457j)
42.00,-51.0432336947543,(-0.0006221394291008884+0.0027345095315654488j)
43.00,-51.43227088020302,(-0.0004621234277296408+0.0026414334702675453j)
44.00,-51.793519609568044,(-0.00031764846108369343+0.002552626085214938j)
45.00,-51.509579000370124,(-0.00040892662314903465+0.00262614532882049j)
46.00,-52.88249116829132,(7.385004509932311e-05+0.002268011915136666j)
47.00,-53.21598683833311,(0.00018790729668193365+0.0021756390511405623j)
48.00,-53.60221641691092,(0.0003076762010781069+0.0020659783378617347j)
49.00,-54.00177725596308,(0.00040673206935339264+0.0019529495373303452j)
50.00,-54.41789241900402,(0.00043846007162603697+0.0018502988131581315j)
51.00,-51.780121881229704,(-0.0020487497030313023+0.001562008030339121j)
52.00,-54.3580105507312,(0.0011968051831980331+0.0014945608350471502j)
53.00,-54.73403000194277,(0.0011847007917401065+0.0013994565170717744j)
54.00,-54.22038777860293,(0.0014600276706242723+0.0012854598999757836j)
55.00,-55.55203042389712,(0.0012722695844484368+0.001079883791693262j)
56.00,-55.570777419007165,(0.001337022396659153+0.0009925698037191312j)
57.00,-55.90980265942284,(0.0013339296079035818+0.0008861333809330094j)
58.00,-54.95827169238676,(0.0016454975495366671+0.0006965242414028905j)
59.00,-55.042868513266676,(0.0016713503970171224+0.0005812097074953579j)
60.00,-54.77309331117466,(0.0017713524621015084+0.00044068192743339696j)
61.00,-56.59523708048789,(0.0014311606210393932+0.0003767512986995041j)
62.00,-55.38088482159898,(0.00168874283046905+0.0002118985659320468j)
63.00,-55.180160665557906,(0.001739405300798688+9.081931621071069e-05j)
64.00,-60.63127798732133,(0.0003457914150850788+0.0008632159182771991j)
65.00,-54.46670270548591,(0.0018786188165680327-0.00021501924687620017j)
66.00,-54.30296681094252,(0.0018988955404609358-0.0003271250565638426j)
67.00,-53.772630057944816,(0.0019964761813546037-0.00045730890522972513j)
68.00,-54.96410006532133,(0.0017083923820073283-0.000519539887931436j)
69.00,-54.506860110660924,(0.0017695328084358427-0.0006413168703345065j)
70.00,-54.22049919456456,(0.0017924240728140368-0.0007557822564026888j)
71.00,-54.242272595663685,(0.001752456830807097-0.0008330440139104132j)
72.00,-53.953534218300724,(0.0017623679297849534-0.0009580990086141185j)
73.00,-53.91528013446613,(0.0017291908224224232-0.0010341150191010124j)
