Freq_kHz,TS,f_bs
1.00,-50.185021661935885,(0.003095378903068505+3.935493953608985e-05j)
2.00,-20.212275532654658,(0.05554171551068451+0.08023770004196425j)
3.00,-35.055172784132694,(-0.01720566228653936+0.004025046999662847j)
4.00,-36.82559040841214,(-0.014161154912051839+0.002676532421601852j)
5.00,-42.08742527049502,(-0.007490923958492149+0.0023925610621201854j)
6.00,-43.475491068232344,(-0.006356554597625493+0.002124939169471278j)
7.00,-42.33854831724025,(-0.006825541601728866+0.0034316173884901954j)
8.00,-44.14928186799527,(-0.005471541415034974+0.0029202350470412066j)
9.00,-55.34697771464359,(0.0011197089547238927+0.0012906238162072906j)
10.00,-50.10945655338895,(-0.002037922919303723+0.0023660064801864504j)
11.00,-51.991547438880005,(-0.0013587140351114212+0.0021155996155115273j)
12.00,-53.7406655530806,(-0.0005134024547691764+0.0019905919660238238j)
13.00,-54.917537539332095,(-9.580123878349019e-05+0.0017926845193543346j)
14.00,-54.50860739644045,(0.0016487448528373827+0.0009070551950048688j)
15.00,-54.34161496048911,(0.0017691073175128483+0.0007417414452125509j)
16.00,-55.729682460072965,(0.0016270355113984266+0.00016111269570027193j)
17.00,-53.28444611250718,(0.002166591817448783-3.5886831287626204e-06j)
18.00,-53.90783143468899,(0.002014813516709889-8.360494777743884e-05j)
19.00,-51.76795993799506,(0.0024400803293804438-0.0008377740431036689j)
20.00,-51.807647535509474,(0.002346700322116522-0.0010432200620295587j)
21.00,-53.751737014878806,(0.001682746487049455-0.0011762835560199102j)
22.00,-53.88498299393744,(0.001539048779015997-0.0013111988347701714j)
23.00,-53.52117975091366,(0.0011029564254899263-0.0017968283534178723j)
24.00,-55.71410600480854,(0.0008297818751411735-0.0014121858398383957j)
25.00,-56.10097051410654,(0.0006485685137036998-0.0014260151851700343j)
26.00,-59.26912446133163,(-0.0001876819650879548-0.0010714735466620584j)
27.00,-59.62874033008626,(-0.0004874451251077754-0.0009228451836666048j)
28.00,-59.77998074410445,(-0.0007823551234130677-0.0006632397748378806j)
29.00,-58.994232419723005,(-0.0010302002609081076-0.00044641442761055207j)
30.00,-53.640267316788425,(0.0012306726551406708-0.0016763999861814935j)
