Freq_kHz,TS,f_bs
1.00,-58.24266431962599,(0.0012242245831211654+6.265595526835688e-06j)
2.00,-37.13062345211065,(0.01382010006247936+0.0016184048682792464j)
3.00,-36.602206298266395,(-0.014531161899625417+0.002740507623051056j)
4.00,-41.26356192415194,(-0.00855553137949449+0.001248397333444865j)
5.00,-42.79589536858789,(-0.007164505621837166+0.0010955499077845803j)
6.00,-43.528201122155245,(-0.006568782309513324+0.0011092077113086488j)
7.00,-43.94040877042377,(-0.006243537054849619+0.0011743020454936062j)
8.00,-44.16545092596578,(-0.00606073433989507+0.0012609893247865571j)
9.00,-44.42292691279124,(-0.005854363954343682+0.0013575934833143513j)
10.00,-44.55033249725187,(-0.005739726762827958+0.0014587799074915811j)
11.00,-44.67249777889169,(-0.005627964471755003+0.0015574625246086225j)
12.00,-44.8221928383563,(-0.005499849333596984+0.0016419470402441543j)
13.00,-45.170887366871604,(-0.005259048775199184+0.0016568173165844844j)
14.00,-40.316290614587174,(-0.008480164656225373+0.00458942530451545j)
15.00,-44.179764773610046,(-0.005744850512573534+0.0022788568292685238j)
16.00,-44.40652781196809,(-0.005558626564114064+0.0023140750854189584j)
17.00,-44.48918953756251,(-0.005457644951909365+0.0024049699998075526j)
18.00,-44.52811561766349,(-0.005380740946885927+0.0025099813709436353j)
19.00,-44.53245265595504,(-0.005324046755529272+0.0026213963649086543j)
20.00,-44.60216036668364,(-0.005218227385706792+0.0027251686388546133j)
21.00,-44.59689184745042,(-0.005162417129288944+0.0028368924061160893j)
22.00,-44.60644950441868,(-0.005094992789242933+0.0029433449456033062j)
23.00,-44.63184457914966,(-0.005017330545310202+0.0030408493558187824j)
24.00,-44.72671752308034,(-0.004902141211398916+0.003105738600327598j)
25.00,-34.75907039561725,(-0.00564873590286049+0.01738845492282707j)
26.00,-44.28417872794363,(-0.004995253969576085+0.0035123435426300583j)
27.00,-44.36907479531109,(-0.004879694373032011+0.0035715334677445683j)
28.00,-44.38663974896612,(-0.004798352359661866+0.0036599844545914437j)
29.00,-44.38577073334068,(-0.004725718796600734+0.003754269792144618j)
30.00,-44.36558797542876,(-0.004664219744761583+0.0038524918179981367j)
31.00,-44.41352895078438,(-0.004555287745068688+0.003929914826477636j)
32.00,-44.3911617195984,(-0.004492569027307198+0.004024747678334185j)
33.00,-44.38705188668603,(-0.004417321288696116+0.004111385193562583j)
34.00,-44.39456391923315,(-0.004334819500100747+0.004190778024820816j)
35.00,-44.43933807892747,(-0.004232063174587237+0.00425088911474109j)
36.00,-50.431533204607305,(-0.0010562322309002675+0.0028175348283703233j)
37.00,-44.20664590777317,(-0.004190619534340818+0.00451658195333734j)
38.00,-44.25861666755068,(-0.004081642192200477+0.004566119023239011j)
39.00,-44.274234334082564,(-0.003990822199902757+0.004631191996580567j)
40.00,-44.28056100740474,(-0.00390438045110964+0.004698511238735943j)
41.00,-44.27179193810537,(-0.003827022159036921+0.004769646450849069j)
42.00,-44.33626322432887,(-0.00370162442642591+0.0048106717114831015j)
43.00,-44.3262693463292,(-0.003623841753955608+0.004878241500460541j)
44.00,-44.335113650116476,(-0.0035341217499856594+0.004936023013635568j)
45.00,-44.351427762223665,(-0.0034402390409631277+0.0049880770651753665j)
46.00,-44.3877604978728,(-0.0033363501069256923+0.005027826788946863j)
47.00,-46.481842845625195,(-0.002028750919800359+0.004285460810101989j)
48.00,-44.266675170180896,(-0.003233981249517685+0.005194331128137412j)
49.00,-44.283996343308026,(-0.0031531318603427133+0.005229574061591507j)
50.00,-44.22828851831574,(-0.0031400412884487576+0.0052832037835171125j)
51.00,-43.63913684072675,(-0.0037477812533179716+0.005405008403085079j)
52.00,-44.86282438705555,(-0.0023019134119178285+0.00522864662037131j)
53.00,-44.711164522603326,(-0.0024001968925759063+0.005294948045099523j)
54.00,-44.66169587070805,(-0.002363502852152418+0.00534775160387125j)
55.00,-44.12526584839447,(-0.0027355999914557834+0.0055852780053297175j)
56.00,-44.65549833030377,(-0.0022185192450678783+0.00541401725070631j)
57.00,-44.67834440557613,(-0.0021262216522121625+0.005434425433317935j)
58.00,-45.97808192964276,(-0.0012847029334569593+0.0048575192807520495j)
59.00,-45.10319076428621,(-0.0013797431152001256+0.005382988684706249j)
60.00,-44.8336406904036,(-0.001656114267511798+0.00548770375857451j)
61.00,-44.83653219852832,(-0.0015805039836468673+0.005507971045536569j)
62.00,-44.86125948077748,(-0.0014712289661781021+0.005521304073407142j)
63.00,-44.8368243892652,(-0.0014348072517906632+0.005547509074932421j)
64.00,-44.932824416478574,(-0.0012657059358425096+0.005523920777358804j)
65.00,-44.939369372584764,(-0.0011756327088037007+0.005539425697228723j)
66.00,-44.926952451518375,(-0.001133037145544805+0.005556562890285195j)
67.00,-45.15013242895897,(-0.0007046754310118514+0.005481944194298972j)
68.00,-45.114949794133985,(-0.0007156774813584153+0.0055031413916306815j)
69.00,-46.306563799324465,(0.00035385126404346897+0.0048251087252350585j)
70.00,-45.121825409171244,(-0.0005183232534346208+0.005520813576118476j)
71.00,-45.13734363615589,(-0.0004738296309970063+0.00551487570643785j)
72.00,-45.18834406561936,(-0.0003240487429898129+0.005493238598701185j)
73.00,-45.22136141323797,(-0.00021264352135773803+0.005477784577606514j)
74.00,-45.23286030107585,(-0.00013611743412470314+0.005472965466098477j)
75.00,-45.44085977754673,(0.0003618031580623081+0.005332855451367991j)
76.00,-45.375892725317605,(0.00022574486021837892+0.00538051013261012j)
77.00,-45.404758788566994,(0.00032438456161454593+0.005357565228233072j)
78.00,-45.44156159927919,(0.0004416221317153157+0.005326406114051679j)
79.00,-45.47556708805576,(0.0008254147406986244+0.005259422561550744j)
80.00,-41.95815931246586,(0.0017570817473206064+0.007785834001672643j)
81.00,-45.52380608878007,(0.0007400596815499162+0.005242334636106078j)
82.00,-45.56576754892548,(0.0008564908007894045+0.005198717662888357j)
83.00,-45.592947121269304,(0.0009294591017859444+0.005169444594986455j)
