Freq_kHz,TS,f_bs
1.00,-53.918737503679715,(0.0020139456248640434+1.6951736093974647e-05j)
2.00,-28.663526741318147,(0.0350950514876315+0.011343584731547353j)
3.00,-35.88012729946825,(-0.015743796022527935+0.0032173493608351924j)
4.00,-39.31353523072046,(-0.01064793346830166+0.0019353732313993292j)
5.00,-40.53729327536172,(-0.009223699130074139+0.0018128483636083662j)
6.00,-41.149593717250035,(-0.008557240313970049+0.001875357606512844j)
7.00,-41.54486216769966,(-0.008132540949657248+0.0019821250402833174j)
8.00,-41.98934060992531,(-0.007686907746827189+0.002040156140741474j)
9.00,-47.917139227052914,(-0.003940742051248493+0.000790427236564567j)
10.00,-40.779299937589684,(-0.00859681729168099+0.003109421954709331j)
11.00,-41.17550587756511,(-0.008162776982678935+0.003107390294679821j)
12.00,-41.283218884266866,(-0.007988290581050985+0.0032565677829655662j)
13.00,-41.321808758983984,(-0.007871916355587667+0.003434039881622045j)
14.00,-41.34292321032683,(-0.007769100281524697+0.003611515550953591j)
15.00,-41.42228108471467,(-0.007617360791365778+0.0037481591546298823j)
16.00,-44.99363575993962,(-0.005040655292405769+0.002502188134124235j)
17.00,-40.76557197669085,(-0.007982971587221648+0.004484476563693113j)
18.00,-40.847349140367236,(-0.00782167771119963+0.004593019310811934j)
19.00,-40.825942739359384,(-0.0077467344215508+0.004761208547718556j)
20.00,-40.78489140964581,(-0.007687228048794161+0.004936878234787681j)
21.00,-40.74459930671138,(-0.007626329527793326+0.005107182133602265j)
22.00,-40.746808544016474,(-0.007527612538451042+0.005247515327680887j)
23.00,-45.58421538340747,(-0.003740457221145569+0.0036948007460538184j)
24.00,-40.325659270208895,(-0.007701677424948864+0.005784447181965977j)
25.00,-40.3376307194747,(-0.0075915517563278955+0.005906658930348558j)
26.00,-40.302934371632375,(-0.0075216951936215816+0.006056937852973727j)
27.00,-40.26319751240814,(-0.007454747323790651+0.006208573143097616j)
28.00,-40.22765204960322,(-0.007382494886993371+0.006355462556820933j)
29.00,-40.22255468482524,(-0.007280342629739019+0.006480832417520744j)
30.00,-34.72620065807847,(-0.010156321716118308+0.015285784836593576j)
31.00,-39.96038570707348,(-0.007303465600590311+0.006897515191433962j)
32.00,-39.9609392660981,(-0.007189936403224192+0.00701486122232042j)
33.00,-39.936506009830204,(-0.007097129934744378+0.007148670462518627j)
34.00,-39.910595637447585,(-0.007002924940529717+0.007282787197420126j)
35.00,-39.88738405113245,(-0.006903684555702659+0.00741391464536944j)
36.00,-39.88579631914142,(-0.0067813793615286175+0.007528440137652643j)
37.00,-38.73497132436095,(-0.007685850286100692+0.008645351956005583j)
38.00,-39.708346278549755,(-0.006692005701764167+0.007884368281622292j)
39.00,-39.70478208585899,(-0.006563615209289066+0.007997059718537643j)
40.00,-39.68475179291811,(-0.006448052388127223+0.008121048314572395j)
41.00,-39.66358671452562,(-0.006330808571020132+0.008244694189890678j)
42.00,-39.643178750909954,(-0.0062107500804917445+0.008365982049946251j)
43.00,-39.63862604472488,(-0.006073471676204252+0.00847289090512413j)
44.00,-39.12099907794291,(-0.006408909842197842+0.00901994046383931j)
45.00,-39.494168935249625,(-0.0059234375650862245+0.008790078616556174j)
46.00,-39.47979834763197,(-0.005792724772312964+0.008897714272446419j)
47.00,-39.44994512439758,(-0.0056783127228598315+0.009014392955105859j)
48.00,-39.41149288907619,(-0.005577431574908951+0.009132588947512501j)
49.00,-39.35083929041254,(-0.005517022598663+0.009256612758859856j)
50.00,-39.189993081644886,(-0.005660112807988042+0.009405684929957461j)
51.00,-39.95236675049212,(-0.0039748339090407946+0.009235990924473629j)
52.00,-39.50528119848339,(-0.00466277765192384+0.009503893459675153j)
53.00,-39.4162584321421,(-0.004640248230376794+0.009636100581438803j)
54.00,-39.34400408178075,(-0.004605252154679959+0.009751767819905145j)
55.00,-39.14383695422322,(-0.004829936675898324+0.009922853545327258j)
56.00,-39.48102810945804,(-0.00395294882027353+0.009852271826715634j)
57.00,-39.388063719402524,(-0.00396168797815167+0.009971779508552915j)
58.00,-39.173061914026384,(-0.004040251211270666+0.010229900418488903j)
59.00,-39.23880070758501,(-0.003834339566766866+0.010220320017318516j)
60.00,-38.9505349005282,(-0.004335511896435506+0.010418155331536031j)
61.00,-39.30721614518828,(-0.0032840915583091756+0.010320341163708068j)
62.00,-39.256015524158414,(-0.003202797679372861+0.010412867099814272j)
63.00,-39.225476500909004,(-0.0030744624479798355+0.010491468848868354j)
64.00,-39.20210457878774,(-0.0029430007633006487+0.010559684781684576j)
65.00,-38.82955199627551,(-0.003593069305400124+0.010863772413294318j)
66.00,-39.19213470981784,(-0.0024746645969022027+0.010692072389330148j)
67.00,-39.15950839797897,(-0.002355869593047094+0.01076115696875135j)
68.00,-39.13451529873184,(-0.002209602229138742+0.010824539769568304j)
69.00,-39.110575623206294,(-0.0020634549991467694+0.010884383717878691j)
70.00,-39.0182367699672,(-0.0021491961681054917+0.010988446706690488j)
71.00,-39.135927679255715,(-0.0015418690725247427+0.010937822281979448j)
72.00,-39.02719683920106,(-0.001506039346150777+0.011083251902357632j)
73.00,-39.04731646638607,(-0.0013003952731993917+0.011083201542618543j)
74.00,-39.03081182067494,(-0.0011312081878654073+0.01112307971392677j)
75.00,-38.994787780594336,(-0.001035655877079959+0.011179049141612267j)
76.00,-39.0381422088605,(-0.0005993358974324913+0.011154932492944672j)
77.00,-39.0052956713726,(-0.0004899717248855835+0.011202635958904741j)
78.00,-38.99424668278214,(-0.0003055269176253093+0.011223461194039946j)
79.00,-38.92120515989291,(-0.000203998260947575+0.011320594659897513j)
80.00,-38.9275431066637,(-1.0493090897333727e-05+0.011314168905528907j)
81.00,-38.98613810983778,(0.0006277658907605365+0.011220557883916222j)
82.00,-38.915397858873604,(0.0005089819339332009+0.011318566780457458j)
83.00,-38.893648627410734,(0.0008013290691331145+0.011330108814855511j)
84.00,-38.88473061272808,(0.0006779995943343298+0.011349846050611113j)
85.00,-38.87464335525251,(0.0009494673906224088+0.011343624733969609j)
86.00,-38.81219428720618,(0.001013971172642472+0.011420503942305888j)
87.00,-38.83149394807702,(0.0014567086319841407+0.011346857049427927j)
88.00,-38.27176045314854,(-0.0017903143545331744+0.012069404371329749j)
89.00,-38.803893771131264,(0.0017300426607697048+0.01134524075337819j)
90.00,-38.78921101480375,(0.0019303355755322+0.011332580210004106j)
91.00,-38.774076694725046,(0.0021152466615903007+0.011319922001578695j)
92.00,-38.79190051357919,(0.003245305731819011+0.011024506593643034j)
93.00,-38.736476290803225,(0.002461095749839585+0.01130093137416295j)
94.00,-38.72650931693742,(0.002709223719544595+0.011257686114327441j)
95.00,-38.713793404315666,(0.0028944441907093003+0.01122901258133992j)
96.00,-38.69694850184144,(0.003090099017919703+0.011200106797040768j)
97.00,-38.681044363999646,(0.0032847374983909286+0.011166774645299832j)
98.00,-38.6759567490974,(0.003548759508443019+0.011092856850717564j)
99.00,-38.66749731429395,(0.003692176337059848+0.011057914627946778j)
100.00,-38.63571981377095,(0.0038326888600975616+0.011055235932629614j)
101.00,-38.63335289093105,(0.004017593840989071+0.010992784941758238j)
102.00,-38.620583118162614,(0.004213171971028076+0.010937775445978489j)
103.00,-38.655781099416345,(0.004192051708789258+0.010895113163918316j)
104.00,-39.0105365698433,(0.003738216043280619+0.010564715799312726j)
105.00,-38.491913187672,(0.005086795568144444+0.01075367532222189j)
106.00,-38.52083313490503,(0.005137211623716838+0.010685824190182111j)
107.00,-38.5027195597744,(0.005258296318342633+0.010654372277492618j)
108.00,-38.5494440886523,(0.005280622748562852+0.010572120630003004j)
109.00,-38.40038356854642,(0.005857366573480287+0.010498688887164138j)
110.00,-38.44380521139148,(0.00585699227222204+0.010430196577222722j)
111.00,-38.44253522138758,(0.006024368864830899+0.01033644954686882j)
112.00,-38.44197627153147,(0.0061783016076363+0.010246083242407548j)
113.00,-38.51649912938971,(0.006152941673550252+0.010141964755354395j)
114.00,-38.3859729241889,(0.0065546884212666495+0.010101863560994106j)
115.00,-38.40442360749252,(0.006635848447545852+0.010018100557539381j)
116.00,-38.371412382153196,(0.0069091754119395546+0.009887460617287158j)
117.00,-38.37614772078014,(0.007050811148571415+0.009778859149420548j)
118.00,-38.71845402725184,(0.006547171689673883+0.00956341185699542j)
119.00,-38.30119338367909,(0.007476462858057145+0.009590240017557906j)
120.00,-38.32617366682393,(0.00756875086517806+0.009472914771225135j)
121.00,-38.34408736586396,(0.007609127159755371+0.009408405959588676j)
122.00,-38.307359460324506,(0.007874240618801365+0.00925509261093635j)
123.00,-38.13590373261404,(0.008372163143326112+0.009138566408542515j)
124.00,-38.254659982537405,(0.008247985639098428+0.009024069948112261j)
125.00,-38.25873866274351,(0.008365515205492642+0.008907354173493113j)
126.00,-38.25971846644018,(0.008495202587812525+0.008781836446761209j)
127.00,-38.28622959139706,(0.008572955068299819+0.008653612735280487j)
128.00,-38.046794911421095,(0.009166610946043985+0.008530182853294486j)
129.00,-38.19767190802131,(0.008992983275107778+0.008400210403607116j)
130.00,-38.195807416492855,(0.009120991991770399+0.008264975278747613j)
131.00,-38.19784583412591,(0.00924233238442909+0.008124685253799882j)
132.00,-38.20807025491077,(0.009342674296918535+0.007986837061292442j)
133.00,-38.08505394987574,(0.009677903439535519+0.007858357553755831j)
134.00,-38.13532488103534,(0.009725628710628655+0.007683692651989777j)
135.00,-38.13895341445463,(0.009807956845079801+0.007569852525886813j)
