Freq_kHz,TS,f_bs
1.00,-48.10104437317062,(0.003934498796025103+6.450838468569362e-05j)
1.25,-42.38631801668076,(0.007591800132174359+0.00030022749405784154j)
1.50,-36.29210969821307,(0.015254754101282207+0.0014634369127620283j)
1.75,-28.26068407965583,(0.03708450213367917+0.010830465910619858j)
2.00,-18.44003550125271,(-0.016681679132775365+0.11850520453051401j)
2.25,-26.49767599251422,(-0.0425139097246031+0.020796320086505442j)
2.50,-30.458181038574136,(-0.028534799261644143+0.009254168213117234j)
2.75,-32.595159869834234,(-0.022621194308056418+0.0061996158182611085j)
3.00,-33.94213767573956,(-0.019470440836175003+0.004934439579334758j)
3.25,-34.86302638344913,(-0.017548913375913428+0.004289052094172449j)
3.50,-35.48905432392475,(-0.016347224630877556+0.003913791359779327j)
3.75,-38.24141580302156,(-0.01218430529173881+0.0012092585523947477j)
4.00,-36.803500268127436,(-0.014016073288225002+0.0035087006471507293j)
4.25,-37.153805309540694,(-0.013455902365775945+0.0033944610962265967j)
4.50,-37.553933976236635,(-0.012843318922902568+0.0032683871069894115j)
4.75,-38.05053809817962,(-0.012128651856724295+0.0030905501196459902j)
5.00,-38.85523306458893,(-0.011070747354769369+0.0027565012862202335j)
5.25,-41.16049953868565,(-0.008545639177113934+0.0018769406297882234j)
5.50,-29.468141481528633,(0.029364336599587145+0.016371170963659698j)
5.75,-34.15189540795718,(-0.01801090859637611+0.007747976596728576j)
6.00,-35.71821585415869,(-0.015300258774083189+0.00582486057591107j)
6.25,-36.312526595957465,(-0.014328590583596012+0.0053328405883251795j)
6.50,-36.6362895395141,(-0.013801552453916236+0.00514517643569819j)
6.75,-36.83864681815845,(-0.013466709295469604+0.005072118638456946j)
7.00,-36.955274927279824,(-0.013267568442132956+0.005056012526613668j)
7.25,-36.79241400966649,(-0.013560710733197643+0.005040039868973073j)
7.50,-37.53993629825635,(-0.012310868249198437+0.0049641426303336095j)
7.75,-37.50240897545258,(-0.0123389760943051+0.005047672576104356j)
8.00,-37.57596582326591,(-0.012205665384217367+0.005076041095041429j)
8.25,-37.689291992512004,(-0.012018656737650065+0.005078926335397442j)
8.50,-37.86723451531175,(-0.011750483848471743+0.005033422903270706j)
8.75,-38.228091714526364,(-0.011260301987787194+0.004856527377518956j)
9.00,-39.64797378747964,(-0.009590018228770538+0.004058919126179288j)
9.25,-33.26728164622294,(-0.018452608521898357+0.011435622128570544j)
9.50,-36.30542869336056,(-0.01368191032257037+0.006850939005474316j)
9.75,-36.77278014606352,(-0.012985397601220743+0.006451562783801949j)
10.00,-36.9646499122577,(-0.01268264724734496+0.006348810389637709j)
10.25,-37.066883242846934,(-0.012505335556557414+0.006331947832931767j)
10.50,-37.121445699368465,(-0.012395617862326269+0.006353947373455579j)
10.75,-37.11932692471049,(-0.012371904722972447+0.006407389774326935j)
11.00,-36.42217329149757,(-0.013677707660501597+0.006390652258030144j)
11.25,-37.51788397180741,(-0.011712675915994173+0.006317466689327018j)
11.50,-37.46621265473188,(-0.011751167175271988+0.006413023984205168j)
11.75,-37.487473139087946,(-0.011688153057106666+0.006459774717125896j)
12.00,-37.53801208234722,(-0.011585452004078234+0.006485027121488772j)
12.25,-37.62926653491004,(-0.01142991602320734+0.006478422527782511j)
12.50,-37.83004237015254,(-0.011135231993556925+0.0063891501507087126j)
12.75,-38.72873549040453,(-0.00998924220837153+0.005849933426907102j)
13.00,-35.69204587030424,(-0.01395127670868578+0.008660760158267417j)
13.25,-36.8520744677465,(-0.012304766147029862+0.007418363260347368j)
13.50,-37.0743848599744,(-0.011969864871718552+0.007270504229078181j)
13.75,-37.172369488163554,(-0.01180335918329192+0.00724174930784988j)
14.00,-37.22664322246202,(-0.011696129592091634+0.007251291970416641j)
14.25,-37.25237377748949,(-0.011628755974002192+0.007282445648388252j)
14.50,-37.22492261767253,(-0.01163980060340096+0.00734648004348415j)
14.75,-35.85942592357589,(-0.014360760205693162+0.007295258474347284j)
15.00,-37.625689473526116,(-0.011008886444663933+0.0071805006095923786j)
15.25,-37.57426912076467,(-0.01104426029547281+0.00726891035384157j)
15.50,-37.59031571239227,(-0.010989863106188045+0.007306910055598757j)
15.75,-37.630324747805744,(-0.010903753702460944+0.007326598102907844j)
16.00,-37.69682425466825,(-0.010783630947942989+0.007325428111292051j)
16.25,-37.82735795128608,(-0.010582490874258854+0.007275123586911124j)
16.50,-38.35691806004871,(-0.009881014666427648+0.006953454943304765j)
16.75,-36.68191109722726,(-0.01196393797318054+0.008458885380046573j)
17.00,-37.33854437606119,(-0.01109346181428787+0.007842097716935432j)
17.25,-37.48297508113269,(-0.010874218117955267+0.007763877805217463j)
17.50,-37.557997285371584,(-0.010743545039283051+0.007748882992753108j)
17.75,-37.60691372730366,(-0.010646683561041516+0.007755758109879905j)
18.00,-37.63438358291295,(-0.010578650856148888+0.007778291871981292j)
18.25,-37.60928822078185,(-0.010584277826048004+0.007834658950934407j)
18.50,-36.05450329173111,(-0.013473569956797226+0.008155910448905138j)
18.75,-38.056355779191065,(-0.009923020815041537+0.007614436482279308j)
19.00,-38.00838147201769,(-0.009950320517096916+0.007692520162023755j)
19.25,-38.031765063155504,(-0.009887543145325852+0.007718213527385049j)
19.50,-38.076998443333665,(-0.009797382005481015+0.00772757686721831j)
19.75,-38.14109748795542,(-0.009684598571345696+0.007722141737151163j)
20.00,-38.2442610137793,(-0.00952617396746402+0.007685923885240837j)
20.25,-38.568556134825,(-0.00910874745932171+0.007488137365397274j)
20.50,-37.54946224472873,(-0.01023509550689648+0.008429528444572652j)
20.75,-38.02540415263213,(-0.009660637682643145+0.008014799949429718j)
21.00,-38.14447569808575,(-0.009485680678847228+0.007957731407568688j)
21.25,-38.21813842181507,(-0.009363030279198905+0.007940967465812139j)
21.50,-38.27361306416019,(-0.009262156695754472+0.007938810170242106j)
21.75,-38.31108892195458,(-0.009184037631668774+0.007949032006023362j)
22.00,-38.29884256223694,(-0.009171005873671442+0.007990176158083461j)
22.25,-37.194214504500096,(-0.01091329979314206+0.008467583264756934j)
22.50,-38.792993161609786,(-0.008495612068758658+0.007737125212325917j)
22.75,-38.74542206089946,(-0.0085181184109308+0.007806051743275773j)
23.00,-38.77814675290936,(-0.00844698996353976+0.007819145683502777j)
23.25,-38.83242990026303,(-0.008351090063131115+0.007816921269549004j)
23.50,-38.90159045259266,(-0.008239209749701512+0.007803410077972183j)
23.75,-38.996107602247406,(-0.00810131105042585+0.007770082572408261j)
24.00,-39.214789304022176,(-0.007835129477763703+0.007643851852744578j)
24.25,-38.53403345422249,(-0.00846778044456891+0.008273321023565068j)
24.50,-38.94331529903472,(-0.008029252369598313+0.007942139774476208j)
24.75,-39.056378847319024,(-0.00787567722119869+0.007889392331527103j)
25.00,-39.136467805883534,(-0.007755744534858893+0.007864258993614535j)
25.25,-39.202737014410395,(-0.007651010595550406+0.007849377999995279j)
25.50,-39.25332163605865,(-0.007564577820898544+0.007844521596773294j)
25.75,-39.258333641812555,(-0.007532066129717621+0.007867042678080442j)
26.00,-38.56479176658159,(-0.008439176672617489+0.008242714897873777j)
26.25,-39.80934467199782,(-0.006865894848023085+0.007572798382194363j)
26.50,-39.75601182545948,(-0.006890487460828175+0.007635445420875746j)
26.75,-39.799371786113866,(-0.006815290266967053+0.007634122173432011j)
27.00,-39.865701070889486,(-0.006716870950143751+0.007617368410207936j)
27.25,-39.94504703432084,(-0.00660637759443863+0.007591386774443882j)
27.50,-40.041707573164274,(-0.006480810501469958+0.007552704120944779j)
27.75,-40.207356940112156,(-0.00629403329144559+0.00746476824259188j)
28.00,-39.72398838385025,(-0.006656518123495114+0.00789002355569938j)
28.25,-40.119170583912876,(-0.006292841084655757+0.007595620631153454j)
28.50,-40.23655224899939,(-0.006153545659440445+0.007538749305280204j)
28.75,-40.32926866235657,(-0.006036481468524764+0.007500632149499628j)
29.00,-40.41121102981953,(-0.005930364488800953+0.007469721206716368j)
29.25,-40.479175106984684,(-0.0058390132573512155+0.00744710741072401j)
29.50,-40.505064162971,(-0.00579120163479709+0.00744870540500572j)
29.75,-40.053869064740944,(-0.006274206352292874+0.007707244294311914j)
30.00,-41.146857770711506,(-0.005135426625524642+0.007100639613776132j)
30.25,-41.07722294806089,(-0.005171428797581462+0.007161649016416234j)
30.50,-41.13408609397261,(-0.005095849852725855+0.007144939764091136j)
30.75,-41.21741017894667,(-0.004997463328542677+0.007111935374003513j)
31.00,-41.313411594534635,(-0.004889243327969931+0.0070709087397326014j)
31.25,-41.42202129788312,(-0.004772166943524285+0.007021653404384543j)
31.50,-41.56795679905345,(-0.004628074136913363+0.006948119364458277j)
31.75,-41.19386510813476,(-0.004832324977045543+0.007253525077342223j)
32.00,-41.6228921448561,(-0.004516234809403294+0.006958664230303195j)
32.25,-41.75298902838498,(-0.0043887349537196025+0.0068940129366366525j)
32.50,-41.86495795411662,(-0.004275445029082623+0.0068417147728813j)
32.75,-41.968507815054004,(-0.0041700980488422025+0.006794498393926545j)
33.00,-42.05934915517656,(-0.004076789507058353+0.006754194436215528j)
33.25,-42.11099182881454,(-0.004018544489291442+0.006734607623042978j)
33.50,-41.813216596085695,(-0.004282938180700764+0.006893839751294839j)
33.75,-42.88441715851995,(-0.0033658285395323333+0.00633574668342433j)
34.00,-42.781163004804206,(-0.0034248767987527452+0.006401491089196939j)
34.25,-42.85415815715134,(-0.0033525571020599637+0.006371084364311367j)
34.50,-42.959014204884355,(-0.003256994850449888+0.006323443179629677j)
34.75,-43.07719530677925,(-0.0031528728688768903+0.006268582984797241j)
35.00,-43.20539171408301,(-0.0030433624064273644+0.006208185726259203j)
35.25,-43.353567248003074,(-0.0029232581385313723+0.006136342567935764j)
35.50,-42.921719645385835,(-0.0030443273286849286+0.006462380444278084j)
35.75,-43.52589050807403,(-0.0027555261795707+0.006067119250572908j)
36.00,-43.67431292925506,(-0.0026400208411488835+0.005995106090242988j)
36.25,-43.80993205160628,(-0.0025330606391699645+0.005930878145255698j)
36.50,-43.93894905882958,(-0.0024319937363405024+0.005870239746822493j)
36.75,-44.05644221656683,(-0.0023408159700976884+0.005815260370370288j)
37.00,-44.13829250568705,(-0.0022775496423371863+0.005777175956859275j)
37.25,-43.95954427439957,(-0.002418270788184885+0.005859630012282413j)
37.50,-45.06854996956556,(-0.0016284827545632599+0.005336253224850349j)
37.75,-44.906722776378345,(-0.0017242576788546566+0.00541629470796677j)
38.00,-44.996104554961306,(-0.0016598567551078575+0.005375502695055426j)
38.25,-45.12338465113046,(-0.0015715950558979875+0.005316680643860778j)
38.50,-45.264722700502844,(-0.0014756392062558173+0.005251217115472544j)
38.75,-45.414405283941896,(-0.001376193753693754+0.005181785666008081j)
39.00,-45.57455300754409,(-0.0012732876273900066+0.005107140127197709j)
39.25,-46.12141945738784,(-0.0008228619024164582+0.004873317038803856j)
39.50,-45.83953413746543,(-0.001090574419042937+0.004987482198107052j)
39.75,-46.00506614376187,(-0.000989677895093388+0.004910205427198979j)
40.00,-46.16220606357777,(-0.0008935574719159584+0.004837308203603345j)
40.25,-46.31406242156636,(-0.000801977452044246+0.004766900159609822j)
40.50,-46.45579629210278,(-0.0007185267538332791+0.004701059196145954j)
40.75,-46.567553758931545,(-0.0006568353347359486+0.0046486819470423065j)
41.00,-46.49576315820214,(-0.0007256889767074445+0.004677866802104978j)
41.25,-47.61899310292971,(-1.2625192001415913e-05+0.0041595691101796225j)
41.50,-47.37952944004767,(-0.0001640907143401634+0.004272710762584948j)
41.75,-47.480172408355095,(-0.00011276750035388403+0.004225097637316248j)
42.00,-47.62103117677686,(-3.711125621658934e-05+0.004158446778110226j)
42.25,-47.77459590850951,(4.5556737612894404e-05+0.004085481099408883j)
42.50,-47.933780115545225,(0.0001306508925335389+0.0040094106393713256j)
42.75,-48.09690008375145,(0.00021651119007939506+0.003930947495938783j)
43.00,-48.298191405566826,(0.00030858503579108754+0.0038343213352662058j)
43.25,-48.40367504248108,(0.00038419434968519874+0.0037808155376607006j)
43.50,-48.566763773593095,(0.00046710852891453206+0.0037002293558450385j)
43.75,-48.72401972378225,(0.0005473530848158976+0.003621551001558606j)
44.00,-48.876094472666274,(0.0006238161023063557+0.003544637580307478j)
44.25,-49.019756226455996,(0.0006934526438983502+0.0034714893921280513j)
44.50,-49.143871802670915,(0.0007461672580437588+0.0034091447276027058j)
44.75,-49.17450672786542,(0.0007140017824205973+0.003403472752743127j)
45.00,-49.98438934552272,(0.00140728416976743+0.0028382319857501396j)
45.25,-49.784580187588496,(0.001160802285459557+0.0030267256837560328j)
45.50,-49.879362800171194,(0.0011929475795774702+0.0029763312108755107j)
45.75,-49.99837687476153,(0.001249627815795477+0.002905540983097182j)
46.00,-50.12161691502625,(0.00131238804882527+0.002828690315520131j)
46.25,-50.244038187910505,(0.001376523021307862+0.0027493202259567034j)
46.50,-50.363791644664175,(0.001440107573077546+0.0026688112221932596j)
46.75,-50.48035176525873,(0.0015013293194063282+0.002588229653925181j)
47.00,-50.59291705541022,(0.0015627135785720274+0.002506347617066399j)
47.25,-50.702429585282154,(0.0016191385317275392+0.0024259040756694824j)
47.50,-50.8095368389662,(0.0016715023471095877+0.002346374359512462j)
47.75,-50.9157920938506,(0.0017179885665764944+0.002268770031590667j)
48.00,-51.024074469484624,(0.001755300030794063+0.0021950611749395233j)
48.25,-51.14034934887225,(0.0017747254261970382+0.00213097052926561j)
48.50,-51.28436949941758,(0.0017309184685475165+0.002108020850602663j)
48.75,-50.91282106994793,(0.0024907029344139946+0.001378674500514636j)
49.00,-51.48083742734063,(0.001988998231580295+0.001776133414945245j)
49.25,-51.73757777729528,(0.0019149283073195457+0.0017423067786772606j)
49.50,-52.125025081141736,(0.0018042047171906257+0.001695690966891841j)
49.75,-52.89385313962668,(0.0015411589690784958+0.001661537505340845j)
50.00,-55.06567930327547,(0.0006319387827664979+0.0016478674182125997j)
50.25,-35.74022181785316,(0.002342486004486395-0.0161612191686958j)
50.50,-47.07114418854701,(0.004383024027822041+0.0006461665179701367j)
50.75,-48.60548465813194,(0.003602520267763123+0.0008990376219491476j)
51.00,-49.07531774124693,(0.003398520873260387+0.0009071176953564472j)
51.25,-49.03025036630641,(0.003430636830779367+0.0008559208472563728j)
51.50,-50.77894067286643,(0.0015367394907547663+0.0024487752783207365j)
51.75,-50.61058102660314,(0.0028212150861574993+0.0008539246208461659j)
52.00,-50.56248449753562,(0.002861288838925813+0.0007734494835943605j)
52.25,-50.906084905164064,(0.002747950411297411+0.0007521257176751151j)
52.50,-47.83820022494156,(0.0038826331358021533-0.0011728994312809515j)
52.75,-40.62293457663583,(0.008669352793842825-0.0033882071823938117j)
53.00,-48.024413980934625,(0.003967417900929033+0.00014029213971356838j)
53.25,-48.54836622082574,(0.003734465623293171+0.0001506788872975933j)
53.50,-48.596765059565385,(0.003715568714873673+9.315420065415275e-05j)
53.75,-48.2502764636331,(0.0038679973811960615-6.124295512701498e-07j)
54.00,-47.30047940010945,(-0.0004258697807358706+0.004293885295075791j)
54.25,-49.887936681140886,(0.003203320836491387+1.1352420046813402e-05j)
54.50,-49.57939944833971,(0.0033179115521800914-9.153886970806533e-05j)
54.75,-49.48739734112699,(0.003350083939237952-0.0001724208259750008j)
55.00,-49.739604206904275,(0.0032507628899553537-0.00022464154274749073j)
55.25,-48.508822462391095,(-0.0022971744790962227-0.0029697978101395676j)
55.50,-47.919736909671336,(0.003980950536584177-0.0005446066305023958j)
55.75,-48.18458184220205,(0.0038558408983280735-0.0005673912431951767j)
56.00,-48.19634709098323,(0.003843721126777489-0.0006116833377530356j)
56.25,-50.82034680725271,(0.002875634547413431-9.739844644898041e-05j)
56.50,-44.462455319426226,(0.005894885976001952-0.0010196683218825556j)
56.75,-49.266300235341745,(0.0033554457240933568-0.0007625498030859573j)
