Freq_kHz,TS,f_bs
1.00,-31.41692881906064,(-0.026692446003275215+0.0030217425863098665j)
2.00,-40.26765426112846,(-0.009664450341423846+0.0007883535345889551j)
3.00,-41.25092858683257,(-0.008607027385249103+0.0009447054420889725j)
4.00,-41.5821371861967,(-0.008252236961395761+0.0011699670040317342j)
5.00,-41.74240120273592,(-0.008059417284316913+0.0014132326321885243j)
6.00,-41.81236033274391,(-0.007944481948285348+0.0016633642435918768j)
7.00,-41.930306641769725,(-0.007775000214956684+0.0019146284483448112j)
8.00,-41.98995104097693,(-0.007651964211141509+0.0021654888098489498j)
9.00,-42.054116938495845,(-0.007516801534277869+0.0024108253117865255j)
10.00,-42.161847685242755,(-0.007339715357627215+0.002629869062347327j)
11.00,-41.77721924647551,(-0.0075328732585933445+0.0031100868263513673j)
12.00,-42.06049875908089,(-0.007200103216711927+0.0032220173618858405j)
13.00,-42.12458921819305,(-0.007029028806549353+0.003450236539114489j)
14.00,-42.168293969808026,(-0.006865050847412716+0.003683551113163451j)
15.00,-42.18683507658858,(-0.006715091928104362+0.003917452254361451j)
16.00,-42.254681839548454,(-0.006510341402555032+0.004137328776754718j)
17.00,-42.28642674110964,(-0.006331618160550636+0.004356523801800357j)
18.00,-42.323404711860064,(-0.00614176087220389+0.0045658139178627755j)
19.00,-42.38399620051831,(-0.005930627841189037+0.004752271938527104j)
20.00,-42.269046343461,(-0.005820746986362751+0.005042267179482705j)
21.00,-42.36439404363704,(-0.005576263049227378+0.005188738007256605j)
22.00,-42.403217590896105,(-0.005361383328235636+0.005362550258012616j)
23.00,-42.43541353297735,(-0.00514632325633858+0.005531006191302155j)
24.00,-42.376197407087986,(-0.005008820087937505+0.005724680351852031j)
25.00,-42.51458743146785,(-0.004691949968037414+0.0058336241878304005j)
26.00,-42.54879518876152,(-0.004465761537937571+0.005971835860067757j)
27.00,-42.58794581992617,(-0.0042348803571461814+0.006096935045682746j)
28.00,-42.64589082570935,(-0.0039951002756813386+0.006198034535664424j)
29.00,-42.589313392959916,(-0.003836238941115+0.0063539554000877204j)
30.00,-43.3473917044015,(-0.002673704724153194+0.006254373135044596j)
31.00,-42.838635110172376,(-0.003158016278381043+0.00648404794176737j)
32.00,-42.869372124973495,(-0.0029374236028995946+0.006559012582679234j)
33.00,-42.938742354269294,(-0.002698979585045103+0.0065989522692704765j)
34.00,-42.98421503102877,(-0.002442984574873179+0.0066583063810124075j)
35.00,-43.03961870545657,(-0.002198649176437842+0.006695486093845412j)
36.00,-43.36646763261762,(-0.0015053992377934294+0.0066179212024375655j)
37.00,-43.25136342195521,(-0.001590336393513202+0.006691121303318201j)
38.00,-43.269804906300806,(-0.0013600575478634358+0.006726818852721212j)
39.00,-43.367063624170385,(-0.0010394760660760256+0.006706435454871042j)
40.00,-43.423495387016764,(-0.0008439232445371017+0.0066895437009778175j)
41.00,-43.49919716203694,(-0.0005822674009773287+0.006658647164191525j)
42.00,-43.588302171143944,(-0.0003288366506071593+0.006607661067730484j)
