Freq_kHz,TS,f_bs
1.00,-31.32234201536395,(-0.026981532686807398+0.0030827426789099446j)
2.00,-37.134825208383035,(-0.013814395087858238+0.0016092417391135973j)
3.00,-37.86141740965142,(-0.012630337845190494+0.0020255384200747613j)
4.00,-38.081135399074476,(-0.012211073508661588+0.0025388134649053313j)
5.00,-38.20526345104693,(-0.011912344394715533+0.003044478651370587j)
6.00,-37.29851631475051,(-0.012960485932803134+0.004277632945592481j)
7.00,-37.88063554303257,(-0.011995796706611713+0.004359658632936296j)
8.00,-37.84771007759769,(-0.011840043892250142+0.004894779342515769j)
9.00,-37.77255496245459,(-0.011722327628578189+0.005440387370626858j)
10.00,-37.71232310165806,(-0.011573097082538331+0.005950344167405576j)
11.00,-37.39206746020961,(-0.01173507035906678+0.006677640897251976j)
12.00,-37.358180338925735,(-0.011532792449515016+0.0071221835376152004j)
13.00,-37.248335242494655,(-0.01141835583655318+0.007619598262339952j)
14.00,-37.13681475182283,(-0.011300166803233815+0.008102148501727j)
15.00,-37.07053772307687,(-0.01111801358697481+0.008526517088553127j)
16.00,-36.84989409868098,(-0.0111328507320396+0.009088602014829928j)
17.00,-36.771718073257,(-0.010955925714122116+0.009500648741031898j)
18.00,-36.68448739690635,(-0.01078450154150201+0.009912404426456804j)
19.00,-36.60696239670741,(-0.010592601543777957+0.010306430258560253j)
20.00,-36.66310919380547,(-0.010207668776186677+0.01055573386726797j)
21.00,-36.43018086875432,(-0.010213196399811466+0.011099139046475607j)
22.00,-36.37652258069966,(-0.009960643163865206+0.011450507455315902j)
23.00,-36.32322872063736,(-0.00969657826035902+0.011796133351173228j)
24.00,-36.277613791083965,(-0.009410419446243393+0.012127587013656859j)
25.00,-36.15536575942087,(-0.009219928506523731+0.012544094325379663j)
26.00,-36.15954227335537,(-0.008842280444177892+0.012804003245493143j)
27.00,-36.11555100068584,(-0.008523059185501265+0.013113007112989376j)
28.00,-36.06337530865094,(-0.008214171592260462+0.013419281723593886j)
29.00,-35.93921837182245,(-0.00809872841945054+0.01375279841853834j)
30.00,-36.05603242010347,(-0.007276810451835553+0.0139648368566899j)
31.00,-35.986214568800044,(-0.006998016084621631+0.01424833348247324j)
32.00,-35.91730520176364,(-0.006705520768782117+0.014527676672041578j)
33.00,-35.94586539368868,(-0.006109979330415589+0.014731172598059332j)
34.00,-35.89906514433925,(-0.005758068410151135+0.014964610331145352j)
35.00,-35.823874947221704,(-0.005426529751208653+0.015236061670177053j)
36.00,-35.845014240061005,(-0.004810249658634832+0.015400523621397686j)
37.00,-35.77789077825214,(-0.004500917990236935+0.015624051235915974j)
38.00,-35.74072672944915,(-0.004082562686144105+0.015810563748625984j)
39.00,-36.23477953511592,(-0.002689851586337104+0.015189950905678542j)
40.00,-35.67981527452508,(-0.0031467276586715455+0.016140181005173324j)
41.00,-35.646256391455786,(-0.002704269455334947+0.01628471230744818j)
42.00,-35.61271748012343,(-0.002257750089157703+0.01641706708252145j)
43.00,-35.602822864483464,(-0.0016782102574291766+0.01650537842998601j)
44.00,-35.54841528005914,(-0.0012797019179836189+0.016645604904992867j)
45.00,-35.52540695513274,(-0.0007900160441627875+0.01672035226937765j)
46.00,-35.491043836527545,(-0.00034121559450144657+0.016801895159320034j)
47.00,-35.471790899914126,(0.0002464882413428869+0.0168408474628133j)
48.00,-35.44181869531597,(0.000829596456781926+0.016880497083012397j)
49.00,-35.40272174073684,(0.0011581931731071682+0.016937563346395193j)
50.00,-35.34868099727509,(0.0012692402525806513+0.017035854826834184j)
51.00,-35.34422289901871,(0.002249973905994188+0.01694310068954353j)
52.00,-35.315995275867934,(0.002695382310281502+0.016934311069910286j)
53.00,-35.292341056774106,(0.003219365187780566+0.016890160634783352j)
54.00,-35.249265586960014,(0.0038069342919756634+0.01685514763286625j)
55.00,-35.22185580855694,(0.004208710419971725+0.016815646283788836j)
56.00,-35.19084251971936,(0.004712545878083074+0.0167458812410363j)
57.00,-35.16131974908006,(0.00520617880047744+0.01666111025248633j)
58.00,-35.12293138757378,(0.005690314334612416+0.01658380067610608j)
59.00,-35.10506513912118,(0.006174665887405514+0.016448186405544976j)
60.00,-35.11571171446494,(0.006482119379900296+0.01630630853394159j)
61.00,-35.01180389196187,(0.007325584850509101+0.016177306617928117j)
62.00,-35.002147014863915,(0.007737457267232289+0.01600634957331861j)
63.00,-34.98996442449073,(0.00811168794372644+0.01584802389542539j)
64.00,-34.932136368419904,(0.008709330255606948+0.015663830113075605j)
65.00,-34.91762008699774,(0.009119782526601481+0.015463279315816751j)
66.00,-34.92844665457823,(0.009453834663510944+0.015235026350344079j)
67.00,-34.84392521690548,(0.010123718592670871+0.015010303515339786j)
68.00,-34.95110916919246,(0.01001892672371601+0.014813133710253302j)
69.00,-34.81183813258947,(0.010920708141123753+0.014524733279547503j)
70.00,-34.74603746988408,(0.011497659291066357+0.014250439783499089j)
71.00,-34.73959922095647,(0.01185572093669064+0.013971774387887024j)
72.00,-34.728903641958205,(0.012299902293711208+0.013612822432765188j)
73.00,-35.61522113115298,(0.010659473033523248+0.012682069780090415j)
74.00,-34.65012693959324,(0.01313457462735721+0.013047632632723929j)
75.00,-34.63635728550912,(0.013486443912457778+0.012726431711592606j)
76.00,-34.629400687000285,(0.013822020180747947+0.012383424865293532j)
77.00,-34.588972752764995,(0.014229965299456136+0.012046844495983873j)
78.00,-34.91849123404643,(0.013450547192010102+0.011887034143573331j)
79.00,-34.55652789570095,(0.014918906345686506+0.01129828690785568j)
80.00,-34.50950844169863,(0.015324593927770773+0.010917611078415783j)
81.00,-34.504164933870285,(0.015610408568425525+0.010525608132633518j)
82.00,-34.5048359074691,(0.015853204046862062+0.01015354335787263j)
83.00,-34.46404657315681,(0.016166802218860424+0.009818219763793929j)
84.00,-34.477413619603865,(0.016563316879717876+0.009073037534738992j)
85.00,-34.443742140174095,(0.016808534651397446+0.008769985750540882j)
86.00,-34.42192705111094,(0.01705915149867859+0.008380625490024893j)
87.00,-34.402854701675,(0.017385097670504397+0.007784462341454685j)
88.00,-34.3922980088196,(0.01757419943048621+0.007407431461954224j)
89.00,-34.37549266725447,(0.01778940894952933+0.006976362460166682j)
90.00,-34.37935702195615,(0.018008561949711295+0.006363933506399037j)
91.00,-34.34557353899891,(0.01821506864104815+0.0059889991643353145j)
92.00,-34.336740223852374,(0.01838497115694962+0.005513458741383137j)
93.00,-34.33712671265942,(0.018592937651584044+0.004761856509941411j)
94.00,-34.181641763675984,(0.01902077295127613+0.004473265926531526j)
95.00,-34.21673191974119,(0.019058283065386556+0.003938187118690601j)
96.00,-34.29382615791623,(0.01894250886162146+0.003639385888908737j)
97.00,-34.28655912129304,(0.019078554413904505+0.002948834933075548j)
98.00,-34.329894081862136,(0.01905105180388515+0.0024584594109148734j)
99.00,-34.27243813119814,(0.019236218213647058+0.0019668579505761033j)
100.00,-34.25300697278062,(0.019331589998744108+0.001366345406782139j)
101.00,-34.25523340601736,(0.01935536172201616+0.0008687646198920241j)
102.00,-34.25100204921047,(0.019380997391827637+0.00035726361575850167j)
103.00,-34.23277273297249,(0.019423464202248192-0.0002454527059956674j)
104.00,-34.210563622101816,(0.019460242861583443-0.0007514711559168735j)
105.00,-34.41472378151878,(0.018994321853648525-0.0010319600423930736j)
106.00,-34.27528173060907,(0.019268727396176126-0.0015401395213924466j)
107.00,-34.22089499720569,(0.01931327014842571-0.002315642287856634j)
108.00,-33.62915958307325,(0.020550221581667808-0.003359042944710931j)
109.00,-34.19923914175149,(0.0192211190446573-0.003287033884889929j)
110.00,-34.21144970399026,(0.019044495350341622-0.00406147572680053j)
111.00,-34.10071461328896,(0.01918370297837231-0.004578938147361596j)
112.00,-34.22450271336066,(0.01880829399969928-0.004929350881369154j)
113.00,-34.15791341889219,(0.01874653385391081-0.005697289844179194j)
114.00,-34.15335377864715,(0.018644167087995874-0.006057221693077554j)
115.00,-34.21342544031927,(0.0183526833385012-0.006495763044162955j)
116.00,-34.1923020412831,(0.0181756855019151-0.007106922255976375j)
117.00,-34.17263879948485,(0.018034969857237803-0.0075717943443392695j)
118.00,-34.20008296492711,(0.017773270027577916-0.008018291963632719j)
119.00,-34.06137016441634,(0.01707100811579002-0.010054937120983555j)
120.00,-34.16372615819478,(0.01731881125751335-0.009134382864020936j)
121.00,-34.21112247714273,(0.01701371333659354-0.009473675022079507j)
122.00,-34.21274820754792,(0.016767563032014085-0.009895648591211644j)
123.00,-34.19951687248259,(0.01648128487592825-0.010421081584231667j)
124.00,-34.23250091671222,(0.016110884199603794-0.01085330530765673j)
125.00,-34.233969749475406,(0.015801717901993768-0.011293047997567498j)
126.00,-34.181375543100195,(0.015587613680359186-0.011783446709116444j)
127.00,-34.21072571108847,(0.015244184071042645-0.012118847235023138j)
128.00,-34.21230511176932,(0.014837411613090025-0.01260812933771708j)
129.00,-34.18565859845129,(0.014532690882919024-0.013047905577812227j)
130.00,-34.20480078242391,(0.014133703510669908-0.013416697963746803j)
131.00,-34.199641538891186,(0.013752086365451355-0.013823924860876243j)
132.00,-34.164016883615425,(0.013406329086369762-0.014269647888591065j)
133.00,-34.17184948971771,(0.01315001330449736-0.014482365072285341j)
134.00,-34.246497937162765,(0.012390767587281486-0.014920102975251518j)
135.00,-34.2131859518431,(0.012088108474365894-0.015261535240266366j)
136.00,-34.19992130188645,(0.01171726851052687-0.015585310533099753j)
137.00,-34.20865228714842,(0.011169669082388091-0.015958421154609066j)
138.00,-34.23574071466518,(0.010745918629240927-0.01617401187892927j)
139.00,-34.262601571981875,(0.010151200996380477-0.01648337241681198j)
140.00,-34.21779299845946,(0.009757951334023763-0.016835003315761717j)
141.00,-34.223243145332255,(0.009325642532565424-0.017064362721651447j)
142.00,-34.124643986432204,(0.008861735646828545-0.017558855493340377j)
143.00,-34.222701438022916,(0.008288325829891776-0.017592922172158073j)
