Freq_kHz,TS,f_bs
1.00,-28.478796788533607,(-0.03720344208237114+0.005945975345481366j)
2.00,-41.96982729779917,(-0.007953027357441156+0.0005338310161452694j)
3.00,-43.18022057634573,(-0.006907297912340967+0.0006088746129359046j)
4.00,-43.594556009408656,(-0.006569210167503686+0.0007428416161626231j)
5.00,-43.809082022430175,(-0.0063879300349400595+0.0008911806994916801j)
6.00,-43.95336114517665,(-0.006256919382332801+0.001044752488412859j)
7.00,-44.06866235736507,(-0.006143747263426941+0.0012002603563657005j)
8.00,-44.167843277554454,(-0.006038410089241346+0.0013561319498302483j)
9.00,-44.1524675341273,(-0.006012488769208799+0.0015123861384603993j)
10.00,-44.42736597258466,(-0.005771597676801629+0.0016638511195000705j)
11.00,-44.52310307158424,(-0.0056565962268646025+0.0018154916348292862j)
12.00,-44.63412438245078,(-0.005526713833033046+0.0019641132310447475j)
13.00,-44.75368217238323,(-0.005387064059874033+0.0021089562989594587j)
14.00,-44.88352247011406,(-0.005237163397342422+0.0022482199268038855j)
15.00,-45.03892686216688,(-0.0050697979514332196+0.0023743945023561638j)
16.00,-42.510116094180475,(-0.006272355003614685+0.00409400299912236j)
17.00,-45.17737412187878,(-0.0048043809134929675+0.0026972551356399276j)
18.00,-45.34110797183026,(-0.004618778165161446+0.0028108633718379314j)
19.00,-45.48780032426983,(-0.004437209002426554+0.0029281884316238274j)
20.00,-45.6309476879333,(-0.004253356261731689+0.0030423148599910484j)
21.00,-45.7714829526458,(-0.004067218412332414+0.0031517762741717493j)
22.00,-45.89873130506169,(-0.0038859423587090276+0.0032574406748463493j)
23.00,-46.12204271787773,(-0.0036402972807911757+0.0033423122510713014j)
24.00,-46.23134989710607,(-0.0034637572746863982+0.003437757486328184j)
25.00,-46.37047633385842,(-0.0032656319902751195+0.003521447101898199j)
26.00,-46.512128987792956,(-0.0030635603570538174+0.00359713406577911j)
27.00,-46.65371529067024,(-0.002859939618382787+0.0036646196203981457j)
28.00,-46.79564468178089,(-0.0026566604863009708+0.0037223755003642513j)
29.00,-46.99971209249633,(-0.002445675498514562+0.003737996424796374j)
30.00,-46.89900360476784,(-0.002360970025475739+0.0038532953236482727j)
31.00,-47.34902856628228,(-0.0018940051799720648+0.003850270420174079j)
32.00,-47.407604669913816,(-0.0017516180094290516+0.0038854867297434628j)
33.00,-47.52710197977527,(-0.0015547714721660195+0.0039057460836787426j)
34.00,-47.65507069670925,(-0.0013475410249678297+0.0039170359918240015j)
35.00,-47.62108780963742,(-0.0013562168938140882+0.003931222083804288j)
36.00,-47.96296054733324,(-0.0009220874958924976+0.003890300066222006j)
37.00,-48.046989760224136,(-0.0007409527816269521+0.0038896481993508617j)
38.00,-48.16669736169039,(-0.000543828805282228+0.003867346893770284j)
39.00,-48.281384645854935,(-0.0003572062342212869+0.0038375804001732185j)
40.00,-48.45058201684918,(-9.290248117274169e-05+0.0037786762126062307j)
41.00,-48.547776875149786,(6.303475952403231e-05+0.003737226241094416j)
42.00,-48.68324176988683,(0.00024791803825121363+0.0036715553651441293j)
43.00,-48.76286507116393,(0.00043189134736512647+0.003620668424095625j)
44.00,-48.87863787868359,(0.0006206426995675385+0.003544124829451656j)
45.00,-49.007460164972265,(0.0007427963487170681+0.0034663959477798743j)
46.00,-49.11065721001208,(0.0009366158018218171+0.0033756904227478755j)
47.00,-49.216483654168556,(0.0011029536852581454+0.003280334134916889j)
48.00,-49.31533823679203,(0.0012593671278547242+0.003181438136820427j)
49.00,-49.4328224470356,(0.0014598931227624956+0.0030436494469526683j)
50.00,-49.55690992833718,(0.0015678211035396255+0.002935311129399825j)
51.00,-49.6471277645739,(0.0016975844543600084+0.002822170645843154j)
52.00,-49.74165160245824,(0.0018288509271178566+0.002695964214407725j)
53.00,-49.83610390610124,(0.0019524367001051708+0.002563705721214923j)
54.00,-49.90058679254786,(0.002084975037036895+0.0024257836876522454j)
55.00,-49.84865769367297,(0.0022815389773664235+0.002269185194532353j)
56.00,-50.12081204223322,(0.0022666359233452175+0.0021419652563949626j)
57.00,-50.1970792222819,(0.00236455403056131+0.0019912897594489293j)
58.00,-50.26881698147794,(0.0024539950349528944+0.00183785245050112j)
59.00,-50.372890798635,(0.0025193621512418812+0.0016822691946819556j)
60.00,-50.46203261386808,(0.0025824194230439418+0.0015237705980563705j)
61.00,-50.621731276632175,(0.002612445287716996+0.0013569425183182263j)
62.00,-50.342999993096946,(0.002791190194484303+0.0012040986958216102j)
63.00,-50.684109306842174,(0.0027306998340752733+0.0010420454432357282j)
64.00,-50.60944869157989,(0.002814409877887714+0.0008773850298017953j)
65.00,-50.66238119334294,(0.002841931841554687+0.0007133372473639369j)
66.00,-47.658051880481445,(0.003298811376205138+0.0025030195007278984j)
67.00,-50.87508510755363,(0.002833064436218459+0.0003857668640372115j)
68.00,-50.89747318370038,(0.002842943305221977+0.0002251868540735089j)
69.00,-50.9403097694129,(0.0028371575855938485+6.121122736448951e-05j)
70.00,-51.00524717652732,(0.0028149048912471508-0.00010000733026775486j)
