Freq_kHz,TS,f_bs
0.50,-63.08163267800602,(0.000701322704805369+1.0284991721359513e-06j)
0.65,-57.77366768058961,(0.0012921529879905119+4.539290110875747e-06j)
0.80,-53.11784985880734,(0.0022084910577974803+1.6323075674880648e-05j)
0.95,-48.67118134828977,(0.0036846339240107985+5.39721346446579e-05j)
1.10,-44.027319022345466,(0.0062871230943342266+0.00018209730442379226j)
1.25,-38.552364155262325,(0.011791002419646741+0.0007301404416090779j)
1.40,-30.41968512930048,(0.02965759992268443+0.005321007224550155j)
1.55,-18.173223080847826,(-0.07388368572369675+0.09884544544618562j)
1.70,-30.538920336917727,(-0.029047192546802124+0.006289679478707084j)
1.85,-34.79631038714417,(-0.018022577094705738+0.002568905060706469j)
2.00,-37.11246749010948,(-0.013848076483663194+0.0016298127388326136j)
2.15,-38.60355764694348,(-0.011678161664749236+0.0012433562589144321j)
2.30,-39.650643826360586,(-0.01035777208544075+0.0010455530509196217j)
2.45,-40.426996292050426,(-0.009474578838550771+0.0009318158142194167j)
2.60,-41.024793667267176,(-0.008845193469300277+0.0008620845092611127j)
2.75,-41.49825206061956,(-0.008375793208754114+0.0008180253979702543j)
2.90,-41.88157818643159,(-0.008013459102263469+0.0007901582570672604j)
3.05,-42.197508365255786,(-0.007726112819379101+0.0007731230710822716j)
3.20,-42.46177717166857,(-0.0074931996514064165+0.0007636752227681835j)
3.35,-42.685630935142086,(-0.007300955325892258+0.000759741759698739j)
3.50,-42.87732376596401,(-0.00713982608479164+0.0007599390980506954j)
3.65,-43.04304952190128,(-0.007002980291611705+0.000763309754478733j)
3.80,-43.187544633125015,(-0.00688540860748116+0.0007691706493940259j)
3.95,-43.31449053873947,(-0.0067833581986291875+0.0007770216529916965j)
4.10,-43.426789680885264,(-0.006693964875393755+0.0007864882904810587j)
4.25,-43.526759238570236,(-0.006615006923386299+0.0007972846415544578j)
4.40,-43.616269910200394,(-0.0065447361795455804+0.0008091886159693684j)
4.55,-43.6968471283512,(-0.0064817595266021075+0.0008220250558618952j)
4.70,-43.76974606119102,(-0.00642495411522815+0.0008356539264673366j)
4.85,-43.83600798782288,(-0.00637340564673975+0.0008499618971094363j)
5.00,-43.89650322147347,(-0.006326362733958241+0.000864856231070538j)
5.15,-43.95196417356043,(-0.006283202670760279+0.0008802602791582422j)
5.30,-44.00301109513238,(-0.006243405426699684+0.0008961101071704281j)
5.45,-44.05017231321459,(-0.006206533657786626+0.0009123519381556502j)
5.60,-44.093900304254845,(-0.00617221716016845+0.0009289401888718844j)
5.75,-44.1345844472897,(-0.00614014074606939+0.0009458359454682512j)
5.90,-44.17256149067511,(-0.006110034507621555+0.0009630057678955788j)
6.05,-44.2081238715365,(-0.006081666170051589+0.0009804207431868234j)
6.20,-44.24152659489447,(-0.006054834879373413+0.0009980557291600792j)
6.35,-44.272992873540396,(-0.006029366178191939+0.0010158887452667437j)
6.50,-44.30271879133536,(-0.0060051079059019+0.0010339004781908855j)
6.65,-44.33087717997758,(-0.005981926832051078+0.0010520738777069934j)
6.80,-44.35762085833314,(-0.005959705875406203+0.0010703938241023521j)
6.95,-44.38308535211826,(-0.00593834179409433+0.0010888468527688537j)
7.10,-44.40739118757819,(-0.005917743257059588+0.0011074209247890602j)
7.25,-44.43064583408459,(-0.005897829226042728+0.001126105234771102j)
7.40,-44.452945355911986,(-0.005878527591899672+0.0011448900490408822j)
7.55,-44.47437582193445,(-0.0058597740203858995+0.0011637665687212236j)
7.70,-44.495014512879216,(-0.0058415109713504075+0.0011827268133228423j)
7.85,-44.51493095823618,(-0.005823686862401178+0.0012017635213713072j)
8.00,-44.53418782979795,(-0.005806255353124422+0.0012208700651475273j)
8.15,-44.55284171288877,(-0.005789174731124032+0.0012400403773445822j)
8.30,-44.57094377360795,(-0.005772407383929422+0.001259268887680214j)
8.45,-44.58854033654308,(-0.005755919344152647+0.0012785504679520482j)
8.60,-44.60567338492894,(-0.005739679897519187+0.001297880384260832j)
8.75,-44.62238099286159,(-0.005723661245441775+0.0013172542553548294j)
8.90,-44.638697697080644,(-0.00570783821557829+0.0013366680162322632j)
9.05,-44.654654813843194,(-0.005692188015442291+0.0013561178862903306j)
9.20,-44.67028070433688,(-0.005676690025766517+0.0013756003414427654j)
9.35,-44.685600989747954,(-0.0056613256320832295+0.0013951120897414257j)
9.50,-44.7006387141181,(-0.0056460780951581024+0.0014146500501487325j)
9.65,-44.715414449001074,(-0.005630932463839706+0.001434211334216244j)
9.80,-44.729946327667314,(-0.005615875538250897+0.0014537932305516775j)
9.95,-44.74424998652512,(-0.005600895898203144+0.0014733931921129663j)
10.10,-44.75833837419791,(-0.0055859840235394755+0.0014930088265939078j)
10.25,-44.772221357816605,(-0.005571132554255876+0.0015126378905120032j)
10.40,-44.785904997806526,(-0.005556336778120716+0.001532278288186069j)
10.55,-44.79939024636739,(-0.005541595512919305+0.0015519280777966068j)
10.70,-44.81267057880775,(-0.005526912718821433+0.0015715854885396752j)
10.85,-44.82572750575561,(-0.005512300560631216+0.0015912489562056333j)
11.00,-44.838521514582574,(-0.005497785599049416+0.001610917190288939j)
11.15,-44.850972079902235,(-0.005483422472298727+0.0016305892929093192j)
11.30,-44.86290772616024,(-0.005469328129735956+0.0016502649340191585j)
11.45,-44.87391676143712,(-0.005455784382273612+0.0016699442995487062j)
11.60,-44.882754681611665,(-0.00544364650571648+0.0016896239438501926j)
11.75,-44.8832710045177,(-0.005437174821539253+0.0017092056931872276j)
11.90,-44.75851943358712,(-0.0056629893803362185+0.001166812052963622j)
12.05,-44.96047754799246,(-0.005372018276578682+0.001747366298558671j)
12.20,-44.960070491993136,(-0.005365669504287886+0.0017676117490245163j)
12.35,-44.96849674209049,(-0.005353343748967353+0.001787375043361259j)
12.50,-44.97907468122693,(-0.005339487409384362+0.001807037454135851j)
12.65,-44.9904914571126,(-0.005324980780133082+0.0018266548039729737j)
12.80,-45.00231525301118,(-0.005310114203045112+0.0018462421105704492j)
12.95,-45.01436410797801,(-0.005295010149795708+0.0018658043524403093j)
13.10,-45.02654924467934,(-0.005279728372316197+0.0018853430925924839j)
13.25,-45.038823082338396,(-0.0052643008693639345+0.0019048584744907004j)
13.40,-45.051158516893125,(-0.0052487458437044145+0.0019243499611929405j)
13.55,-45.063539536518284,(-0.005233074031251465+0.001943816649747083j)
13.70,-45.07595654970814,(-0.0052172918555770725+0.0019632574182566567j)
13.85,-45.08840388484111,(-0.005201403118552649+0.0019826709989363036j)
14.00,-45.100878374378006,(-0.0051854099595342274+0.002002056015223957j)
14.15,-45.11337851742985,(-0.005169313424539592+0.0020214109999530583j)
14.30,-45.125903968091905,(-0.005153113815927597+0.002040734402721905j)
14.45,-45.13845521617778,(-0.005136810912694792+0.0020600245905545143j)
14.60,-45.15103338658839,(-0.00512040411130827+0.002079279843965903j)
14.75,-45.16364011493782,(-0.00510389251582793+0.002098498349507551j)
14.90,-45.176277474371396,(-0.005087274994407039+0.002117678189283582j)
15.05,-45.18894793846652,(-0.005070550212567903+0.00213681732757017j)
15.20,-45.201654371076685,(-0.005053716649657022+0.0021559135944229685j)
15.35,-45.21440003772974,(-0.005036772602402146+0.0021749646659596114j)
15.50,-45.227188635665534,(-0.005019716177886373+0.0021939680408244486j)
15.65,-45.24002434131389,(-0.00500254527717923+0.0022129210121546055j)
15.80,-45.25291187573253,(-0.004985257569813689+0.0022318206341319074j)
15.95,-45.265856588701425,(-0.004967850459309432+0.002250663681991095j)
16.10,-45.278864565044785,(-0.004950321038196742+0.0022694466039386517j)
16.25,-45.291942756370325,(-0.004932666031478859+0.0022881654630862937j)
16.40,-45.305099143946634,(-0.0049148817260855175+0.002306815866891139j)
16.55,-45.318342940039294,(-0.004896963883211469+0.002325392880858787j)
16.70,-45.33168483758554,(-0.004878907629278357+0.0023438909222528604j)
16.85,-45.34513732145121,(-0.004860707319767534+0.002362303628179868j)
17.00,-45.35871505910397,(-0.004842356368149911+0.002380623690525565j)
17.15,-45.37243539491101,(-0.0048238470293399975+0.0023988426475817226j)
17.30,-45.38631898125565,(-0.004805170123164096+0.0024169506184780645j)
17.45,-45.400390592535615,(-0.004786314677700948+0.002434935961203173j)
17.60,-45.41468018682742,(-0.004767267464167998+0.00245278482724695j)
17.75,-45.42922430769386,(-0.004748012382929411+0.00247048057444857j)
17.90,-45.44406796037244,(-0.004728529641970021+0.0024880029824008126j)
18.05,-45.459267160755665,(-0.004708794641186784+0.002505327188329968j)
18.20,-45.47489245647781,(-0.0046887764318652115+0.002522422219910421j)
18.35,-45.491033881922434,(-0.004668435549936581+0.0025392489348753937j)
18.50,-45.50780807792784,(-0.004647720904582896+0.0025557570673794177j)
18.65,-45.52536876597897,(-0.004626565204247967+0.0025718808941259945j)
18.80,-45.543922577644054,(-0.0046048780500536285+0.0025875327042370654j)
18.95,-45.5637537307357,(-0.004582535180371537+0.0026025926546334073j)
19.10,-45.585263912244656,(-0.004559361108763983+0.0026168924397276163j)
19.25,-45.60903955149111,(-0.004535099881965307+0.0026301878775447218j)
19.40,-45.63597126413917,(-0.0045093632555826355+0.0026421105171259385j)
19.55,-45.66747967311944,(-0.0044815329400152365+0.0026520768007306625j)
19.70,-45.70597739837191,(-0.0044505612043764095+0.00265910391537772j)
19.85,-45.755916200073834,(-0.004414520716195894+0.002661397424298157j)
20.00,-45.826515354801074,(-0.004369438208020314+0.0026552948761726838j)
20.15,-45.940471303932135,(-0.004305603592758635+0.0026319795807171983j)
20.30,-46.17275858473397,(-0.00419138835516036+0.002563500373411621j)
20.45,-47.005806449426395,(-0.003831825412465303+0.002289776984202256j)
20.60,-41.55871912180145,(-0.006308707405257933+0.005481245068844448j)
20.75,-44.76644565127301,(-0.004773264556957227+0.0032535958826694655j)
20.90,-45.145874168228,(-0.004584792058987335+0.003091589993681457j)
21.05,-45.29918986439157,(-0.004500670785201532+0.0030432812008286698j)
21.20,-45.38551685198638,(-0.0044469590553445435+0.003026748979862071j)
21.35,-45.442998910748855,(-0.004406200686060201+0.003023503826710241j)
21.50,-45.48540950047492,(-0.004372141495973586+0.0030270535674683462j)
21.65,-45.518931860860846,(-0.004341987948034787+0.003034530902573499j)
21.80,-45.54675231895519,(-0.004314305975555856+0.003044473388690222j)
21.95,-45.57067785097306,(-0.0042882850769826635+0.003056056913466033j)
22.10,-45.59180781146566,(-0.004263433904885911+0.0030687816802730038j)
22.25,-45.61084772744495,(-0.004239438489278251+0.003082326971309599j)
22.40,-45.628269484712845,(-0.0042160900451605615+0.0030964775597850085j)
22.55,-45.64439897288054,(-0.004193245565989791+0.003111083670415803j)
22.70,-45.659466779197395,(-0.004170805089673665+0.0031260379082696317j)
22.85,-45.67363886195045,(-0.004148697988673621+0.0031412613236975347j)
23.00,-45.687035800703555,(-0.004126874408490873+0.003156694658030381j)
23.15,-45.69974523074116,(-0.004105299782251122+0.003172292658761863j)
23.30,-45.71183004379692,(-0.00408395126367357+0.0031880202833572246j)
23.45,-45.72333385588962,(-0.004062815409053201+0.0032038501044235595j)
23.60,-45.73428466457666,(-0.004041886698801969+0.0032197604950876756j)
23.75,-45.744697088653716,(-0.004021166743609469+0.0032357343819615298j)
23.90,-45.75457389442601,(-0.0040006638406880155+0.0032517582949589596j)
24.05,-45.7639065018611,(-0.003980393075161447+0.003267821752404058j)
24.20,-45.7726749296164,(-0.003960376753107854+0.0032839168076588903j)
24.35,-45.78084704365445,(-0.003940645271041526+0.0033000377567135395j)
24.50,-45.78837706951354,(-0.003921238483154108+0.0033161809748498234j)
24.65,-45.79520321951266,(-0.0039022076986306507+0.0033323448715047803j)
24.80,-45.80124417607551,(-0.003883618521671586+0.0033485299653146106j)
24.95,-45.806394014108065,(-0.0038655548662443477+0.003364739095282262j)
25.10,-45.81051490241546,(-0.0038481246641526782+0.0033809778018380554j)
25.25,-45.8134265333344,(-0.0038314680880033865+0.0033972549372713414j)
25.40,-45.814890576114934,(-0.0038157696203668743+0.003413583605321267j)
25.55,-45.814587314732336,(-0.0038012761892095557+0.0034299825967403614j)
25.70,-45.812079581050725,(-0.003788325201240923+0.003446478604475354j)
25.85,-45.80675522526803,(-0.0037773893590202874+0.0034631097149689237j)
26.00,-45.79773168358625,(-0.003769151239495741+0.00347993107813187j)
26.15,-45.78369001640618,(-0.0037646335163197355+0.0034970244733875545j)
26.30,-45.76256916836318,(-0.00376544009373949+0.0035145152208803164j)
26.45,-45.73096080293146,(-0.003774236539593457+0.0035326038145109652j)
26.60,-45.682796059850396,(-0.003795801702515517+0.003551629224305397j)
26.75,-45.606124020119864,(-0.003839638345253412+0.0035722057875414034j)
26.90,-45.473715305025905,(-0.003927723042029105+0.0035955409223841516j)
27.05,-45.20722326982411,(-0.0041249509391336325+0.0036241013065202174j)
27.20,-44.45196589619455,(-0.004743357230125605+0.00365739144924352j)
27.35,-33.97548485407752,(-0.017938361639587588-0.00886430767375986j)
27.50,-48.1711173373052,(-0.0019443174044265277+0.0033847063158816636j)
27.65,-47.08782880630749,(-0.0026530817599361165+0.0035375591328761827j)
27.80,-46.75867476458755,(-0.0028670045402841827+0.0035878965783591042j)
27.95,-46.60352846676751,(-0.0029607854421593908+0.0036185077513434644j)
28.10,-46.51547605211046,(-0.0030071223443140947+0.0036420862017536694j)
28.25,-46.46014102952403,(-0.003029960899110434+0.0036623709467780755j)
28.40,-46.42300041688436,(-0.003039558412183776+0.003680863565229892j)
28.55,-46.39663101326751,(-0.003041197903909901+0.003698319869799474j)
28.70,-46.37608912437217,(-0.0030383943374228217+0.0037152808948210576j)
28.85,-46.35335255251202,(-0.0030368307233448917+0.00373279028954505j)
29.00,-46.53284817789189,(-0.0029231353774250676+0.0036978104877516526j)
29.15,-46.376787184302216,(-0.002986343848393786+0.003756753978655423j)
29.30,-46.365533838891466,(-0.0029756627425490977+0.0037731468649420453j)
29.45,-46.36102182535559,(-0.0029604506250895586+0.003788263549430562j)
29.60,-46.35917002871938,(-0.0029432907205179455+0.003802907650485905j)
29.75,-46.35891022160866,(-0.0029248881541261663+0.0038172607452266506j)
29.90,-46.35976526353431,(-0.0029055679284202447+0.0038313930392836794j)
30.05,-46.36145934883612,(-0.0028855223189924654+0.0038453401644469574j)
30.20,-46.36380952520443,(-0.0028648810187672244+0.0038591233038516555j)
30.35,-46.36668450586379,(-0.0028437382461452454+0.003872756329116389j)
30.50,-46.36998542900425,(-0.0028221656263144553+0.0038862488930274082j)
30.65,-46.37363546705756,(-0.0028002192550784072+0.003899607976935405j)
30.80,-46.37757361116556,(-0.0027779439780149097+0.003912838752182574j)
30.95,-46.381750676712045,(-0.0027553761661560797+0.0039259450996896395j)
31.10,-46.38612660704535,(-0.0027325455990769945+0.0039389299428283j)
31.25,-46.39066859732597,(-0.002709476773676854+0.003951795470433496j)
31.40,-46.39534732673254,(-0.002686192219655526+0.003964543291027345j)
31.55,-46.400145774851715,(-0.0026627035618294196+0.003977174541311606j)
31.70,-46.405044158276695,(-0.002639026041099636+0.003989689963903586j)
31.85,-46.41002929454871,(-0.0026151691762202095+0.00400208995939484j)
32.00,-46.415092351297645,(-0.0025911387821764453+0.0040143746209836875j)
32.15,-46.42022957858604,(-0.002566936060004548+0.004026543750121386j)
32.30,-46.42544406658536,(-0.00254255561151664+0.004038596851701832j)
32.45,-46.43074962473535,(-0.0025179811888130137+0.004050533099629023j)
32.60,-46.43617964919305,(-0.002493176068152012+0.004062351249958813j)
32.75,-46.441809605714504,(-0.0024680586686434357+0.0040740494461658375j)
32.90,-46.44782478084209,(-0.002442428855777143+0.004085624794391652j)
33.05,-46.454791533719074,(-0.002415670875063123+0.004097072790579083j)
33.20,-46.46555443446249,(-0.0023846414488482917+0.004108401653814364j)
33.35,-45.54558821505501,(-0.002888575560103341+0.004421047403152154j)
33.50,-46.452884599159574,(-0.0023590426923868605+0.00413114073821462j)
33.65,-46.46364320120551,(-0.002328077952936305+0.004141915593499192j)
33.80,-46.4706068004135,(-0.0023009439152188622+0.004152697893650514j)
33.95,-46.476626796105045,(-0.002274720345698199+0.00416337228701582j)
34.10,-46.482279178363825,(-0.002248815144777211+0.0041739162133668075j)
34.25,-46.48776224034218,(-0.002223029428935853+0.004184318854127436j)
34.40,-46.493168366882635,(-0.002197276707767609+0.004194571513748901j)
34.55,-46.498552528024454,(-0.0021715120462732036+0.0042046652134446975j)
34.70,-46.503955784020974,(-0.0021457081509380495+0.004214589629317027j)
34.85,-46.509415563444676,(-0.0021198455027704676+0.004224332281717801j)
35.00,-46.51497150789136,(-0.0020939074890262187+0.004233877639791356j)
35.15,-46.52067000974873,(-0.002067877444025245+0.004243205946700037j)
35.30,-46.52656894908197,(-0.002041736307493196+0.004252291556666885j)
35.45,-46.532743765897074,(-0.002015460182821037+0.004261100476184764j)
35.60,-46.53929622594838,(-0.001989017184168722+0.004269586597886348j)
35.75,-46.54636802328399,(-0.0019623627781028786+0.004277685721574978j)
35.90,-46.55416308631162,(-0.0019354322860983676+0.00428530567282413j)
36.05,-46.56298616151494,(-0.0019081279913853862+0.004292309182377778j)
36.20,-46.57331365862664,(-0.0018802954845877568+0.0042984824816353125j)
36.35,-46.58593345361784,(-0.0018516769383584207+0.004303473476833824j)
36.50,-46.60224716207877,(-0.0018218099190258328+0.004306658529674309j)
36.65,-46.62500796649305,(-0.0017897799391635876+0.004306818803790449j)
36.80,-46.660457088400975,(-0.0017535023946694528+0.004301209431012287j)
36.95,-46.726378376269466,(-0.0017070072981231292+0.004282088746151365j)
37.10,-46.901572863087246,(-0.0016236649135786734+0.00421588645144603j)
37.25,-49.1039582572634,(-0.0008244679589907151+0.0034075992216909975j)
37.40,-46.005314616719176,(-0.001872357552641858+0.004645688480625502j)
37.55,-46.291934494438834,(-0.0017543505617849797+0.004517534569494214j)
37.70,-46.37692272812052,(-0.0017022411037296709+0.004486993030829225j)
37.85,-46.417668837619495,(-0.0016648752849169088+0.004477036350412047j)
38.00,-46.44131590942144,(-0.0016333919123414293+0.004474796391550825j)
38.15,-46.45632015196456,(-0.0016050843098355616+0.004476294755896223j)
38.30,-46.46608297405163,(-0.0015789455567559146+0.004479917839546755j)
38.45,-46.47212189617075,(-0.001554645546771949+0.004484914510762206j)
38.60,-46.475049237882395,(-0.0015322448142027396+0.0044909269331912345j)
38.75,-46.47488109880218,(-0.0015121627275072307+0.004497825532097471j)
38.90,-46.47102516854207,(-0.0014953281736821062+0.004505670336990637j)
39.05,-46.46192307422407,(-0.001483639503435541+0.0045147722937319305j)
39.20,-46.44388524304673,(-0.0014812754321998306+0.004525944569826064j)
39.35,-46.40698538727988,(-0.0014991902740428317+0.0045413970674690485j)
39.50,-46.31432849094963,(-0.00157757219421253+0.004569063299882427j)
39.65,-45.83084243150884,(-0.002075111449206761+0.004670166968742062j)
39.80,-47.24474536688799,(-0.00045447383780873303+0.004318882834819494j)
39.95,-46.80041257694129,(-0.0009640335074124585+0.004467842430259486j)
40.10,-46.70967199715911,(-0.0010435206647024554+0.004499236024738911j)
40.25,-46.67190032065217,(-0.0010619324249720727+0.004515606173396676j)
40.40,-46.65184007985918,(-0.0010600167275325912+0.00452707282976141j)
40.55,-46.63978502867572,(-0.0010488604722371153+0.004536298686801947j)
40.70,-46.631991800034896,(-0.001032719039929096+0.004544286613124785j)
40.85,-46.62671424272257,(-0.0010135728317050444+0.004551497138994624j)
41.00,-46.62303053126501,(-0.0009924657236701656+0.004558170535492902j)
41.15,-46.62040974285702,(-0.0009699975899553038+0.004564443875971726j)
41.30,-46.61852582616618,(-0.0009465350094928061+0.004570400693090207j)
41.45,-46.61716861473545,(-0.0009223116808871679+0.00457609452554733j)
41.60,-46.616197625363476,(-0.0008974802196829802+0.004581561067036722j)
