Freq_kHz,TS,f_bs
1.00,-31.35099570712212,(-0.026892253929314085+0.0030762341085810467j)
2.00,-37.28460817965267,(-0.01357659334300243+0.0015956000607234826j)
3.00,-38.14701901218699,(-0.012217382315364931+0.0019873210894853846j)
4.00,-38.882888011019695,(-0.011106263827659084+0.0024463143563476183j)
5.00,-39.330954133770966,(-0.010410861188994158+0.0028756389410144814j)
6.00,-39.017376100974424,(-0.010516477750327696+0.003846238131459934j)
7.00,-40.037458221853974,(-0.009186111130454712+0.0038414273116736007j)
8.00,-40.46960892381542,(-0.008510831667640365+0.004161334564945742j)
9.00,-41.37167427615522,(-0.007347104695207875+0.0043517453124892235j)
10.00,-42.055416073273044,(-0.0064834766699078915+0.004501141690777111j)
11.00,-42.69861976372886,(-0.0056485080462778696+0.0046706109525030855j)
12.00,-43.582759297010796,(-0.004731714201750819+0.004629913305983922j)
13.00,-41.21885644430385,(0.0041372286955136195-0.007642803588860836j)
14.00,-45.727738182675,(-0.0028560173260579764+0.004311282156708261j)
15.00,-46.885309268500365,(-0.002017230459225886+0.004051832034900379j)
16.00,-48.117492140232514,(-0.001205079030453878+0.003738140483362844j)
17.00,-49.410350361489826,(-0.00045981094860172907+0.003353025382462586j)
18.00,-50.93919509765968,(0.00037168883778182466+0.002813738547068576j)
19.00,-51.85485260064689,(0.0009325154707134877+0.0023779038516673883j)
20.00,-52.4214696847865,(0.001484390902805801+0.0018768606504356944j)
21.00,-52.535258102417934,(0.0019470440545809613+0.0013367737139430701j)
22.00,-52.20218412198881,(0.0023125256427050382+0.0008214568923111366j)
23.00,-51.462119953694376,(0.0026614836573024218+0.00024079271198443347j)
24.00,-50.8707917958883,(0.002849908660642434-0.00024733870875959176j)
25.00,-50.43859311392785,(0.002920892160031954-0.000712608974598246j)
26.00,-49.96352593206141,(0.0029633993198062065-0.0011413162475378807j)
27.00,-49.79229573496966,(0.0028764251056832752-0.0014886424525181055j)
28.00,-49.572611225271686,(0.0027535938893003963-0.0018579210260126343j)
29.00,-49.9161877693966,(0.0024089257137528885-0.002095694608447961j)
30.00,-49.47014037904404,(0.0024244976351689364-0.0023279615934231543j)
31.00,-50.7220427059655,(0.0016538771483750971-0.0023943643245567577j)
32.00,-50.46104733032785,(0.0016019206479437188-0.002535085228481466j)
33.00,-51.05798428613256,(0.0012435457026564458-0.0025082917554234995j)
34.00,-51.20347091038988,(0.0011585065689644432-0.0024975143842441653j)
35.00,-52.73553966353002,(0.0003245469209666932-0.002284998820516361j)
36.00,-53.510507113215766,(-4.961975667335854e-05-0.0021103506850943987j)
