Freq_kHz,TS,f_bs
1.00,-57.46237376770148,(0.0013392899417857685+7.441828843515973e-06j)
2.00,-35.8165523460177,(0.016038298735155998+0.0021907080862300916j)
3.00,-36.644735130017665,(-0.01445606227171044+0.0027489010958489466j)
4.00,-41.13869345630423,(-0.008670950425598609+0.0013231798676637777j)
5.00,-42.72147021079527,(-0.00721607843491117+0.0011689972173279189j)
6.00,-43.523625259669615,(-0.006560013392195066+0.0011799368928781682j)
7.00,-43.807832970252264,(-0.00633037244888336+0.0012402434723948147j)
8.00,-46.99127833973252,(-0.004292526345650953+0.0012517789617368879j)
9.00,-45.77654833588977,(-0.0049530846166466296+0.001382768927351614j)
10.00,-46.07037558939644,(-0.004751961688068449+0.0014608093801273929j)
11.00,-46.50508099181863,(-0.004477316254380514+0.0015214053139831834j)
12.00,-47.13235043281047,(-0.004126437890308214+0.0015252058084405033j)
13.00,-43.921934530311205,(-0.005361177726261073+0.0034337396375873825j)
14.00,-47.28572529997584,(-0.0038713155687088905+0.0019222622700198794j)
15.00,-47.91667166128548,(-0.003533818958012802+0.0019152247847593622j)
16.00,-48.4411475098938,(-0.0032496705253518623+0.001938488273452384j)
17.00,-48.822511209360485,(-0.003038048205620866+0.00197095834186886j)
18.00,-40.19011236046663,(-0.009751590485929697+0.0007895655186175457j)
19.00,-51.09847424924159,(-0.0020386805555657455+0.0018997316459329954j)
20.00,-51.52182935257875,(-0.0018472459459916415+0.0019056876432016127j)
21.00,-52.15521099180364,(-0.0015928059750147236+0.0018844173641378525j)
22.00,-52.86344065662767,(-0.0013305249762193922+0.001844362366868772j)
23.00,-53.81308685122978,(-0.0011146944134358358+0.0017069292124865262j)
24.00,-54.268900381352935,(-0.0007944811071754307+0.0017637610405309278j)
25.00,-55.01483862395049,(-0.0005546396853945645+0.001686376678323126j)
26.00,-55.701513292218216,(-0.00032837055780113024+0.0016070998360561506j)
27.00,-56.266557257699795,(-0.0001359285336292437+0.0015309714591632032j)
28.00,-55.74426528351803,(-0.0002844560586035551+0.001607272699811899j)
29.00,-57.75261534282369,(0.0004867659757506305+0.0012003550404984275j)
30.00,-57.90347072768902,(0.0006020058828665639+0.0011216521024450415j)
31.00,-58.005571818002295,(0.0007522304514820633+0.0010084693807525364j)
32.00,-57.98094626119622,(0.0008975789795017141+0.0008866869923994195j)
33.00,-57.67785346298471,(0.0010466511787248646+0.0007819508635946799j)
34.00,-57.926868007968096,(0.0011198800794971755+0.0005980603710787187j)
35.00,-57.65295435042876,(0.0012223361734738903+0.00047184153249091895j)
36.00,-57.43174390376297,(0.0013001882224084884+0.0003405278103341264j)
37.00,-57.25716662149874,(0.001354273618858346+0.00021560673985896744j)
38.00,-57.374216693205085,(0.0013445841145211454+0.0001504320332368291j)
