Freq_kHz,TS,f_bs
1.00,-49.55978567554573,(0.003326361035483053+4.5893725438707006e-05j)
2.00,-19.073692808288104,(0.04131232336174526+0.10329921968169437j)
3.00,-34.60519334843387,(-0.018099440167645513+0.004328132572414047j)
4.00,-35.72168118863263,(-0.01612645756927769+0.0027839730734213306j)
5.00,-39.64472687908023,(-0.010054536049431502+0.0027259281915851604j)
6.00,-43.83488932694065,(-0.00626518511514789+0.0014494277214422348j)
7.00,-39.2410607896989,(-0.010125357069475024+0.0040709030678857784j)
8.00,-39.789771972652865,(-0.009461271378802741+0.0039298979063012406j)
9.00,-41.7816585614833,(-0.007241977357258113+0.0037286361620070462j)
10.00,-42.46831854576084,(-0.0065824447038321824+0.0036492845747564777j)
11.00,-42.09172476760066,(-0.006567012446029534+0.004318732263982797j)
12.00,-42.934715338398625,(-0.005828142715384224+0.004112246243751794j)
13.00,-45.55700439120932,(-0.003930392398348218+0.0035168634263585386j)
14.00,-45.62234605076913,(-0.00380447091509764+0.0035954049621493922j)
15.00,-45.82140461711912,(-0.0033633471542650114+0.003855030416449744j)
16.00,-47.50714761810528,(-0.002619384289870834+0.003300360161002713j)
17.00,-45.10726559078446,(-0.003973097560884996+0.003881467993579502j)
18.00,-51.62835422447229,(-0.0009374409404207155+0.0024483653830383602j)
19.00,-53.19775058585226,(-0.0004359903973079683+0.002144456338515774j)
20.00,-54.86439118306719,(9.505175568432795e-05+0.0018037580217460368j)
21.00,-55.95553442901874,(0.0004350501846248659+0.0015324712127074871j)
22.00,-55.92185469057607,(0.0013853053139163158+0.0007990135431373356j)
23.00,-55.21576770171332,(0.0016555872164727013+0.0005177240469103764j)
24.00,-54.34020542448462,(0.0019120887644889584+0.00015821557934040238j)
25.00,-53.26306869218749,(0.0021661338922583707-0.0001586190077466626j)
26.00,-50.14832943064329,(0.0029432509184624373-0.001000749506182991j)
27.00,-50.990737879746845,(0.0026688757353896604-0.0009150646036137652j)
28.00,-49.359424882107646,(0.0031680147844025445-0.0012461903983819061j)
29.00,-50.57621144817223,(0.0026295331738653794-0.001357582136963091j)
30.00,-50.74642074741128,(0.0025038499990815304-0.0014668414512865274j)
31.00,-50.18103728102753,(0.0025389897611405136-0.001773484175976998j)
32.00,-50.28221089269225,(0.0024122719353730044-0.0018846199835962092j)
33.00,-51.28245077219532,(0.0020007981989430667-0.0018547034496511708j)
34.00,-51.68006029050227,(0.0017941022943741562-0.0018902748462524231j)
35.00,-52.14978152906673,(0.0015437093981858108-0.0019268204120601905j)
36.00,-52.993431954855424,(0.0012525724557556964-0.0018575575389051184j)
37.00,-56.09769134596877,(0.000498722750683877-0.001485695046924414j)
38.00,-55.687033221396696,(0.0004980288098704254-0.0015657427191560509j)
39.00,-56.93497604120622,(0.00020437185824307495-0.0014084008391409496j)
40.00,-58.07699808238853,(-0.00011287480915336572-0.0012426989944738375j)
41.00,-58.76684708841044,(-0.00030567709835385086-0.0011112695385268431j)
42.00,-59.35406609553781,(-0.0007767102111924994-0.0007463799037315323j)
43.00,-58.901760401956516,(-0.0010000775045415462-0.0005362578238577012j)
44.00,-58.204252623511,(-0.0011928181043866285-0.00029877225496990553j)
45.00,-57.33763172373354,(-0.0013563817095377884-7.90598986635929e-05j)
46.00,-55.70305423635868,(-0.0016176202497583472+0.0002700876480694257j)
47.00,-55.250896992080285,(-0.0016707202026067544+0.00043984097818258245j)
48.00,-55.28401228249163,(-0.001608511085676031+0.0006121973914176928j)
49.00,-54.13925377341337,(-0.0017778215874770962+0.0008335444708808804j)
50.00,-52.57799810056822,(-0.0021615225650240717+0.0009225724933277858j)
51.00,-57.120858561858284,(-0.0009460384056912566+0.0010225035718602934j)
52.00,-51.17436760327973,(-0.002331762117599493+0.0014810690048143685j)
53.00,-54.455084794800506,(-0.0013532559931656628+0.0013242800695193377j)
54.00,-55.46760521621913,(-0.0010256865143464888+0.0013369560642405682j)
55.00,-53.05224906077606,(-0.001602039287969247+0.0015444762630339472j)
56.00,-54.92398410907819,(-0.0010738456999055941+0.0014370005675064987j)
57.00,-57.25964999721694,(-0.0004936887579440977+0.0012789603940042188j)
58.00,-56.46125262790684,(-0.0007055251339038662+0.0013270337088988396j)
59.00,-57.678056990343734,(-0.0004786724980138471+0.0012156144501071925j)
