Freq_kHz,TS,f_bs
1.00,-48.09742257143887,(0.003936140681502445+6.447704927101084e-05j)
1.25,-42.38687162994674,(0.0075913244188900945+0.0003000021881671341j)
1.50,-36.2975429169482,(0.01524527766164042+0.0014618673570581616j)
1.75,-28.271514765623444,(0.03703893564022732+0.010814755852323311j)
2.00,-18.45648928334758,(-0.016641531871551932+0.1182821382553225j)
2.25,-26.519496260726093,(-0.04240577303947346+0.020747145681889907j)
2.50,-30.484253660959975,(-0.02844896061945606+0.009227398171720226j)
2.75,-32.622674361376845,(-0.02255015973837363+0.006178148020229758j)
3.00,-33.964355320302644,(-0.019422611138576257+0.004914290757067471j)
3.25,-34.86145248202017,(-0.017557382410937808+0.004268131582416105j)
3.50,-35.38601829522442,(-0.016560501463476675+0.0038836741316713302j)
3.75,-41.916253896792014,(-0.007601828181469403-0.002556646318706482j)
4.00,-37.191148968754696,(-0.013379954347315133+0.003451322522983947j)
4.25,-37.44708423909025,(-0.012990759990367973+0.003353812652661185j)
4.50,-37.82590793000582,(-0.012430960284413232+0.0032315374358137887j)
4.75,-38.31747769531273,(-0.011746130838252529+0.0030569911166226423j)
5.00,-39.11643527379891,(-0.010728734185915117+0.0027306485497395967j)
5.25,-41.372845659515825,(-0.00832979546748914+0.0018741604447547148j)
5.50,-30.045615426783925,(0.0275782648280303+0.01513244647651026j)
5.75,-34.564242289835725,(-0.017126321222987084+0.007502840841471235j)
6.00,-36.124283070046786,(-0.014562624777625635+0.00565969604004637j)
6.25,-36.72555241176327,(-0.01362625646278328+0.005183351502646211j)
6.50,-37.05612853488988,(-0.013113943291264496+0.00499886220625388j)
6.75,-37.254875462354704,(-0.012801915308403723+0.004925904023106034j)
7.00,-37.32707112514122,(-0.012685323654093033+0.004912655302780407j)
7.25,-36.7534808967706,(-0.013695487292338177+0.004859341749805437j)
7.50,-38.53467547139831,(-0.010892604255667182+0.004634824909819293j)
7.75,-38.288512726312085,(-0.011193571043532129+0.004796514821665002j)
8.00,-38.336657176483484,(-0.011105528276835015+0.004830618430135469j)
8.25,-38.45503639967036,(-0.010926624425676504+0.004830389783028127j)
8.50,-38.64560330957246,(-0.010664148796068059+0.0047825161896009865j)
8.75,-39.01231647498492,(-0.010210072317384484+0.004614156734075461j)
9.00,-40.362109599394756,(-0.008770977254282983+0.003882037468149265j)
9.25,-34.38478814202835,(-0.01600712404540352+0.010398269244790611j)
9.50,-37.31096032609039,(-0.012053820065927482+0.006359621961433648j)
9.75,-37.786464153721404,(-0.011426838167939648+0.005992004493713966j)
10.00,-37.99954123089143,(-0.011128257217018272+0.005887949858768168j)
10.25,-38.122002195662226,(-0.010942334913018369+0.005862106486086451j)
10.50,-38.18282154283435,(-0.01083605781450793+0.005876720898564706j)
10.75,-38.12742894633297,(-0.01089072079843933+0.005941275225837655j)
11.00,-36.3623827644483,(-0.014031333905475757+0.005848190386302858j)
11.25,-39.14596089541942,(-0.00952215349760577+0.0055731818013690145j)
11.50,-38.97386568735002,(-0.009691096585409982+0.005721455158360553j)
11.75,-38.99525466205625,(-0.009634654945094082+0.0057622562847501075j)
12.00,-39.07103353968307,(-0.00951546620865009+0.005771142343567918j)
12.25,-39.19386249869314,(-0.009346194201952197+0.005748488753986639j)
12.50,-39.41813636762505,(-0.009074289167670047+0.005656338301506464j)
12.75,-40.249716894607346,(-0.008209012352142673+0.005198495755636638j)
13.00,-37.637873579993936,(-0.010850305763578965+0.0073852589793725314j)
13.25,-38.72361200308876,(-0.009656931505752281+0.006395978378523992j)
13.50,-38.974950090042384,(-0.009354661036758874+0.006253886693926483j)
13.75,-39.11400987789855,(-0.009171620263671847+0.00620580588238253j)
14.00,-39.20716885498551,(-0.009038875188167728+0.006190871176829328j)
14.25,-39.254108484561264,(-0.008959140104045414+0.006202551941435052j)
14.50,-39.17072983728593,(-0.009034322490195161+0.0062785737198134215j)
14.75,-35.765037074769225,(-0.015063424629092754+0.006184341855290718j)
15.00,-40.31447318384569,(-0.007741248229683125+0.0057522178081125626j)
15.25,-40.16060808667497,(-0.00786217849878103+0.005878397511477623j)
15.50,-40.198002085608096,(-0.007796030562794202+0.005896194479954446j)
15.75,-40.28719361125745,(-0.007679642170231275+0.005884227096437823j)
16.00,-40.41084866955429,(-0.007532357122273164+0.0058512515122466765j)
16.25,-40.591681406290604,(-0.007336695133753709+0.005782408676382948j)
16.50,-41.08381344230605,(-0.006877206352345402+0.005533407518289724j)
16.75,-39.86674313290314,(-0.007847852390247642+0.006444154307756663j)
17.00,-40.47305168347683,(-0.007310145853021538+0.006020100417135814j)
17.25,-40.67536957672621,(-0.007102744065361365+0.005928651902342976j)
17.50,-40.8206080132868,(-0.00694497930800766+0.005877915309388151j)
17.75,-40.936595435517475,(-0.006814691560094149+0.005844739843806761j)
18.00,-41.009649851174046,(-0.006725644918211758+0.005832857212521662j)
18.25,-40.936594036344935,(-0.006777473981617317+0.005887858464403019j)
18.50,-36.88779615469542,(-0.012685080623243063+0.006620956674599266j)
18.75,-42.336116723819764,(-0.005522695316615088+0.005281717464303934j)
19.00,-42.18181029427757,(-0.005617728783767195+0.005380518867102103j)
19.25,-42.252990509407184,(-0.005537935255176697+0.005371823234923033j)
19.50,-42.381312320268435,(-0.0054147673310151155+0.005335956674684819j)
