Freq_kHz,TS,f_bs
0.50,-63.08092037715062,(0.0007013802204349713+1.0284920756112238e-06j)
0.65,-57.773060120047965,(0.001292243375959032+4.539237534429342e-06j)
0.80,-53.11737433579367,(0.002208611977220725+1.632279021185046e-05j)
0.95,-48.670865141686136,(0.0036847681124317923+5.397080594067406e-05j)
1.10,-44.02718938881179,(0.006287217180527928+0.00018209129996409382j)
1.25,-38.55244832529031,(0.01179088964623645+0.0007301093693339111j)
1.40,-30.42001030320047,(0.029656504860438453+0.005320723252574388j)
1.55,-18.173816424656795,(-0.07387825551302175+0.09883897992384241j)
1.70,-30.539808978216207,(-0.029044188755126443+0.00628918457044791j)
1.85,-34.79752141076852,(-0.018020047561716074+0.002568665647690029j)
2.00,-37.11402793374525,(-0.013845575302376728+0.0016296351784103223j)
2.15,-38.605494496583944,(-0.011675545019437095+0.0012431996769884234j)
2.30,-39.65298401161349,(-0.010354968614456441+0.001045402315302201j)
2.45,-40.42976668127405,(-0.009471543147522993+0.0009316633237017539j)
2.60,-41.028021062515016,(-0.008841891768861215+0.0008619255584007533j)
2.75,-41.50196319237081,(-0.00837219769053164+0.0008178565865014063j)
2.90,-41.885799708082125,(-0.008009545370795342+0.0007899768309971372j)
3.05,-42.20226684734147,(-0.007721858585445287+0.0007729266115183204j)
3.20,-42.46709909578942,(-0.0074885840117120015+0.000763461483975563j)
3.35,-42.69154268755241,(-0.007295958340919976+0.0007595085782334376j)
3.50,-42.88385163078899,(-0.007134428519377313+0.0007596843386010201j)
3.65,-43.05021967393585,(-0.006997163449563052+0.0007630312759372651j)
3.80,-43.195383130165354,(-0.006879154223208532+0.0007688662826890755j)
3.95,-43.32302331339066,(-0.0067766483647831634+0.000776689186066112j)
4.10,-43.43604253178141,(-0.006686781994079445+0.0007861254577833561j)
4.25,-43.53675782093481,(-0.006607333673332334+0.0007968891164739871j)
4.40,-43.62703972566418,(-0.006536555494412857+0.0008087580052487647j)
4.55,-43.70841351393392,(-0.006473054581316094+0.0008215568953726071j)
4.70,-43.7821341773389,(-0.006415708318279425+0.000835145677947592j)
4.85,-43.84924280537839,(-0.00636360263708119+0.0008494109455974803j)
5.00,-43.91060950743512,(-0.0063159863815797+0.0008642598828515076j)
5.15,-43.96696647546801,(-0.006272237080331192+0.0008796157600993609j)
