Freq_kHz,TS,f_bs
1.00,-48.96224383668104,(0.0035631968061413713+5.29781892216267e-05j)
2.00,-18.465411769689673,(0.0183738979759088+0.11790132438105813j)
3.00,-34.24587605997576,(-0.01883827624436171+0.004616687850501181j)
4.00,-36.91603320785497,(-0.013880226274523582+0.003280356298255955j)
5.00,-38.33023403297394,(-0.011756578294755581+0.0029440752393114283j)
6.00,-31.266413718317775,(-0.02333270239085796+0.014235533306178624j)
7.00,-37.13393396220982,(-0.013063940212415446+0.004774969671598301j)
8.00,-37.57214794187167,(-0.012319175804880973+0.00480999516633173j)
9.00,-37.85965858425696,(-0.011802102119192226+0.004940132170955266j)
10.00,-32.89884617057399,(-0.01916526104708674+0.012070228979279837j)
11.00,-37.058801724957455,(-0.012569488076277065+0.006233049214323152j)
12.00,-37.152809959004685,(-0.012305000483568036+0.006419873879030692j)
13.00,-37.19503809620753,(-0.012111794647218326+0.006638398107898112j)
14.00,-45.48402135704948,(0.002441844501895112+0.004724945523395906j)
15.00,-36.638322173289254,(-0.012625689893428823+0.007579322339701198j)
16.00,-36.65544263574655,(-0.012469731588935159+0.007778610511848239j)
17.00,-36.64199441927047,(-0.012355480256285573+0.00800081202515669j)
18.00,-37.451966087751806,(-0.01104438580107581+0.007604420807458735j)
19.00,-36.26723794543116,(-0.012634163991309197+0.00875076536949864j)
20.00,-36.27197574043999,(-0.012484221985161078+0.008949003502196084j)
21.00,-36.24948554508816,(-0.012369869475507085+0.009173428591193218j)
22.00,-36.45643633786114,(-0.011903829750000691+0.009188465130374928j)
23.00,-35.97405478510784,(-0.012472919671484202+0.009854949879172983j)
24.00,-35.975967504135355,(-0.012306328101418561+0.010056678580529985j)
25.00,-35.94861705517346,(-0.012178454764098099+0.010288995889545183j)
26.00,-36.01213681144784,(-0.011905768838135761+0.010427862612437526j)
27.00,-35.71688643978414,(-0.012179524735856588+0.01094386378272493j)
28.00,-35.718360371703646,(-0.01199460775681819+0.011142144552180657j)
29.00,-35.687463209208836,(-0.011855226895588331+0.011374759964772607j)
30.00,-35.69871202356819,(-0.01164513959306521+0.01155958642304963j)
31.00,-35.48080501203907,(-0.011795749018664365+0.011997792572115147j)
32.00,-35.48860198250897,(-0.011586181813894338+0.012179463761722919j)
33.00,-35.45945815070041,(-0.011431633906068515+0.012401586520788625j)
34.00,-35.45150243887906,(-0.01123870769287787+0.012597406971883931j)
35.00,-35.27285218642061,(-0.011322726747258758+0.012991049418709398j)
